Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['NoiseBurst'], Fri Oct 21 01:13:52 2016 UTC-Fri Oct 21 01:13:52 2016 UTC (0.010 )  Time stamp start 1477012432351448620 end 1477012432341446100  Run 311071, LB 143, lumi 120.23
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:53 2016 UTC-Fri Oct 21 01:13:53 2016 UTC (0.001 )  Time stamp start 1477012433196200430 end 1477012433195200430  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:54 2016 UTC-Fri Oct 21 01:13:54 2016 UTC (0.001 )  Time stamp start 1477012434120748155 end 1477012434119748155  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:56 2016 UTC-Fri Oct 21 01:13:56 2016 UTC (0.001 )  Time stamp start 1477012436916694585 end 1477012436915694585  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:57 2016 UTC-Fri Oct 21 01:13:57 2016 UTC (0.001 )  Time stamp start 1477012437336380455 end 1477012437335380455  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:33 2016 UTC-Fri Oct 21 01:14:33 2016 UTC (0.001 )  Time stamp start 1477012473091028835 end 1477012473090028835  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:35 2016 UTC-Fri Oct 21 01:14:35 2016 UTC (0.001 )  Time stamp start 1477012475037263440 end 1477012475036263265  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:35 2016 UTC-Fri Oct 21 01:14:35 2016 UTC (0.001 )  Time stamp start 1477012475644535010 end 1477012475643535010  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:36 2016 UTC-Fri Oct 21 01:14:36 2016 UTC (0.001 )  Time stamp start 1477012476847208665 end 1477012476846208665  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:38 2016 UTC-Fri Oct 21 01:14:38 2016 UTC (0.001 )  Time stamp start 1477012478364217880 end 1477012478363217880  Run 311071, LB 144, lumi 12.00
