Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310341 to 310341
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310341 to run 310341  lasting from Mon Oct 10 12:37:17 2016 UTC to Tue Oct 11 07:08:26 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:51 2016 UTC-Mon Oct 10 14:06:51 2016 UTC (0.010 )  Time stamp start 1476108411689212835 end 1476108411679212835  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:52 2016 UTC-Mon Oct 10 14:06:52 2016 UTC (0.010 )  Time stamp start 1476108412291454430 end 1476108412281454430  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:52 2016 UTC-Mon Oct 10 14:06:52 2016 UTC (0.010 )  Time stamp start 1476108412857650940 end 1476108412847650940  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:53 2016 UTC-Mon Oct 10 14:06:53 2016 UTC (0.010 )  Time stamp start 1476108413478459080 end 1476108413468459080  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:53 2016 UTC-Mon Oct 10 14:06:53 2016 UTC (0.010 )  Time stamp start 1476108413787400760 end 1476108413777400635  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:54 2016 UTC-Mon Oct 10 14:06:54 2016 UTC (0.010 )  Time stamp start 1476108414276734095 end 1476108414266733945  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:54 2016 UTC-Mon Oct 10 14:06:54 2016 UTC (0.010 )  Time stamp start 1476108414659339270 end 1476108414649339270  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:54 2016 UTC-Mon Oct 10 14:06:54 2016 UTC (0.010 )  Time stamp start 1476108414928588665 end 1476108414918588665  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:55 2016 UTC-Mon Oct 10 14:06:55 2016 UTC (0.010 )  Time stamp start 1476108415365689720 end 1476108415355689720  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:55 2016 UTC-Mon Oct 10 14:06:55 2016 UTC (0.010 )  Time stamp start 1476108415614112085 end 1476108415604112085  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:55 2016 UTC-Mon Oct 10 14:06:55 2016 UTC (0.010 )  Time stamp start 1476108415839847170 end 1476108415829847170  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:56 2016 UTC-Mon Oct 10 14:06:56 2016 UTC (0.010 )  Time stamp start 1476108416342017610 end 1476108416332017610  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:56 2016 UTC-Mon Oct 10 14:06:56 2016 UTC (0.010 )  Time stamp start 1476108416747435420 end 1476108416737435420  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:57 2016 UTC-Mon Oct 10 14:06:57 2016 UTC (0.010 )  Time stamp start 1476108417140618105 end 1476108417130618105  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:57 2016 UTC-Mon Oct 10 14:06:57 2016 UTC (0.010 )  Time stamp start 1476108417449046280 end 1476108417439046280  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:57 2016 UTC-Mon Oct 10 14:06:57 2016 UTC (0.010 )  Time stamp start 1476108417780304450 end 1476108417770304450  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:57 2016 UTC-Mon Oct 10 14:06:57 2016 UTC (0.010 )  Time stamp start 1476108417953190345 end 1476108417943190345  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:58 2016 UTC-Mon Oct 10 14:06:58 2016 UTC (0.010 )  Time stamp start 1476108418193195730 end 1476108418183195730  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:58 2016 UTC-Mon Oct 10 14:06:58 2016 UTC (0.010 )  Time stamp start 1476108418381000645 end 1476108418371000520  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:58 2016 UTC-Mon Oct 10 14:06:58 2016 UTC (0.010 )  Time stamp start 1476108418528067070 end 1476108418518067070  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:58 2016 UTC-Mon Oct 10 14:06:58 2016 UTC (0.010 )  Time stamp start 1476108418891214455 end 1476108418881214455  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:59 2016 UTC-Mon Oct 10 14:06:59 2016 UTC (0.010 )  Time stamp start 1476108419158948420 end 1476108419148948245  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:00 2016 UTC-Mon Oct 10 14:07:00 2016 UTC (0.010 )  Time stamp start 1476108420143385520 end 1476108420133385520  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:00 2016 UTC-Mon Oct 10 14:07:00 2016 UTC (0.010 )  Time stamp start 1476108420295862885 end 1476108420285862885  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:00 2016 UTC-Mon Oct 10 14:07:00 2016 UTC (0.010 )  Time stamp start 1476108420579945745 end 1476108420569945745  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:00 2016 UTC-Mon Oct 10 14:07:00 2016 UTC (0.010 )  Time stamp start 1476108420901180880 end 1476108420891180880  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:01 2016 UTC-Mon Oct 10 14:07:01 2016 UTC (0.010 )  Time stamp start 1476108421141207225 end 1476108421131207050  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:04 2016 UTC-Mon Oct 10 14:07:04 2016 UTC (0.010 )  Time stamp start 1476108424706272940 end 1476108424696272940  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:05 2016 UTC-Mon Oct 10 14:07:05 2016 UTC (0.010 )  Time stamp start 1476108425080204390 end 1476108425070204390  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:06 2016 UTC-Mon Oct 10 14:07:06 2016 UTC (0.010 )  Time stamp start 1476108426121286880 end 1476108426111286880  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:06 2016 UTC-Mon Oct 10 14:07:06 2016 UTC (0.010 )  Time stamp start 1476108426358336925 end 1476108426348336750  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:06 2016 UTC-Mon Oct 10 14:07:06 2016 UTC (0.010 )  Time stamp start 1476108426641854925 end 1476108426631854925  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:07 2016 UTC-Mon Oct 10 14:07:07 2016 UTC (0.010 )  Time stamp start 1476108427054723845 end 1476108427044723845  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:07 2016 UTC-Mon Oct 10 14:07:07 2016 UTC (0.010 )  Time stamp start 1476108427331396460 end 1476108427321396460  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:07 2016 UTC-Mon Oct 10 14:07:07 2016 UTC (0.010 )  Time stamp start 1476108427472811340 end 1476108427462811340  Run 310341, LB 95, lumi 103.43
Event Veto ['NoiseBurst'], Mon Oct 10 14:07:22 2016 UTC-Mon Oct 10 14:07:22 2016 UTC (0.010 )  Time stamp start 1476108442443827850 end 1476108442433810560  Run 310341, LB 95, lumi 103.61
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:23 2016 UTC-Mon Oct 10 14:07:23 2016 UTC (0.010 )  Time stamp start 1476108443327566935 end 1476108443317566935  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:24 2016 UTC-Mon Oct 10 14:07:24 2016 UTC (0.010 )  Time stamp start 1476108444285663420 end 1476108444275663420  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:34 2016 UTC-Mon Oct 10 14:07:34 2016 UTC (0.010 )  Time stamp start 1476108454122028415 end 1476108454112028415  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:36 2016 UTC-Mon Oct 10 14:07:36 2016 UTC (0.010 )  Time stamp start 1476108456089787895 end 1476108456079787895  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:44 2016 UTC-Mon Oct 10 14:07:44 2016 UTC (0.010 )  Time stamp start 1476108464372654915 end 1476108464362654915  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:45 2016 UTC-Mon Oct 10 14:07:45 2016 UTC (0.020 )  Time stamp start 1476108465572197905 end 1476108465552599055  Run 310341, LB 96, lumi 218.16
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:48 2016 UTC-Mon Oct 10 14:07:48 2016 UTC (0.010 )  Time stamp start 1476108468235884140 end 1476108468225884140  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:52 2016 UTC-Mon Oct 10 14:07:52 2016 UTC (0.010 )  Time stamp start 1476108472947943230 end 1476108472937943230  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:54 2016 UTC-Mon Oct 10 14:07:54 2016 UTC (0.010 )  Time stamp start 1476108474077071740 end 1476108474067071740  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:07:59 2016 UTC-Mon Oct 10 14:07:59 2016 UTC (0.010 )  Time stamp start 1476108479547082205 end 1476108479537082205  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:01 2016 UTC-Mon Oct 10 14:08:01 2016 UTC (0.010 )  Time stamp start 1476108481046099445 end 1476108481036099445  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:02 2016 UTC-Mon Oct 10 14:08:02 2016 UTC (0.010 )  Time stamp start 1476108482824842550 end 1476108482814842550  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:03 2016 UTC-Mon Oct 10 14:08:03 2016 UTC (0.012 )  Time stamp start 1476108483659462635 end 1476108483647117815  Run 310341, LB 96, lumi 137.41
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:04 2016 UTC-Mon Oct 10 14:08:04 2016 UTC (0.010 )  Time stamp start 1476108484960007595 end 1476108484950007595  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:09 2016 UTC-Mon Oct 10 14:08:09 2016 UTC (0.010 )  Time stamp start 1476108489779587030 end 1476108489769586905  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:15 2016 UTC-Mon Oct 10 14:08:15 2016 UTC (0.010 )  Time stamp start 1476108495122949360 end 1476108495112949360  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:16 2016 UTC-Mon Oct 10 14:08:16 2016 UTC (0.010 )  Time stamp start 1476108496672101870 end 1476108496662101870  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:18 2016 UTC-Mon Oct 10 14:08:18 2016 UTC (0.010 )  Time stamp start 1476108498543993470 end 1476108498533993345  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:19 2016 UTC-Mon Oct 10 14:08:19 2016 UTC (0.010 )  Time stamp start 1476108499550420080 end 1476108499540420080  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:20 2016 UTC-Mon Oct 10 14:08:20 2016 UTC (0.010 )  Time stamp start 1476108500856754035 end 1476108500846754035  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:33 2016 UTC-Mon Oct 10 14:08:33 2016 UTC (0.010 )  Time stamp start 1476108513463625875 end 1476108513453625875  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:33 2016 UTC-Mon Oct 10 14:08:33 2016 UTC (0.019 )  Time stamp start 1476108513953247390 end 1476108513934275055  Run 310341, LB 96, lumi 211.18
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:35 2016 UTC-Mon Oct 10 14:08:35 2016 UTC (0.010 )  Time stamp start 1476108515413798055 end 1476108515403798055  Run 310341, LB 96, lumi 111.31
Event Veto ['NoiseBurst'], Mon Oct 10 14:08:37 2016 UTC-Mon Oct 10 14:08:37 2016 UTC (0.010 )  Time stamp start 1476108517039382490 end 1476108517029295860  Run 310341, LB 96, lumi 112.28
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:38 2016 UTC-Mon Oct 10 14:08:38 2016 UTC (0.010 )  Time stamp start 1476108518331036725 end 1476108518321036725  Run 310341, LB 96, lumi 111.31
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:08:40 2016 UTC-Mon Oct 10 14:08:40 2016 UTC (0.010 )  Time stamp start 1476108520024963310 end 1476108520014963310  Run 310341, LB 96, lumi 111.31
