Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310738 to 310738
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310738 to run 310738  lasting from Sun Oct 16 18:18:32 2016 UTC to Mon Oct 17 10:22:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:43 2016 UTC-Sun Oct 16 19:53:43 2016 UTC (0.001 )  Time stamp start 1476647623277832930 end 1476647623276832930  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:45 2016 UTC-Sun Oct 16 19:53:45 2016 UTC (0.001 )  Time stamp start 1476647625432327590 end 1476647625431327590  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:46 2016 UTC-Sun Oct 16 19:53:46 2016 UTC (0.001 )  Time stamp start 1476647626772076925 end 1476647626771076800  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:47 2016 UTC-Sun Oct 16 19:53:47 2016 UTC (0.001 )  Time stamp start 1476647627969056680 end 1476647627968056680  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:48 2016 UTC-Sun Oct 16 19:53:48 2016 UTC (0.001 )  Time stamp start 1476647628978106665 end 1476647628977105745  Run 310738, LB 100, lumi 12.98
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:51 2016 UTC-Sun Oct 16 19:53:51 2016 UTC (0.001 )  Time stamp start 1476647631348036820 end 1476647631347036820  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:52 2016 UTC-Sun Oct 16 19:53:52 2016 UTC (0.001 )  Time stamp start 1476647632620693865 end 1476647632619693865  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:53 2016 UTC-Sun Oct 16 19:53:53 2016 UTC (0.001 )  Time stamp start 1476647633803774985 end 1476647633802774985  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:55 2016 UTC-Sun Oct 16 19:53:55 2016 UTC (0.001 )  Time stamp start 1476647635338101295 end 1476647635337100245  Run 310738, LB 100, lumi 12.98
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct 16 19:53:56 2016 UTC-Sun Oct 16 19:53:56 2016 UTC (0.001 )  Time stamp start 1476647636804822550 end 1476647636803822550  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:57 2016 UTC-Sun Oct 16 19:53:57 2016 UTC (0.001 )  Time stamp start 1476647637965396755 end 1476647637964396755  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:58 2016 UTC-Sun Oct 16 19:53:58 2016 UTC (0.001 )  Time stamp start 1476647638461802875 end 1476647638460493965  Run 310738, LB 100, lumi 16.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:59 2016 UTC-Sun Oct 16 19:53:59 2016 UTC (0.001 )  Time stamp start 1476647639878005820 end 1476647639877005820  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:01 2016 UTC-Sun Oct 16 19:54:01 2016 UTC (0.001 )  Time stamp start 1476647641093770340 end 1476647641092770340  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:02 2016 UTC-Sun Oct 16 19:54:02 2016 UTC (0.001 )  Time stamp start 1476647642400309570 end 1476647642399309570  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:03 2016 UTC-Sun Oct 16 19:54:03 2016 UTC (0.001 )  Time stamp start 1476647643195651250 end 1476647643194651250  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:04 2016 UTC-Sun Oct 16 19:54:04 2016 UTC (0.001 )  Time stamp start 1476647644836581490 end 1476647644835581490  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:05 2016 UTC-Sun Oct 16 19:54:05 2016 UTC (0.001 )  Time stamp start 1476647645557280965 end 1476647645556280965  Run 310738, LB 101, lumi 13.42
