Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310473 to 310473
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310473 to run 310473  lasting from Thu Oct 13 03:34:48 2016 UTC to Thu Oct 13 12:06:59 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:24 2016 UTC-Thu Oct 13 04:58:24 2016 UTC (0.010 )  Time stamp start 1476334704262764645 end 1476334704252764645  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:24 2016 UTC-Thu Oct 13 04:58:24 2016 UTC (0.010 )  Time stamp start 1476334704742674310 end 1476334704732674310  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:25 2016 UTC-Thu Oct 13 04:58:25 2016 UTC (0.010 )  Time stamp start 1476334705500878540 end 1476334705490878540  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:26 2016 UTC-Thu Oct 13 04:58:26 2016 UTC (0.010 )  Time stamp start 1476334706421607225 end 1476334706411607225  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:27 2016 UTC-Thu Oct 13 04:58:27 2016 UTC (0.011 )  Time stamp start 1476334707375382740 end 1476334707364451230  Run 310473, LB 90, lumi 138.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:28 2016 UTC-Thu Oct 13 04:58:28 2016 UTC (0.010 )  Time stamp start 1476334708749902185 end 1476334708739902185  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:29 2016 UTC-Thu Oct 13 04:58:29 2016 UTC (0.010 )  Time stamp start 1476334709907226510 end 1476334709897226510  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:31 2016 UTC-Thu Oct 13 04:58:31 2016 UTC (0.010 )  Time stamp start 1476334711107937125 end 1476334711097937125  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:31 2016 UTC-Thu Oct 13 04:58:31 2016 UTC (0.010 )  Time stamp start 1476334711537617760 end 1476334711527617760  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:33 2016 UTC-Thu Oct 13 04:58:33 2016 UTC (0.010 )  Time stamp start 1476334713127021355 end 1476334713117021355  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:34 2016 UTC-Thu Oct 13 04:58:34 2016 UTC (0.017 )  Time stamp start 1476334714079648090 end 1476334714062546010  Run 310473, LB 90, lumi 217.09
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:35 2016 UTC-Thu Oct 13 04:58:35 2016 UTC (0.010 )  Time stamp start 1476334715302581335 end 1476334715292581335  Run 310473, LB 90, lumi 126.94
