Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328333 to 328333
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328333 to run 328333  lasting from Thu Jun 29 05:05:29 2017 UTC to Thu Jun 29 11:56:28 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:52 2017 UTC-Thu Jun 29 06:10:52 2017 UTC (0.001 )  Time stamp start 1498716652857862935 end 1498716652856862935  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:54 2017 UTC-Thu Jun 29 06:10:54 2017 UTC (0.001 )  Time stamp start 1498716654282523935 end 1498716654281523935  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:55 2017 UTC-Thu Jun 29 06:10:55 2017 UTC (0.001 )  Time stamp start 1498716655122027265 end 1498716655121027265  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:56 2017 UTC-Thu Jun 29 06:10:56 2017 UTC (0.001 )  Time stamp start 1498716656448453855 end 1498716656447453855  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:57 2017 UTC-Thu Jun 29 06:10:57 2017 UTC (0.001 )  Time stamp start 1498716657723279700 end 1498716657722279700  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:58 2017 UTC-Thu Jun 29 06:10:58 2017 UTC (0.001 )  Time stamp start 1498716658661351600 end 1498716658660351600  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:59 2017 UTC-Thu Jun 29 06:10:59 2017 UTC (0.001 )  Time stamp start 1498716659442434645 end 1498716659441434645  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:01 2017 UTC-Thu Jun 29 06:11:01 2017 UTC (0.001 )  Time stamp start 1498716661017164335 end 1498716661016164335  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:01 2017 UTC-Thu Jun 29 06:11:01 2017 UTC (0.001 )  Time stamp start 1498716661977681845 end 1498716661976657645  Run 328333, LB 73, lumi 15.61
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:02 2017 UTC-Thu Jun 29 06:11:02 2017 UTC (0.001 )  Time stamp start 1498716662834540335 end 1498716662833540335  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:03 2017 UTC-Thu Jun 29 06:11:03 2017 UTC (0.001 )  Time stamp start 1498716663414813545 end 1498716663413813545  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:04 2017 UTC-Thu Jun 29 06:11:04 2017 UTC (0.001 )  Time stamp start 1498716664675754180 end 1498716664674754180  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:05 2017 UTC-Thu Jun 29 06:11:05 2017 UTC (0.001 )  Time stamp start 1498716665502417135 end 1498716665501417135  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:06 2017 UTC-Thu Jun 29 06:11:06 2017 UTC (0.001 )  Time stamp start 1498716666716656545 end 1498716666715656545  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:07 2017 UTC-Thu Jun 29 06:11:07 2017 UTC (0.001 )  Time stamp start 1498716667937567055 end 1498716667936567055  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:08 2017 UTC-Thu Jun 29 06:11:08 2017 UTC (0.001 )  Time stamp start 1498716668959643555 end 1498716668958643555  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:09 2017 UTC-Thu Jun 29 06:11:09 2017 UTC (0.001 )  Time stamp start 1498716669406614895 end 1498716669405614895  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:10 2017 UTC-Thu Jun 29 06:11:10 2017 UTC (0.001 )  Time stamp start 1498716670332963165 end 1498716670331963165  Run 328333, LB 74, lumi 15.18
Event Veto ['NoiseBurst'], Thu Jun 29 06:11:11 2017 UTC-Thu Jun 29 06:11:11 2017 UTC (0.000 )  Time stamp start 1498716671724401805 end 1498716671724401355  Run 328333, LB 74, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:13 2017 UTC-Thu Jun 29 06:11:13 2017 UTC (0.001 )  Time stamp start 1498716673023589250 end 1498716673022589250  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:14 2017 UTC-Thu Jun 29 06:11:14 2017 UTC (0.001 )  Time stamp start 1498716674222601500 end 1498716674221601500  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:14 2017 UTC-Thu Jun 29 06:11:14 2017 UTC (0.001 )  Time stamp start 1498716674826465580 end 1498716674825465580  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:15 2017 UTC-Thu Jun 29 06:11:15 2017 UTC (0.001 )  Time stamp start 1498716675767844900 end 1498716675766844900  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:17 2017 UTC-Thu Jun 29 06:11:17 2017 UTC (0.001 )  Time stamp start 1498716677126370395 end 1498716677125369770  Run 328333, LB 74, lumi 15.19
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:17 2017 UTC-Thu Jun 29 06:11:17 2017 UTC (0.001 )  Time stamp start 1498716677591796125 end 1498716677590787590  Run 328333, LB 74, lumi 15.31
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:18 2017 UTC-Thu Jun 29 06:11:18 2017 UTC (0.001 )  Time stamp start 1498716678335685125 end 1498716678334685125  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:20 2017 UTC-Thu Jun 29 06:11:20 2017 UTC (0.001 )  Time stamp start 1498716680502219605 end 1498716680501219605  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:21 2017 UTC-Thu Jun 29 06:11:21 2017 UTC (0.001 )  Time stamp start 1498716681094654080 end 1498716681093654080  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:22 2017 UTC-Thu Jun 29 06:11:22 2017 UTC (0.001 )  Time stamp start 1498716682540981700 end 1498716682539981700  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:23 2017 UTC-Thu Jun 29 06:11:23 2017 UTC (0.001 )  Time stamp start 1498716683557401540 end 1498716683556401540  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:24 2017 UTC-Thu Jun 29 06:11:24 2017 UTC (0.001 )  Time stamp start 1498716684245865695 end 1498716684244865695  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:24 2017 UTC-Thu Jun 29 06:11:24 2017 UTC (0.001 )  Time stamp start 1498716684894182490 end 1498716684893182490  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:25 2017 UTC-Thu Jun 29 06:11:25 2017 UTC (0.001 )  Time stamp start 1498716685834228470 end 1498716685833228470  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:26 2017 UTC-Thu Jun 29 06:11:26 2017 UTC (0.001 )  Time stamp start 1498716686571463810 end 1498716686570463810  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:27 2017 UTC-Thu Jun 29 06:11:27 2017 UTC (0.001 )  Time stamp start 1498716687208558660 end 1498716687207558660  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:28 2017 UTC-Thu Jun 29 06:11:28 2017 UTC (0.001 )  Time stamp start 1498716688687577285 end 1498716688686577285  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:29 2017 UTC-Thu Jun 29 06:11:29 2017 UTC (0.001 )  Time stamp start 1498716689429825680 end 1498716689428825680  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:30 2017 UTC-Thu Jun 29 06:11:30 2017 UTC (0.001 )  Time stamp start 1498716690730805385 end 1498716690729805385  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:31 2017 UTC-Thu Jun 29 06:11:31 2017 UTC (0.001 )  Time stamp start 1498716691338099520 end 1498716691337099520  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:32 2017 UTC-Thu Jun 29 06:11:32 2017 UTC (0.001 )  Time stamp start 1498716692683844845 end 1498716692682844845  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:33 2017 UTC-Thu Jun 29 06:11:33 2017 UTC (0.001 )  Time stamp start 1498716693051421385 end 1498716693050421385  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:33 2017 UTC-Thu Jun 29 06:11:33 2017 UTC (0.001 )  Time stamp start 1498716693743088315 end 1498716693742088315  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:34 2017 UTC-Thu Jun 29 06:11:34 2017 UTC (0.001 )  Time stamp start 1498716694641160790 end 1498716694640160790  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:36 2017 UTC-Thu Jun 29 06:11:36 2017 UTC (0.001 )  Time stamp start 1498716696286055625 end 1498716696285055625  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:36 2017 UTC-Thu Jun 29 06:11:36 2017 UTC (0.001 )  Time stamp start 1498716696983560980 end 1498716696982560980  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:37 2017 UTC-Thu Jun 29 06:11:37 2017 UTC (0.001 )  Time stamp start 1498716697665741140 end 1498716697664741140  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:39 2017 UTC-Thu Jun 29 06:11:39 2017 UTC (0.001 )  Time stamp start 1498716699568345775 end 1498716699567345775  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:40 2017 UTC-Thu Jun 29 06:11:40 2017 UTC (0.001 )  Time stamp start 1498716700404255375 end 1498716700403255375  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:40 2017 UTC-Thu Jun 29 06:11:40 2017 UTC (0.001 )  Time stamp start 1498716700717371140 end 1498716700716371140  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:40 2017 UTC-Thu Jun 29 06:11:40 2017 UTC (0.001 )  Time stamp start 1498716700952998160 end 1498716700951998160  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:41 2017 UTC-Thu Jun 29 06:11:41 2017 UTC (0.001 )  Time stamp start 1498716701578121520 end 1498716701577121520  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:42 2017 UTC-Thu Jun 29 06:11:42 2017 UTC (0.001 )  Time stamp start 1498716702506784375 end 1498716702505784375  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:43 2017 UTC-Thu Jun 29 06:11:43 2017 UTC (0.001 )  Time stamp start 1498716703717677565 end 1498716703716677565  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:44 2017 UTC-Thu Jun 29 06:11:44 2017 UTC (0.001 )  Time stamp start 1498716704288822495 end 1498716704287822495  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:45 2017 UTC-Thu Jun 29 06:11:45 2017 UTC (0.001 )  Time stamp start 1498716705617732360 end 1498716705616732360  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:45 2017 UTC-Thu Jun 29 06:11:45 2017 UTC (0.001 )  Time stamp start 1498716705641550035 end 1498716705640550035  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:45 2017 UTC-Thu Jun 29 06:11:45 2017 UTC (0.001 )  Time stamp start 1498716705797783880 end 1498716705796783880  Run 328333, LB 74, lumi 15.18
