Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:15 2017 UTC-Wed Jun 28 17:34:15 2017 UTC (0.001 )  Time stamp start 1498671255474441485 end 1498671255473441485  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:16 2017 UTC-Wed Jun 28 17:34:16 2017 UTC (0.001 )  Time stamp start 1498671256211148875 end 1498671256210148875  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:17 2017 UTC-Wed Jun 28 17:34:17 2017 UTC (0.001 )  Time stamp start 1498671257998929820 end 1498671257997929820  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:18 2017 UTC-Wed Jun 28 17:34:18 2017 UTC (0.001 )  Time stamp start 1498671258797598355 end 1498671258796598355  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:20 2017 UTC-Wed Jun 28 17:34:20 2017 UTC (0.001 )  Time stamp start 1498671260316115235 end 1498671260315115235  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:20 2017 UTC-Wed Jun 28 17:34:20 2017 UTC (0.001 )  Time stamp start 1498671260646734370 end 1498671260645734370  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:22 2017 UTC-Wed Jun 28 17:34:22 2017 UTC (0.001 )  Time stamp start 1498671262085583565 end 1498671262084583565  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:22 2017 UTC-Wed Jun 28 17:34:22 2017 UTC (0.001 )  Time stamp start 1498671262807656620 end 1498671262806656620  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:24 2017 UTC-Wed Jun 28 17:34:24 2017 UTC (0.001 )  Time stamp start 1498671264876958460 end 1498671264875958460  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:25 2017 UTC-Wed Jun 28 17:34:25 2017 UTC (0.001 )  Time stamp start 1498671265822409795 end 1498671265821409795  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:26 2017 UTC-Wed Jun 28 17:34:26 2017 UTC (0.001 )  Time stamp start 1498671266711000125 end 1498671266710000125  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:28 2017 UTC-Wed Jun 28 17:34:28 2017 UTC (0.001 )  Time stamp start 1498671268962273270 end 1498671268961273270  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:29 2017 UTC-Wed Jun 28 17:34:29 2017 UTC (0.001 )  Time stamp start 1498671269832164810 end 1498671269831164810  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:31 2017 UTC-Wed Jun 28 17:34:31 2017 UTC (0.001 )  Time stamp start 1498671271010209890 end 1498671271009209890  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:31 2017 UTC-Wed Jun 28 17:34:31 2017 UTC (0.001 )  Time stamp start 1498671271791287725 end 1498671271790287725  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:32 2017 UTC-Wed Jun 28 17:34:32 2017 UTC (0.001 )  Time stamp start 1498671272087510790 end 1498671272086510790  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:34 2017 UTC-Wed Jun 28 17:34:34 2017 UTC (0.001 )  Time stamp start 1498671274293422895 end 1498671274292422895  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:34 2017 UTC-Wed Jun 28 17:34:34 2017 UTC (0.001 )  Time stamp start 1498671274520403040 end 1498671274519403040  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:36 2017 UTC-Wed Jun 28 17:34:36 2017 UTC (0.001 )  Time stamp start 1498671276135326190 end 1498671276134326190  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:38 2017 UTC-Wed Jun 28 17:34:38 2017 UTC (0.001 )  Time stamp start 1498671278125748435 end 1498671278124748435  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:39 2017 UTC-Wed Jun 28 17:34:39 2017 UTC (0.001 )  Time stamp start 1498671279057920165 end 1498671279056920165  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:39 2017 UTC-Wed Jun 28 17:34:39 2017 UTC (0.001 )  Time stamp start 1498671279360572510 end 1498671279359572510  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:39 2017 UTC-Wed Jun 28 17:34:39 2017 UTC (0.001 )  Time stamp start 1498671279885471700 end 1498671279884471700  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:40 2017 UTC-Wed Jun 28 17:34:40 2017 UTC (0.001 )  Time stamp start 1498671280640149360 end 1498671280639149360  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:42 2017 UTC-Wed Jun 28 17:34:42 2017 UTC (0.001 )  Time stamp start 1498671282635396955 end 1498671282634396955  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:43 2017 UTC-Wed Jun 28 17:34:43 2017 UTC (0.001 )  Time stamp start 1498671283605084570 end 1498671283604084570  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:44 2017 UTC-Wed Jun 28 17:34:44 2017 UTC (0.001 )  Time stamp start 1498671284068269000 end 1498671284067269000  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:46 2017 UTC-Wed Jun 28 17:34:46 2017 UTC (0.001 )  Time stamp start 1498671286489535255 end 1498671286488535255  Run 328263, LB 107, lumi 7.87
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jun 28 17:35:03 2017 UTC-Wed Jun 28 17:35:03 2017 UTC (0.000 )  Time stamp start 1498671303857000700 end 1498671303856955115  Run 328263, LB 107, lumi 0.36
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:11 2017 UTC-Wed Jun 28 17:35:11 2017 UTC (0.001 )  Time stamp start 1498671311638065665 end 1498671311637065665  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:12 2017 UTC-Wed Jun 28 17:35:12 2017 UTC (0.001 )  Time stamp start 1498671312510577310 end 1498671312509577310  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:13 2017 UTC-Wed Jun 28 17:35:13 2017 UTC (0.001 )  Time stamp start 1498671313909894105 end 1498671313908894105  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:15 2017 UTC-Wed Jun 28 17:35:15 2017 UTC (0.001 )  Time stamp start 1498671315799896860 end 1498671315798896860  Run 328263, LB 107, lumi 7.87
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:16 2017 UTC-Wed Jun 28 17:35:16 2017 UTC (0.001 )  Time stamp start 1498671316982178450 end 1498671316981178450  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:17 2017 UTC-Wed Jun 28 17:35:17 2017 UTC (0.001 )  Time stamp start 1498671317366814360 end 1498671317365814360  Run 328263, LB 108, lumi 7.86
