Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:11 2016 UTC-Wed Oct 19 04:08:11 2016 UTC (0.001 )  Time stamp start 1476850091526075690 end 1476850091525075690  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:12 2016 UTC-Wed Oct 19 04:08:12 2016 UTC (0.001 )  Time stamp start 1476850092908857430 end 1476850092907857430  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:14 2016 UTC-Wed Oct 19 04:08:14 2016 UTC (0.001 )  Time stamp start 1476850094125623905 end 1476850094124623905  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:15 2016 UTC-Wed Oct 19 04:08:15 2016 UTC (0.001 )  Time stamp start 1476850095842573475 end 1476850095841573475  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:17 2016 UTC-Wed Oct 19 04:08:17 2016 UTC (0.001 )  Time stamp start 1476850097438889610 end 1476850097437889610  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:18 2016 UTC-Wed Oct 19 04:08:18 2016 UTC (0.001 )  Time stamp start 1476850098085870660 end 1476850098084870660  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:19 2016 UTC-Wed Oct 19 04:08:19 2016 UTC (0.001 )  Time stamp start 1476850099415638515 end 1476850099414638515  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:21 2016 UTC-Wed Oct 19 04:08:21 2016 UTC (0.001 )  Time stamp start 1476850101330776400 end 1476850101329776400  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:30 2016 UTC-Wed Oct 19 04:08:30 2016 UTC (0.001 )  Time stamp start 1476850110109600115 end 1476850110108599990  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:30 2016 UTC-Wed Oct 19 04:08:30 2016 UTC (0.001 )  Time stamp start 1476850110512546230 end 1476850110511546230  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:31 2016 UTC-Wed Oct 19 04:08:31 2016 UTC (0.001 )  Time stamp start 1476850111759413005 end 1476850111758413005  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:33 2016 UTC-Wed Oct 19 04:08:33 2016 UTC (0.001 )  Time stamp start 1476850113957552445 end 1476850113956552320  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:41 2016 UTC-Wed Oct 19 04:08:41 2016 UTC (0.001 )  Time stamp start 1476850121706587805 end 1476850121705587805  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:43 2016 UTC-Wed Oct 19 04:08:43 2016 UTC (0.001 )  Time stamp start 1476850123599611680 end 1476850123598611680  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:45 2016 UTC-Wed Oct 19 04:08:45 2016 UTC (0.001 )  Time stamp start 1476850125375941315 end 1476850125374941315  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:49 2016 UTC-Wed Oct 19 04:08:49 2016 UTC (0.001 )  Time stamp start 1476850129980425705 end 1476850129979425705  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:51 2016 UTC-Wed Oct 19 04:08:51 2016 UTC (0.001 )  Time stamp start 1476850131195048790 end 1476850131194048790  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:51 2016 UTC-Wed Oct 19 04:08:51 2016 UTC (0.001 )  Time stamp start 1476850131942800610 end 1476850131941800610  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:53 2016 UTC-Wed Oct 19 04:08:53 2016 UTC (0.001 )  Time stamp start 1476850133429255170 end 1476850133428255170  Run 310872, LB 151, lumi 12.62
Event Veto ['NoiseBurst'], Wed Oct 19 04:08:54 2016 UTC-Wed Oct 19 04:08:54 2016 UTC (0.010 )  Time stamp start 1476850134392295935 end 1476850134382293540  Run 310872, LB 151, lumi 126.23
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:56 2016 UTC-Wed Oct 19 04:08:56 2016 UTC (0.001 )  Time stamp start 1476850136908420265 end 1476850136907420265  Run 310872, LB 151, lumi 12.62
Event Veto ['NoiseBurst'], Wed Oct 19 04:09:48 2016 UTC-Wed Oct 19 04:09:48 2016 UTC (0.010 )  Time stamp start 1476850188339353090 end 1476850188329233750  Run 310872, LB 152, lumi 124.57
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:48 2016 UTC-Wed Oct 19 04:09:48 2016 UTC (0.001 )  Time stamp start 1476850188945489890 end 1476850188944489890  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:50 2016 UTC-Wed Oct 19 04:09:50 2016 UTC (0.001 )  Time stamp start 1476850190290557585 end 1476850190289557585  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:51 2016 UTC-Wed Oct 19 04:09:51 2016 UTC (0.001 )  Time stamp start 1476850191421961545 end 1476850191420961545  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:54 2016 UTC-Wed Oct 19 04:09:54 2016 UTC (0.001 )  Time stamp start 1476850194016261695 end 1476850194015261695  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:54 2016 UTC-Wed Oct 19 04:09:54 2016 UTC (0.001 )  Time stamp start 1476850194911967410 end 1476850194910967410  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:55 2016 UTC-Wed Oct 19 04:09:55 2016 UTC (0.001 )  Time stamp start 1476850195792892015 end 1476850195791892015  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:57 2016 UTC-Wed Oct 19 04:09:57 2016 UTC (0.001 )  Time stamp start 1476850197214009740 end 1476850197213009740  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:57 2016 UTC-Wed Oct 19 04:09:57 2016 UTC (0.001 )  Time stamp start 1476850197971062100 end 1476850197970062100  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:58 2016 UTC-Wed Oct 19 04:09:58 2016 UTC (0.001 )  Time stamp start 1476850198424830305 end 1476850198423830305  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:59 2016 UTC-Wed Oct 19 04:09:59 2016 UTC (0.001 )  Time stamp start 1476850199185353760 end 1476850199184353760  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:00 2016 UTC-Wed Oct 19 04:10:00 2016 UTC (0.001 )  Time stamp start 1476850200059767140 end 1476850200058767140  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:01 2016 UTC-Wed Oct 19 04:10:01 2016 UTC (0.001 )  Time stamp start 1476850201085234325 end 1476850201084234325  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:03 2016 UTC-Wed Oct 19 04:10:03 2016 UTC (0.001 )  Time stamp start 1476850203718772480 end 1476850203717772480  Run 310872, LB 152, lumi 12.31
Event Veto ['NoiseBurst'], Wed Oct 19 04:10:14 2016 UTC-Wed Oct 19 04:10:14 2016 UTC (0.010 )  Time stamp start 1476850214581705370 end 1476850214571705120  Run 310872, LB 153, lumi 122.52
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:23 2016 UTC-Wed Oct 19 04:10:23 2016 UTC (0.001 )  Time stamp start 1476850223237190055 end 1476850223236189930  Run 310872, LB 153, lumi 12.25
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:25 2016 UTC-Wed Oct 19 04:10:25 2016 UTC (0.001 )  Time stamp start 1476850225559649500 end 1476850225558649500  Run 310872, LB 153, lumi 12.25
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:27 2016 UTC-Wed Oct 19 04:10:27 2016 UTC (0.001 )  Time stamp start 1476850227069466660 end 1476850227068466660  Run 310872, LB 153, lumi 12.25
