Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:58 2017 UTC-Wed Jun 28 17:31:58 2017 UTC (0.001 )  Time stamp start 1498671118708438425 end 1498671118707438425  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:59 2017 UTC-Wed Jun 28 17:31:59 2017 UTC (0.001 )  Time stamp start 1498671119604331410 end 1498671119603331410  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:59 2017 UTC-Wed Jun 28 17:31:59 2017 UTC (0.001 )  Time stamp start 1498671119882240455 end 1498671119881240455  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:01 2017 UTC-Wed Jun 28 17:32:01 2017 UTC (0.001 )  Time stamp start 1498671121512996870 end 1498671121511996870  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:02 2017 UTC-Wed Jun 28 17:32:02 2017 UTC (0.001 )  Time stamp start 1498671122025712285 end 1498671122024712285  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:02 2017 UTC-Wed Jun 28 17:32:02 2017 UTC (0.001 )  Time stamp start 1498671122828201130 end 1498671122827201130  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:03 2017 UTC-Wed Jun 28 17:32:03 2017 UTC (0.001 )  Time stamp start 1498671123474942065 end 1498671123473942065  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:04 2017 UTC-Wed Jun 28 17:32:04 2017 UTC (0.001 )  Time stamp start 1498671124389705465 end 1498671124388705465  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:05 2017 UTC-Wed Jun 28 17:32:05 2017 UTC (0.001 )  Time stamp start 1498671125892600440 end 1498671125891600440  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:06 2017 UTC-Wed Jun 28 17:32:06 2017 UTC (0.001 )  Time stamp start 1498671126807531210 end 1498671126806531210  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:07 2017 UTC-Wed Jun 28 17:32:07 2017 UTC (0.001 )  Time stamp start 1498671127308401790 end 1498671127307401790  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:08 2017 UTC-Wed Jun 28 17:32:08 2017 UTC (0.001 )  Time stamp start 1498671128905536605 end 1498671128904536605  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:09 2017 UTC-Wed Jun 28 17:32:09 2017 UTC (0.001 )  Time stamp start 1498671129657633085 end 1498671129656633085  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:10 2017 UTC-Wed Jun 28 17:32:10 2017 UTC (0.001 )  Time stamp start 1498671130998331960 end 1498671130997331960  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:11 2017 UTC-Wed Jun 28 17:32:11 2017 UTC (0.001 )  Time stamp start 1498671131695591905 end 1498671131694591905  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:13 2017 UTC-Wed Jun 28 17:32:13 2017 UTC (0.001 )  Time stamp start 1498671133141291900 end 1498671133140291900  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:14 2017 UTC-Wed Jun 28 17:32:14 2017 UTC (0.001 )  Time stamp start 1498671134109376480 end 1498671134108376480  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:14 2017 UTC-Wed Jun 28 17:32:14 2017 UTC (0.001 )  Time stamp start 1498671134524603945 end 1498671134523603945  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:15 2017 UTC-Wed Jun 28 17:32:15 2017 UTC (0.001 )  Time stamp start 1498671135327781375 end 1498671135326781375  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:16 2017 UTC-Wed Jun 28 17:32:16 2017 UTC (0.001 )  Time stamp start 1498671136092200605 end 1498671136091200605  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:16 2017 UTC-Wed Jun 28 17:32:16 2017 UTC (0.001 )  Time stamp start 1498671136542837685 end 1498671136541837685  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:17 2017 UTC-Wed Jun 28 17:32:17 2017 UTC (0.001 )  Time stamp start 1498671137019112595 end 1498671137018112595  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:18 2017 UTC-Wed Jun 28 17:32:18 2017 UTC (0.001 )  Time stamp start 1498671138016675875 end 1498671138015675875  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:19 2017 UTC-Wed Jun 28 17:32:19 2017 UTC (0.001 )  Time stamp start 1498671139611079260 end 1498671139610079260  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:20 2017 UTC-Wed Jun 28 17:32:20 2017 UTC (0.001 )  Time stamp start 1498671140046009700 end 1498671140045009700  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:21 2017 UTC-Wed Jun 28 17:32:21 2017 UTC (0.001 )  Time stamp start 1498671141041603265 end 1498671141040603265  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:22 2017 UTC-Wed Jun 28 17:32:22 2017 UTC (0.001 )  Time stamp start 1498671142230795360 end 1498671142229795360  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:22 2017 UTC-Wed Jun 28 17:32:22 2017 UTC (0.001 )  Time stamp start 1498671142912500390 end 1498671142911500390  Run 328263, LB 105, lumi 7.88
