Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310691 to 310691
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310691 to run 310691  lasting from Sat Oct 15 19:43:20 2016 UTC to Sun Oct 16 09:08:14 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:22 2016 UTC-Sat Oct 15 21:34:22 2016 UTC (0.001 )  Time stamp start 1476567262675291425 end 1476567262674291425  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:23 2016 UTC-Sat Oct 15 21:34:23 2016 UTC (0.001 )  Time stamp start 1476567263010588430 end 1476567263009225745  Run 310691, LB 117, lumi 16.86
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:23 2016 UTC-Sat Oct 15 21:34:23 2016 UTC (0.001 )  Time stamp start 1476567263511070635 end 1476567263510070635  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:24 2016 UTC-Sat Oct 15 21:34:24 2016 UTC (0.001 )  Time stamp start 1476567264109714270 end 1476567264108714270  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:26 2016 UTC-Sat Oct 15 21:34:26 2016 UTC (0.001 )  Time stamp start 1476567266919420965 end 1476567266918420965  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:29 2016 UTC-Sat Oct 15 21:34:29 2016 UTC (0.001 )  Time stamp start 1476567269201063140 end 1476567269200063140  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:29 2016 UTC-Sat Oct 15 21:34:29 2016 UTC (0.001 )  Time stamp start 1476567269930199990 end 1476567269929199990  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:31 2016 UTC-Sat Oct 15 21:34:31 2016 UTC (0.001 )  Time stamp start 1476567271196429200 end 1476567271195429200  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:32 2016 UTC-Sat Oct 15 21:34:32 2016 UTC (0.001 )  Time stamp start 1476567272414936645 end 1476567272413936645  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:33 2016 UTC-Sat Oct 15 21:34:33 2016 UTC (0.001 )  Time stamp start 1476567273657098445 end 1476567273656098445  Run 310691, LB 117, lumi 12.37
