Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310634 to 310634
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310634 to run 310634  lasting from Fri Oct 14 18:00:39 2016 UTC to Sat Oct 15 18:10:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:03 2016 UTC-Fri Oct 14 18:31:03 2016 UTC (0.001 )  Time stamp start 1476469863567532035 end 1476469863566532035  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:04 2016 UTC-Fri Oct 14 18:31:04 2016 UTC (0.001 )  Time stamp start 1476469864564798585 end 1476469864563798585  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:05 2016 UTC-Fri Oct 14 18:31:05 2016 UTC (0.000 )  Time stamp start 1476469865095817300 end 1476469865095817125  Run 310634, LB 34, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:09 2016 UTC-Fri Oct 14 18:31:09 2016 UTC (0.001 )  Time stamp start 1476469869261520170 end 1476469869260520170  Run 310634, LB 34, lumi 13.15
Event Veto ['NoiseBurst'], Fri Oct 14 18:31:42 2016 UTC-Fri Oct 14 18:31:42 2016 UTC (0.004 )  Time stamp start 1476469902430559985 end 1476469902426193855  Run 310634, LB 34, lumi 57.39
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:06 2016 UTC-Fri Oct 14 18:32:06 2016 UTC (0.001 )  Time stamp start 1476469926122859055 end 1476469926121859055  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:07 2016 UTC-Fri Oct 14 18:32:07 2016 UTC (0.001 )  Time stamp start 1476469927317142865 end 1476469927316142865  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:08 2016 UTC-Fri Oct 14 18:32:08 2016 UTC (0.001 )  Time stamp start 1476469928805425080 end 1476469928804425080  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:09 2016 UTC-Fri Oct 14 18:32:09 2016 UTC (0.001 )  Time stamp start 1476469929707327530 end 1476469929706327530  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:11 2016 UTC-Fri Oct 14 18:32:11 2016 UTC (0.001 )  Time stamp start 1476469931809572475 end 1476469931808572475  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:12 2016 UTC-Fri Oct 14 18:32:12 2016 UTC (0.001 )  Time stamp start 1476469932996525480 end 1476469932995525480  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:13 2016 UTC-Fri Oct 14 18:32:13 2016 UTC (0.001 )  Time stamp start 1476469933817519520 end 1476469933816519520  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:15 2016 UTC-Fri Oct 14 18:32:15 2016 UTC (0.001 )  Time stamp start 1476469935107529185 end 1476469935106529185  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:25 2016 UTC-Fri Oct 14 18:32:25 2016 UTC (0.001 )  Time stamp start 1476469945327269295 end 1476469945326269295  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:37 2016 UTC-Fri Oct 14 18:32:37 2016 UTC (0.001 )  Time stamp start 1476469957572261255 end 1476469957571261255  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:40 2016 UTC-Fri Oct 14 18:32:40 2016 UTC (0.001 )  Time stamp start 1476469960894937785 end 1476469960893937785  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:42 2016 UTC-Fri Oct 14 18:32:42 2016 UTC (0.001 )  Time stamp start 1476469962122344320 end 1476469962121344320  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:43 2016 UTC-Fri Oct 14 18:32:43 2016 UTC (0.001 )  Time stamp start 1476469963133849060 end 1476469963132849060  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:45 2016 UTC-Fri Oct 14 18:32:45 2016 UTC (0.001 )  Time stamp start 1476469965110678665 end 1476469965109678665  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:46 2016 UTC-Fri Oct 14 18:32:46 2016 UTC (0.001 )  Time stamp start 1476469966810732130 end 1476469966809732130  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:48 2016 UTC-Fri Oct 14 18:32:48 2016 UTC (0.001 )  Time stamp start 1476469968071704895 end 1476469968070704895  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:50 2016 UTC-Fri Oct 14 18:32:50 2016 UTC (0.001 )  Time stamp start 1476469970842268760 end 1476469970841268760  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:52 2016 UTC-Fri Oct 14 18:32:52 2016 UTC (0.001 )  Time stamp start 1476469972782901375 end 1476469972781901375  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:54 2016 UTC-Fri Oct 14 18:32:54 2016 UTC (0.001 )  Time stamp start 1476469974382016650 end 1476469974381016650  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:56 2016 UTC-Fri Oct 14 18:32:56 2016 UTC (0.001 )  Time stamp start 1476469976410403610 end 1476469976409403610  Run 310634, LB 35, lumi 13.05
