Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['NoiseBurst'], Sun Oct  9 12:41:09 2016 UTC-Sun Oct  9 12:41:09 2016 UTC (0.000 )  Time stamp start 1476016869823882000 end 1476016869823881300  Run 310249, LB 178, lumi 0.01
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:47 2016 UTC-Sun Oct  9 12:41:47 2016 UTC (0.010 )  Time stamp start 1476016907470121930 end 1476016907460121930  Run 310249, LB 179, lumi 136.98
Event Veto ['NoiseBurst'], Sun Oct  9 12:42:39 2016 UTC-Sun Oct  9 12:42:39 2016 UTC (0.006 )  Time stamp start 1476016959462000920 end 1476016959455935970  Run 310249, LB 180, lumi 82.88
Event Veto ['NoiseBurst'], Sun Oct  9 12:42:47 2016 UTC-Sun Oct  9 12:42:47 2016 UTC (0.000 )  Time stamp start 1476016967650014100 end 1476016967650011605  Run 310249, LB 180, lumi 0.03
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:42:50 2016 UTC-Sun Oct  9 12:42:50 2016 UTC (0.010 )  Time stamp start 1476016970820121810 end 1476016970810121810  Run 310249, LB 180, lumi 136.66
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:42:55 2016 UTC-Sun Oct  9 12:42:55 2016 UTC (0.010 )  Time stamp start 1476016975370106735 end 1476016975360106735  Run 310249, LB 180, lumi 136.66
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:43:12 2016 UTC-Sun Oct  9 12:43:12 2016 UTC (0.000 )  Time stamp start 1476016992090399895 end 1476016992090398645  Run 310249, LB 181, lumi 0.02
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:10 2016 UTC-Sun Oct  9 12:44:10 2016 UTC (0.001 )  Time stamp start 1476017050698111965 end 1476017050697111965  Run 310249, LB 182, lumi 13.56
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:22 2016 UTC-Sun Oct  9 12:44:23 2016 UTC (0.010 )  Time stamp start 1476017063007473785 end 1476017062997473785  Run 310249, LB 183, lumi 135.42
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:30 2016 UTC-Sun Oct  9 12:44:30 2016 UTC (0.010 )  Time stamp start 1476017070669536875 end 1476017070659536875  Run 310249, LB 183, lumi 135.42
Event Veto ['NoiseBurst'], Sun Oct  9 12:45:01 2016 UTC-Sun Oct  9 12:45:01 2016 UTC (0.000 )  Time stamp start 1476017101722740025 end 1476017101722739400  Run 310249, LB 183, lumi 0.01
