Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:39:04 2016 UTC-Sun Oct  9 12:39:04 2016 UTC (0.010 )  Time stamp start 1476016744768136340 end 1476016744758136340  Run 310249, LB 174, lumi 88.39
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:39:14 2016 UTC-Sun Oct  9 12:39:14 2016 UTC (0.010 )  Time stamp start 1476016754110458970 end 1476016754100458645  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:39:16 2016 UTC-Sun Oct  9 12:39:16 2016 UTC (0.010 )  Time stamp start 1476016756896618585 end 1476016756886618585  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:39:32 2016 UTC-Sun Oct  9 12:39:32 2016 UTC (0.010 )  Time stamp start 1476016772521134800 end 1476016772511134800  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:39:36 2016 UTC-Sun Oct  9 12:39:36 2016 UTC (0.014 )  Time stamp start 1476016776886713700 end 1476016776872335945  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:39:43 2016 UTC-Sun Oct  9 12:39:43 2016 UTC (0.010 )  Time stamp start 1476016783957552790 end 1476016783947552790  Run 310249, LB 175, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  9 12:40:03 2016 UTC-Sun Oct  9 12:40:03 2016 UTC (0.012 )  Time stamp start 1476016803466981880 end 1476016803455112885  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:09 2016 UTC-Sun Oct  9 12:40:09 2016 UTC (0.010 )  Time stamp start 1476016809570582110 end 1476016809560582110  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:16 2016 UTC-Sun Oct  9 12:40:16 2016 UTC (0.013 )  Time stamp start 1476016816036163555 end 1476016816023215525  Run 310249, LB 176, lumi 0.00
Event Veto ['NoiseBurst'], Sun Oct  9 12:40:25 2016 UTC-Sun Oct  9 12:40:25 2016 UTC (0.004 )  Time stamp start 1476016825352256700 end 1476016825348103975  Run 310249, LB 177, lumi 57.05
Event Veto ['NoiseBurst'], Sun Oct  9 12:40:27 2016 UTC-Sun Oct  9 12:40:27 2016 UTC (0.009 )  Time stamp start 1476016827890059590 end 1476016827880851995  Run 310249, LB 177, lumi 126.49
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:13 2016 UTC-Sun Oct  9 12:41:13 2016 UTC (0.010 )  Time stamp start 1476016873257561315 end 1476016873247561315  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:17 2016 UTC-Sun Oct  9 12:41:17 2016 UTC (0.010 )  Time stamp start 1476016877608173790 end 1476016877598173790  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:35 2016 UTC-Sun Oct  9 12:41:35 2016 UTC (0.010 )  Time stamp start 1476016895393274440 end 1476016895383274440  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:38 2016 UTC-Sun Oct  9 12:41:38 2016 UTC (0.010 )  Time stamp start 1476016898635631965 end 1476016898625631790  Run 310249, LB 178, lumi 137.17
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:43 2016 UTC-Sun Oct  9 12:41:43 2016 UTC (0.010 )  Time stamp start 1476016903724069400 end 1476016903714069400  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:51 2016 UTC-Sun Oct  9 12:41:51 2016 UTC (0.010 )  Time stamp start 1476016911667279770 end 1476016911657279770  Run 310249, LB 179, lumi 136.98
