Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628406712735 end 1500017628406612735  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628443130910 end 1500017628443030660  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628534769060 end 1500017628534668890  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628572427465 end 1500017628572327340  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628630299630 end 1500017628630199380  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628674709200 end 1500017628674609200  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628766992055 end 1500017628766892055  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628787784005 end 1500017628787684005  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628818506950 end 1500017628818406825  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628873973890 end 1500017628873873890  Run 329716, LB 259, lumi 0.71
