Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:55 2016 UTC-Fri Oct 21 01:05:55 2016 UTC (0.001 )  Time stamp start 1477011955923379180 end 1477011955922379180  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:56 2016 UTC-Fri Oct 21 01:05:56 2016 UTC (0.001 )  Time stamp start 1477011956548759080 end 1477011956547759080  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:57 2016 UTC-Fri Oct 21 01:05:57 2016 UTC (0.001 )  Time stamp start 1477011957169206865 end 1477011957168206865  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:57 2016 UTC-Fri Oct 21 01:05:57 2016 UTC (0.001 )  Time stamp start 1477011957869223080 end 1477011957868223080  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:58 2016 UTC-Fri Oct 21 01:05:58 2016 UTC (0.001 )  Time stamp start 1477011958590992830 end 1477011958589992830  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:59 2016 UTC-Fri Oct 21 01:05:59 2016 UTC (0.001 )  Time stamp start 1477011959361142235 end 1477011959360142235  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:59 2016 UTC-Fri Oct 21 01:05:59 2016 UTC (0.001 )  Time stamp start 1477011959985650800 end 1477011959984650800  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:00 2016 UTC-Fri Oct 21 01:06:00 2016 UTC (0.001 )  Time stamp start 1477011960622910915 end 1477011960621910915  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:01 2016 UTC-Fri Oct 21 01:06:01 2016 UTC (0.001 )  Time stamp start 1477011961450959760 end 1477011961449959610  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:01 2016 UTC-Fri Oct 21 01:06:01 2016 UTC (0.001 )  Time stamp start 1477011961700901330 end 1477011961699901330  Run 311071, LB 135, lumi 11.65
Event Veto ['NoiseBurst'], Fri Oct 21 01:06:06 2016 UTC-Fri Oct 21 01:06:06 2016 UTC (0.007 )  Time stamp start 1477011966359509200 end 1477011966352440335  Run 311071, LB 135, lumi 82.32
Event Veto ['NoiseBurst'], Fri Oct 21 01:06:09 2016 UTC-Fri Oct 21 01:06:09 2016 UTC (0.010 )  Time stamp start 1477011969145034625 end 1477011969135033850  Run 311071, LB 135, lumi 116.46
Event Veto ['NoiseBurst'], Fri Oct 21 01:06:23 2016 UTC-Fri Oct 21 01:06:23 2016 UTC (0.010 )  Time stamp start 1477011983209900990 end 1477011983199897550  Run 311071, LB 135, lumi 116.49
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:07:05 2016 UTC-Fri Oct 21 01:07:05 2016 UTC (0.001 )  Time stamp start 1477012025322932675 end 1477012025321932675  Run 311071, LB 136, lumi 11.82
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:07:05 2016 UTC-Fri Oct 21 01:07:05 2016 UTC (0.001 )  Time stamp start 1477012025923152295 end 1477012025922152295  Run 311071, LB 136, lumi 11.82
Event Veto ['NoiseBurst'], Fri Oct 21 01:07:15 2016 UTC-Fri Oct 21 01:07:15 2016 UTC (0.000 )  Time stamp start 1477012035642606210 end 1477012035642605885  Run 311071, LB 136, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:46 2016 UTC-Fri Oct 21 01:08:46 2016 UTC (0.001 )  Time stamp start 1477012126748269535 end 1477012126747269535  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:47 2016 UTC-Fri Oct 21 01:08:47 2016 UTC (0.001 )  Time stamp start 1477012127162476820 end 1477012127161476820  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:47 2016 UTC-Fri Oct 21 01:08:47 2016 UTC (0.001 )  Time stamp start 1477012127829728975 end 1477012127828728975  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:49 2016 UTC-Fri Oct 21 01:08:49 2016 UTC (0.001 )  Time stamp start 1477012129267308585 end 1477012129266308585  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:50 2016 UTC-Fri Oct 21 01:08:50 2016 UTC (0.001 )  Time stamp start 1477012130536956560 end 1477012130535956560  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:51 2016 UTC-Fri Oct 21 01:08:51 2016 UTC (0.001 )  Time stamp start 1477012131145803275 end 1477012131144803275  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:52 2016 UTC-Fri Oct 21 01:08:52 2016 UTC (0.001 )  Time stamp start 1477012132149434970 end 1477012132148434970  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:53 2016 UTC-Fri Oct 21 01:08:53 2016 UTC (0.001 )  Time stamp start 1477012133293352500 end 1477012133292352500  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:54 2016 UTC-Fri Oct 21 01:08:54 2016 UTC (0.001 )  Time stamp start 1477012134644466865 end 1477012134643466865  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:56 2016 UTC-Fri Oct 21 01:08:56 2016 UTC (0.001 )  Time stamp start 1477012136874887900 end 1477012136873887900  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:58 2016 UTC-Fri Oct 21 01:08:58 2016 UTC (0.001 )  Time stamp start 1477012138029973285 end 1477012138028973285  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:59 2016 UTC-Fri Oct 21 01:08:59 2016 UTC (0.001 )  Time stamp start 1477012139267993505 end 1477012139266993505  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:59 2016 UTC-Fri Oct 21 01:08:59 2016 UTC (0.001 )  Time stamp start 1477012139698509245 end 1477012139697509245  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:00 2016 UTC-Fri Oct 21 01:09:00 2016 UTC (0.001 )  Time stamp start 1477012140281804875 end 1477012140280804875  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:01 2016 UTC-Fri Oct 21 01:09:01 2016 UTC (0.001 )  Time stamp start 1477012141453525215 end 1477012141452525215  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:02 2016 UTC-Fri Oct 21 01:09:02 2016 UTC (0.001 )  Time stamp start 1477012142653865875 end 1477012142652865875  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:03 2016 UTC-Fri Oct 21 01:09:03 2016 UTC (0.001 )  Time stamp start 1477012143428167535 end 1477012143427167535  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:04 2016 UTC-Fri Oct 21 01:09:04 2016 UTC (0.001 )  Time stamp start 1477012144442518340 end 1477012144441518340  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:04 2016 UTC-Fri Oct 21 01:09:04 2016 UTC (0.001 )  Time stamp start 1477012144860212120 end 1477012144859212120  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:05 2016 UTC-Fri Oct 21 01:09:05 2016 UTC (0.001 )  Time stamp start 1477012145523776330 end 1477012145522776330  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:06 2016 UTC-Fri Oct 21 01:09:06 2016 UTC (0.001 )  Time stamp start 1477012146150081750 end 1477012146149081750  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:06 2016 UTC-Fri Oct 21 01:09:06 2016 UTC (0.001 )  Time stamp start 1477012146875193445 end 1477012146874193445  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:08 2016 UTC-Fri Oct 21 01:09:08 2016 UTC (0.001 )  Time stamp start 1477012148241962780 end 1477012148240962780  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:08 2016 UTC-Fri Oct 21 01:09:08 2016 UTC (0.001 )  Time stamp start 1477012148806536500 end 1477012148805536500  Run 311071, LB 138, lumi 11.24
