Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329964 to 329964
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329964 to run 329964  lasting from Tue Jul 18 03:24:44 2017 UTC to Tue Jul 18 09:36:45 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:16 2017 UTC-Tue Jul 18 04:57:16 2017 UTC (0.001 )  Time stamp start 1500353836325483280 end 1500353836324483280  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:18 2017 UTC-Tue Jul 18 04:57:18 2017 UTC (0.001 )  Time stamp start 1500353838229605615 end 1500353838228605615  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:19 2017 UTC-Tue Jul 18 04:57:19 2017 UTC (0.001 )  Time stamp start 1500353839111348985 end 1500353839110348985  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:20 2017 UTC-Tue Jul 18 04:57:20 2017 UTC (0.001 )  Time stamp start 1500353840265158115 end 1500353840264158115  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:23 2017 UTC-Tue Jul 18 04:57:23 2017 UTC (0.001 )  Time stamp start 1500353843097254625 end 1500353843096254625  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:24 2017 UTC-Tue Jul 18 04:57:24 2017 UTC (0.001 )  Time stamp start 1500353844002341710 end 1500353844001341710  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:25 2017 UTC-Tue Jul 18 04:57:25 2017 UTC (0.001 )  Time stamp start 1500353845789628840 end 1500353845788628840  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:26 2017 UTC-Tue Jul 18 04:57:26 2017 UTC (0.001 )  Time stamp start 1500353846338342960 end 1500353846337342960  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:27 2017 UTC-Tue Jul 18 04:57:27 2017 UTC (0.001 )  Time stamp start 1500353847629964410 end 1500353847628964410  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:30 2017 UTC-Tue Jul 18 04:57:30 2017 UTC (0.001 )  Time stamp start 1500353850147015915 end 1500353850146015915  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:30 2017 UTC-Tue Jul 18 04:57:30 2017 UTC (0.001 )  Time stamp start 1500353850904712790 end 1500353850903712790  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:33 2017 UTC-Tue Jul 18 04:57:33 2017 UTC (0.001 )  Time stamp start 1500353853175642315 end 1500353853174642315  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:35 2017 UTC-Tue Jul 18 04:57:35 2017 UTC (0.001 )  Time stamp start 1500353855809261425 end 1500353855808261425  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:37 2017 UTC-Tue Jul 18 04:57:37 2017 UTC (0.001 )  Time stamp start 1500353857460336430 end 1500353857459336430  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:38 2017 UTC-Tue Jul 18 04:57:38 2017 UTC (0.001 )  Time stamp start 1500353858993703175 end 1500353858992703175  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:39 2017 UTC-Tue Jul 18 04:57:39 2017 UTC (0.001 )  Time stamp start 1500353859854776155 end 1500353859853776155  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:41 2017 UTC-Tue Jul 18 04:57:41 2017 UTC (0.001 )  Time stamp start 1500353861666197685 end 1500353861665197685  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:42 2017 UTC-Tue Jul 18 04:57:42 2017 UTC (0.001 )  Time stamp start 1500353862467829450 end 1500353862466829450  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:43 2017 UTC-Tue Jul 18 04:57:43 2017 UTC (0.001 )  Time stamp start 1500353863143563595 end 1500353863142563595  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:44 2017 UTC-Tue Jul 18 04:57:44 2017 UTC (0.001 )  Time stamp start 1500353864691924210 end 1500353864690924210  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:45 2017 UTC-Tue Jul 18 04:57:45 2017 UTC (0.001 )  Time stamp start 1500353865451983400 end 1500353865450983400  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:47 2017 UTC-Tue Jul 18 04:57:47 2017 UTC (0.001 )  Time stamp start 1500353867397409615 end 1500353867396409615  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:48 2017 UTC-Tue Jul 18 04:57:48 2017 UTC (0.000 )  Time stamp start 1500353868538959360 end 1500353868538859360  Run 329964, LB 98, lumi 1.26
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:49 2017 UTC-Tue Jul 18 04:57:49 2017 UTC (0.001 )  Time stamp start 1500353869889079155 end 1500353869888079155  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:52 2017 UTC-Tue Jul 18 04:57:52 2017 UTC (0.001 )  Time stamp start 1500353872126486610 end 1500353872125486610  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:53 2017 UTC-Tue Jul 18 04:57:53 2017 UTC (0.001 )  Time stamp start 1500353873053477475 end 1500353873052477475  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:53 2017 UTC-Tue Jul 18 04:57:53 2017 UTC (0.001 )  Time stamp start 1500353873824914525 end 1500353873823914525  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:56 2017 UTC-Tue Jul 18 04:57:56 2017 UTC (0.001 )  Time stamp start 1500353876004864520 end 1500353876003864520  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:56 2017 UTC-Tue Jul 18 04:57:56 2017 UTC (0.001 )  Time stamp start 1500353876869736125 end 1500353876868736125  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:59 2017 UTC-Tue Jul 18 04:57:59 2017 UTC (0.001 )  Time stamp start 1500353879039254140 end 1500353879038254140  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:59 2017 UTC-Tue Jul 18 04:57:59 2017 UTC (0.001 )  Time stamp start 1500353879061594955 end 1500353879060594955  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:59 2017 UTC-Tue Jul 18 04:57:59 2017 UTC (0.001 )  Time stamp start 1500353879097430880 end 1500353879096430880  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:59 2017 UTC-Tue Jul 18 04:57:59 2017 UTC (0.001 )  Time stamp start 1500353879118950445 end 1500353879117950445  Run 329964, LB 98, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:59 2017 UTC-Tue Jul 18 04:57:59 2017 UTC (0.000 )  Time stamp start 1500353879248415155 end 1500353879248315155  Run 329964, LB 98, lumi 1.26
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Jul 18 04:58:00 2017 UTC-Tue Jul 18 04:58:00 2017 UTC (0.000 )  Time stamp start 1500353880409286365 end 1500353880409186365  Run 329964, LB 98, lumi 1.26
