Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:27 2016 UTC-Wed Oct 19 04:07:27 2016 UTC (0.001 )  Time stamp start 1476850047790584105 end 1476850047789584105  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:29 2016 UTC-Wed Oct 19 04:07:29 2016 UTC (0.001 )  Time stamp start 1476850049251361705 end 1476850049250361705  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:30 2016 UTC-Wed Oct 19 04:07:30 2016 UTC (0.001 )  Time stamp start 1476850050250638420 end 1476850050249638420  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:30 2016 UTC-Wed Oct 19 04:07:30 2016 UTC (0.001 )  Time stamp start 1476850050935004330 end 1476850050934004330  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:31 2016 UTC-Wed Oct 19 04:07:31 2016 UTC (0.001 )  Time stamp start 1476850051805510525 end 1476850051804510525  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:32 2016 UTC-Wed Oct 19 04:07:32 2016 UTC (0.001 )  Time stamp start 1476850052782118420 end 1476850052781118420  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:33 2016 UTC-Wed Oct 19 04:07:33 2016 UTC (0.001 )  Time stamp start 1476850053508788240 end 1476850053507788240  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:34 2016 UTC-Wed Oct 19 04:07:34 2016 UTC (0.000 )  Time stamp start 1476850054900514620 end 1476850054900514320  Run 310872, LB 150, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:40 2016 UTC-Wed Oct 19 04:07:40 2016 UTC (0.001 )  Time stamp start 1476850060406134010 end 1476850060405134010  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:48 2016 UTC-Wed Oct 19 04:07:48 2016 UTC (0.001 )  Time stamp start 1476850068428190275 end 1476850068427190275  Run 310872, LB 150, lumi 12.76
