Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:57 2016 UTC-Fri Oct 21 01:13:57 2016 UTC (0.002 )  Time stamp start 1477012437004088095 end 1477012437002240170  Run 311071, LB 143, lumi 22.21
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:57 2016 UTC-Fri Oct 21 01:13:57 2016 UTC (0.001 )  Time stamp start 1477012437468033160 end 1477012437467033160  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:33 2016 UTC-Fri Oct 21 01:14:33 2016 UTC (0.001 )  Time stamp start 1477012473392475695 end 1477012473391475695  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:35 2016 UTC-Fri Oct 21 01:14:35 2016 UTC (0.001 )  Time stamp start 1477012475379084985 end 1477012475378084985  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:36 2016 UTC-Fri Oct 21 01:14:36 2016 UTC (0.001 )  Time stamp start 1477012476185312785 end 1477012476184312785  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:37 2016 UTC-Fri Oct 21 01:14:37 2016 UTC (0.001 )  Time stamp start 1477012477938719435 end 1477012477937719435  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:38 2016 UTC-Fri Oct 21 01:14:38 2016 UTC (0.001 )  Time stamp start 1477012478708088785 end 1477012478707088785  Run 311071, LB 144, lumi 12.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:40 2016 UTC-Fri Oct 21 01:14:40 2016 UTC (0.001 )  Time stamp start 1477012480374824695 end 1477012480373824695  Run 311071, LB 145, lumi 11.96
Event Veto ['NoiseBurst'], Fri Oct 21 01:14:52 2016 UTC-Fri Oct 21 01:14:52 2016 UTC (0.010 )  Time stamp start 1477012492369945340 end 1477012492359944965  Run 311071, LB 145, lumi 119.63
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:52 2016 UTC-Fri Oct 21 01:14:52 2016 UTC (0.001 )  Time stamp start 1477012492949987390 end 1477012492948987390  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:53 2016 UTC-Fri Oct 21 01:14:53 2016 UTC (0.001 )  Time stamp start 1477012493798136300 end 1477012493797136300  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:54 2016 UTC-Fri Oct 21 01:14:54 2016 UTC (0.001 )  Time stamp start 1477012494282971325 end 1477012494281971325  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:55 2016 UTC-Fri Oct 21 01:14:55 2016 UTC (0.001 )  Time stamp start 1477012495917679895 end 1477012495916679895  Run 311071, LB 145, lumi 11.96
Event Veto ['NoiseBurst'], Fri Oct 21 01:14:56 2016 UTC-Fri Oct 21 01:14:56 2016 UTC (0.010 )  Time stamp start 1477012496638973665 end 1477012496628939355  Run 311071, LB 145, lumi 120.04
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:57 2016 UTC-Fri Oct 21 01:14:57 2016 UTC (0.001 )  Time stamp start 1477012497214754595 end 1477012497213754425  Run 311071, LB 145, lumi 11.96
