Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328042 to 328042
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328042 to run 328042  lasting from Tue Jun 27 01:46:59 2017 UTC to Tue Jun 27 10:12:59 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:16 2017 UTC-Tue Jun 27 01:59:16 2017 UTC (0.001 )  Time stamp start 1498528756193568905 end 1498528756192568905  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:18 2017 UTC-Tue Jun 27 01:59:18 2017 UTC (0.001 )  Time stamp start 1498528758188651510 end 1498528758187651510  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:19 2017 UTC-Tue Jun 27 01:59:19 2017 UTC (0.001 )  Time stamp start 1498528759121268405 end 1498528759120268405  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:19 2017 UTC-Tue Jun 27 01:59:19 2017 UTC (0.001 )  Time stamp start 1498528759740950280 end 1498528759739950280  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:20 2017 UTC-Tue Jun 27 01:59:20 2017 UTC (0.001 )  Time stamp start 1498528760756241975 end 1498528760755241975  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:22 2017 UTC-Tue Jun 27 01:59:22 2017 UTC (0.001 )  Time stamp start 1498528762276112570 end 1498528762275112570  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:22 2017 UTC-Tue Jun 27 01:59:22 2017 UTC (0.001 )  Time stamp start 1498528762676686585 end 1498528762675686585  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:33 2017 UTC-Tue Jun 27 01:59:33 2017 UTC (0.001 )  Time stamp start 1498528773825629955 end 1498528773824629955  Run 328042, LB 17, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:35 2017 UTC-Tue Jun 27 01:59:35 2017 UTC (0.001 )  Time stamp start 1498528775046307305 end 1498528775045307305  Run 328042, LB 17, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:36 2017 UTC-Tue Jun 27 01:59:36 2017 UTC (0.001 )  Time stamp start 1498528776627754550 end 1498528776626754550  Run 328042, LB 17, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:51 2017 UTC-Tue Jun 27 01:59:51 2017 UTC (0.001 )  Time stamp start 1498528791075757610 end 1498528791074757610  Run 328042, LB 18, lumi 11.89
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:00:35 2017 UTC-Tue Jun 27 02:00:35 2017 UTC (0.001 )  Time stamp start 1498528835913619455 end 1498528835912619455  Run 328042, LB 18, lumi 11.89
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:00:45 2017 UTC-Tue Jun 27 02:00:45 2017 UTC (0.001 )  Time stamp start 1498528845906966235 end 1498528845905966235  Run 328042, LB 19, lumi 11.87
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:01:15 2017 UTC-Tue Jun 27 02:01:15 2017 UTC (0.001 )  Time stamp start 1498528875941059635 end 1498528875940059635  Run 328042, LB 19, lumi 11.87
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:01:30 2017 UTC-Tue Jun 27 02:01:30 2017 UTC (0.001 )  Time stamp start 1498528890937435085 end 1498528890936435085  Run 328042, LB 19, lumi 11.87
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:07 2017 UTC-Tue Jun 27 02:03:07 2017 UTC (0.001 )  Time stamp start 1498528987472208905 end 1498528987471208905  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:08 2017 UTC-Tue Jun 27 02:03:08 2017 UTC (0.001 )  Time stamp start 1498528988913802620 end 1498528988912802620  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:09 2017 UTC-Tue Jun 27 02:03:09 2017 UTC (0.001 )  Time stamp start 1498528989860205675 end 1498528989859205675  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:10 2017 UTC-Tue Jun 27 02:03:10 2017 UTC (0.001 )  Time stamp start 1498528990565648880 end 1498528990564648880  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:11 2017 UTC-Tue Jun 27 02:03:11 2017 UTC (0.001 )  Time stamp start 1498528991824139375 end 1498528991823139375  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:12 2017 UTC-Tue Jun 27 02:03:12 2017 UTC (0.001 )  Time stamp start 1498528992807924570 end 1498528992806924570  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:13 2017 UTC-Tue Jun 27 02:03:13 2017 UTC (0.001 )  Time stamp start 1498528993879979645 end 1498528993878979645  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:14 2017 UTC-Tue Jun 27 02:03:14 2017 UTC (0.001 )  Time stamp start 1498528994310908980 end 1498528994309908980  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:15 2017 UTC-Tue Jun 27 02:03:15 2017 UTC (0.001 )  Time stamp start 1498528995603930925 end 1498528995602930925  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:16 2017 UTC-Tue Jun 27 02:03:16 2017 UTC (0.001 )  Time stamp start 1498528996205595220 end 1498528996204595220  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:17 2017 UTC-Tue Jun 27 02:03:17 2017 UTC (0.001 )  Time stamp start 1498528997161677615 end 1498528997160677615  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:18 2017 UTC-Tue Jun 27 02:03:18 2017 UTC (0.001 )  Time stamp start 1498528998471059680 end 1498528998470059680  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:18 2017 UTC-Tue Jun 27 02:03:18 2017 UTC (0.001 )  Time stamp start 1498528998984634820 end 1498528998983634820  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:19 2017 UTC-Tue Jun 27 02:03:19 2017 UTC (0.001 )  Time stamp start 1498528999392083590 end 1498528999391083590  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:20 2017 UTC-Tue Jun 27 02:03:20 2017 UTC (0.001 )  Time stamp start 1498529000259664985 end 1498529000258664985  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:21 2017 UTC-Tue Jun 27 02:03:21 2017 UTC (0.001 )  Time stamp start 1498529001191677200 end 1498529001190677200  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:22 2017 UTC-Tue Jun 27 02:03:22 2017 UTC (0.001 )  Time stamp start 1498529002018315180 end 1498529002017315180  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:22 2017 UTC-Tue Jun 27 02:03:22 2017 UTC (0.001 )  Time stamp start 1498529002711206520 end 1498529002710206520  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:23 2017 UTC-Tue Jun 27 02:03:23 2017 UTC (0.001 )  Time stamp start 1498529003714952305 end 1498529003713952305  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:25 2017 UTC-Tue Jun 27 02:03:25 2017 UTC (0.001 )  Time stamp start 1498529005027483085 end 1498529005026483085  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:26 2017 UTC-Tue Jun 27 02:03:26 2017 UTC (0.001 )  Time stamp start 1498529006260730665 end 1498529006259730665  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:27 2017 UTC-Tue Jun 27 02:03:27 2017 UTC (0.001 )  Time stamp start 1498529007258884615 end 1498529007257884615  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:29 2017 UTC-Tue Jun 27 02:03:29 2017 UTC (0.001 )  Time stamp start 1498529009137133935 end 1498529009136133935  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:29 2017 UTC-Tue Jun 27 02:03:29 2017 UTC (0.001 )  Time stamp start 1498529009580151180 end 1498529009579151180  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:29 2017 UTC-Tue Jun 27 02:03:29 2017 UTC (0.001 )  Time stamp start 1498529009913080820 end 1498529009912080820  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:30 2017 UTC-Tue Jun 27 02:03:30 2017 UTC (0.001 )  Time stamp start 1498529010927640235 end 1498529010926640235  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:31 2017 UTC-Tue Jun 27 02:03:31 2017 UTC (0.001 )  Time stamp start 1498529011799718680 end 1498529011798718680  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:31 2017 UTC-Tue Jun 27 02:03:31 2017 UTC (0.001 )  Time stamp start 1498529011827315745 end 1498529011826315745  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:32 2017 UTC-Tue Jun 27 02:03:32 2017 UTC (0.001 )  Time stamp start 1498529012786184610 end 1498529012785184610  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:34 2017 UTC-Tue Jun 27 02:03:34 2017 UTC (0.001 )  Time stamp start 1498529014359989970 end 1498529014358989970  Run 328042, LB 24, lumi 11.83
Event Veto ['MiniNoiseBurst'], Tue Jun 27 02:03:35 2017 UTC-Tue Jun 27 02:03:35 2017 UTC (0.001 )  Time stamp start 1498529015601247310 end 1498529015600247310  Run 328042, LB 24, lumi 11.83
