Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629118266255 end 1500017629118166255  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629146509440 end 1500017629146409440  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629199521430 end 1500017629199421430  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629251303745 end 1500017629251203745  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629317702330 end 1500017629317602330  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629362814585 end 1500017629362714460  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629400563310 end 1500017629400463060  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629442282590 end 1500017629442182590  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629464337000 end 1500017629464236875  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629516535645 end 1500017629516435645  Run 329716, LB 259, lumi 0.71
