Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 360161 to 360161
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 360161 to run 360161  lasting from Fri Sep  7 00:12:28 2018 UTC to Fri Sep  7 06:52:09 2018 UTC
Event Veto ['NoiseBurst'], Fri Sep  7 02:43:31 2018 UTC-Fri Sep  7 02:43:31 2018 UTC (0.003 )  Time stamp start 1536288211135695195 end 1536288211132432460  Run 360161, LB 195, lumi 51.20
Event Veto ['NoiseBurst'], Fri Sep  7 02:43:31 2018 UTC-Fri Sep  7 02:43:31 2018 UTC (0.004 )  Time stamp start 1536288211139906130 end 1536288211135860020  Run 360161, LB 195, lumi 63.49
Event Veto ['NoiseBurst'], Fri Sep  7 02:43:31 2018 UTC-Fri Sep  7 02:43:31 2018 UTC (0.002 )  Time stamp start 1536288211142878085 end 1536288211140572740  Run 360161, LB 195, lumi 36.18
Event Veto ['MiniNoiseBurst'], Fri Sep  7 02:45:07 2018 UTC-Fri Sep  7 02:45:07 2018 UTC (0.001 )  Time stamp start 1536288307773532900 end 1536288307772532900  Run 360161, LB 196, lumi 15.63
Event Veto ['MiniNoiseBurst'], Fri Sep  7 02:45:15 2018 UTC-Fri Sep  7 02:45:15 2018 UTC (0.001 )  Time stamp start 1536288315347335335 end 1536288315346335335  Run 360161, LB 196, lumi 15.63
Event Veto ['MiniNoiseBurst'], Fri Sep  7 02:51:16 2018 UTC-Fri Sep  7 02:51:16 2018 UTC (0.001 )  Time stamp start 1536288676068195455 end 1536288676067195455  Run 360161, LB 202, lumi 15.52
Event Veto ['NoiseBurst'], Fri Sep  7 02:51:36 2018 UTC-Fri Sep  7 02:51:36 2018 UTC (0.001 )  Time stamp start 1536288696988799240 end 1536288696987798845  Run 360161, LB 203, lumi 15.49
Event Veto ['NoiseBurst'], Fri Sep  7 02:52:45 2018 UTC-Fri Sep  7 02:52:45 2018 UTC (0.033 )  Time stamp start 1536288765692044970 end 1536288765659151890  Run 360161, LB 204, lumi 509.36
Event Veto ['NoiseBurst'], Fri Sep  7 02:54:24 2018 UTC-Fri Sep  7 02:54:24 2018 UTC (0.001 )  Time stamp start 1536288864767915905 end 1536288864766915780  Run 360161, LB 206, lumi 15.42
Event Veto ['NoiseBurst'], Fri Sep  7 02:55:24 2018 UTC-Fri Sep  7 02:55:24 2018 UTC (0.001 )  Time stamp start 1536288924337129870 end 1536288924335960055  Run 360161, LB 207, lumi 18.00
Event Veto ['NoiseBurst'], Fri Sep  7 02:55:25 2018 UTC-Fri Sep  7 02:55:25 2018 UTC (0.002 )  Time stamp start 1536288925608322630 end 1536288925606699780  Run 360161, LB 207, lumi 24.97
Event Veto ['MiniNoiseBurst'], Fri Sep  7 02:58:56 2018 UTC-Fri Sep  7 02:58:56 2018 UTC (0.001 )  Time stamp start 1536289136786207210 end 1536289136785207210  Run 360161, LB 210, lumi 15.31
Event Veto ['MiniNoiseBurst'], Fri Sep  7 03:02:42 2018 UTC-Fri Sep  7 03:02:42 2018 UTC (0.001 )  Time stamp start 1536289362131843045 end 1536289362130843045  Run 360161, LB 215, lumi 15.20
Event Veto ['MiniNoiseBurst'], Fri Sep  7 03:02:56 2018 UTC-Fri Sep  7 03:02:56 2018 UTC (0.001 )  Time stamp start 1536289376724639705 end 1536289376723639705  Run 360161, LB 215, lumi 15.20
Event Veto ['NoiseBurst'], Fri Sep  7 03:06:28 2018 UTC-Fri Sep  7 03:06:28 2018 UTC (0.003 )  Time stamp start 1536289588959122010 end 1536289588956321090  Run 360161, LB 218, lumi 42.42
Event Veto ['MiniNoiseBurst'], Fri Sep  7 03:06:52 2018 UTC-Fri Sep  7 03:06:52 2018 UTC (0.001 )  Time stamp start 1536289612057350165 end 1536289612056350165  Run 360161, LB 219, lumi 14.80
Event Veto ['NoiseBurst'], Fri Sep  7 03:09:11 2018 UTC-Fri Sep  7 03:09:11 2018 UTC (0.006 )  Time stamp start 1536289751448946215 end 1536289751443203930  Run 360161, LB 221, lumi 87.14
Event Veto ['NoiseBurst'], Fri Sep  7 03:09:11 2018 UTC-Fri Sep  7 03:09:11 2018 UTC (0.011 )  Time stamp start 1536289751460435785 end 1536289751448977705  Run 360161, LB 221, lumi 173.88
Event Veto ['NoiseBurst'], Fri Sep  7 03:09:11 2018 UTC-Fri Sep  7 03:09:11 2018 UTC (0.007 )  Time stamp start 1536289751472911205 end 1536289751465560015  Run 360161, LB 221, lumi 111.56
