Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309375 to 309375
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309375 to run 309375  lasting from Mon Sep 26 04:38:55 2016 UTC to Mon Sep 26 11:45:36 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:42:12 2016 UTC-Mon Sep 26 07:42:12 2016 UTC (0.010 )  Time stamp start 1474875732998433785 end 1474875732988432490  Run 309375, LB 192, lumi 68.07
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:42:21 2016 UTC-Mon Sep 26 07:42:21 2016 UTC (0.010 )  Time stamp start 1474875741344481570 end 1474875741334481445  Run 309375, LB 192, lumi 68.06
Event Veto ['NoiseBurst'], Mon Sep 26 07:42:32 2016 UTC-Mon Sep 26 07:42:32 2016 UTC (0.011 )  Time stamp start 1474875752916118375 end 1474875752905469355  Run 309375, LB 192, lumi 72.48
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:44:27 2016 UTC-Mon Sep 26 07:44:27 2016 UTC (0.010 )  Time stamp start 1474875867658643810 end 1474875867648643560  Run 309375, LB 195, lumi 64.30
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:44:36 2016 UTC-Mon Sep 26 07:44:36 2016 UTC (0.010 )  Time stamp start 1474875876453139930 end 1474875876443139805  Run 309375, LB 195, lumi 64.29
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:45:17 2016 UTC-Mon Sep 26 07:45:17 2016 UTC (0.014 )  Time stamp start 1474875917091737225 end 1474875917077835285  Run 309375, LB 197, lumi 94.18
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:45:17 2016 UTC-Mon Sep 26 07:45:17 2016 UTC (0.001 )  Time stamp start 1474875917092737225 end 1474875917091737225  Run 309375, LB 197, lumi 6.77
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:45:17 2016 UTC-Mon Sep 26 07:45:17 2016 UTC (0.004 )  Time stamp start 1474875917097237225 end 1474875917092737225  Run 309375, LB 197, lumi 30.49
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:45:20 2016 UTC-Mon Sep 26 07:45:20 2016 UTC (0.010 )  Time stamp start 1474875920410499505 end 1474875920400499505  Run 309375, LB 197, lumi 67.75
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:45:53 2016 UTC-Mon Sep 26 07:45:53 2016 UTC (0.010 )  Time stamp start 1474875953636045775 end 1474875953626045775  Run 309375, LB 197, lumi 67.75
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:46:18 2016 UTC-Mon Sep 26 07:46:18 2016 UTC (0.010 )  Time stamp start 1474875978793290260 end 1474875978783289885  Run 309375, LB 198, lumi 67.66
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:46:27 2016 UTC-Mon Sep 26 07:46:27 2016 UTC (0.010 )  Time stamp start 1474875987059080445 end 1474875987049080195  Run 309375, LB 198, lumi 67.66
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:46:34 2016 UTC-Mon Sep 26 07:46:34 2016 UTC (0.004 )  Time stamp start 1474875994106485960 end 1474875994101985960  Run 309375, LB 198, lumi 30.45
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:46:34 2016 UTC-Mon Sep 26 07:46:34 2016 UTC (0.001 )  Time stamp start 1474875994107485960 end 1474875994106485960  Run 309375, LB 198, lumi 6.77
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:46:34 2016 UTC-Mon Sep 26 07:46:34 2016 UTC (0.004 )  Time stamp start 1474875994111985960 end 1474875994107485960  Run 309375, LB 198, lumi 30.45
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:46:39 2016 UTC-Mon Sep 26 07:46:39 2016 UTC (0.004 )  Time stamp start 1474875999182930390 end 1474875999178430390  Run 309375, LB 198, lumi 30.45
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:46:39 2016 UTC-Mon Sep 26 07:46:39 2016 UTC (0.001 )  Time stamp start 1474875999183930390 end 1474875999182930390  Run 309375, LB 198, lumi 6.77
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:46:39 2016 UTC-Mon Sep 26 07:46:39 2016 UTC (0.004 )  Time stamp start 1474875999188430390 end 1474875999183930390  Run 309375, LB 198, lumi 30.45
