Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357539 to 357539
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357539 to run 357539  lasting from Sun Aug  5 02:14:29 2018 UTC to Sun Aug  5 18:21:34 2018 UTC
Event Veto ['NoiseBurst'], Sun Aug  5 07:42:16 2018 UTC-Sun Aug  5 07:42:16 2018 UTC (0.001 )  Time stamp start 1533454936102291510 end 1533454936101290640  Run 357539, LB 335, lumi 17.00
Event Veto ['NoiseBurst'], Sun Aug  5 07:44:19 2018 UTC-Sun Aug  5 07:44:19 2018 UTC (0.001 )  Time stamp start 1533455059675337545 end 1533455059674336920  Run 357539, LB 337, lumi 16.93
Event Veto ['NoiseBurst'], Sun Aug  5 07:44:22 2018 UTC-Sun Aug  5 07:44:22 2018 UTC (0.001 )  Time stamp start 1533455062526388245 end 1533455062525387495  Run 357539, LB 337, lumi 16.93
Event Veto ['NoiseBurst'], Sun Aug  5 07:44:29 2018 UTC-Sun Aug  5 07:44:29 2018 UTC (0.001 )  Time stamp start 1533455069739388315 end 1533455069738388190  Run 357539, LB 338, lumi 16.87
Event Veto ['NoiseBurst'], Sun Aug  5 07:44:46 2018 UTC-Sun Aug  5 07:44:46 2018 UTC (0.001 )  Time stamp start 1533455086105053565 end 1533455086104052570  Run 357539, LB 338, lumi 16.88
Event Veto ['NoiseBurst'], Sun Aug  5 07:44:50 2018 UTC-Sun Aug  5 07:44:50 2018 UTC (0.001 )  Time stamp start 1533455090354251615 end 1533455090353251115  Run 357539, LB 338, lumi 16.87
Event Veto ['NoiseBurst'], Sun Aug  5 07:45:25 2018 UTC-Sun Aug  5 07:45:25 2018 UTC (0.001 )  Time stamp start 1533455125299912360 end 1533455125298911490  Run 357539, LB 338, lumi 16.88
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:47:03 2018 UTC-Sun Aug  5 07:47:03 2018 UTC (0.001 )  Time stamp start 1533455223491078455 end 1533455223490078455  Run 357539, LB 340, lumi 16.81
Event Veto ['NoiseBurst'], Sun Aug  5 07:48:38 2018 UTC-Sun Aug  5 07:48:38 2018 UTC (0.001 )  Time stamp start 1533455318022548740 end 1533455318021548615  Run 357539, LB 342, lumi 16.74
Event Veto ['NoiseBurst'], Sun Aug  5 07:50:32 2018 UTC-Sun Aug  5 07:50:32 2018 UTC (0.001 )  Time stamp start 1533455432788337045 end 1533455432787336295  Run 357539, LB 345, lumi 16.70
Event Veto ['NoiseBurst'], Sun Aug  5 07:52:20 2018 UTC-Sun Aug  5 07:52:20 2018 UTC (0.001 )  Time stamp start 1533455540962060625 end 1533455540961059875  Run 357539, LB 346, lumi 16.69
Event Veto ['NoiseBurst'], Sun Aug  5 07:52:56 2018 UTC-Sun Aug  5 07:52:56 2018 UTC (0.002 )  Time stamp start 1533455576989846285 end 1533455576988225190  Run 357539, LB 347, lumi 26.98
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:54:45 2018 UTC-Sun Aug  5 07:54:45 2018 UTC (0.001 )  Time stamp start 1533455685582635210 end 1533455685581635210  Run 357539, LB 349, lumi 16.58
Event Veto ['NoiseBurst'], Sun Aug  5 07:56:35 2018 UTC-Sun Aug  5 07:56:35 2018 UTC (0.001 )  Time stamp start 1533455795921095145 end 1533455795920094270  Run 357539, LB 351, lumi 16.53
Event Veto ['NoiseBurst'], Sun Aug  5 07:56:37 2018 UTC-Sun Aug  5 07:56:37 2018 UTC (0.001 )  Time stamp start 1533455797176771645 end 1533455797175771025  Run 357539, LB 351, lumi 16.53
Event Veto ['NoiseBurst'], Sun Aug  5 07:59:43 2018 UTC-Sun Aug  5 07:59:43 2018 UTC (0.001 )  Time stamp start 1533455983272601230 end 1533455983271511930  Run 357539, LB 355, lumi 17.85
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:59:59 2018 UTC-Sun Aug  5 07:59:59 2018 UTC (0.001 )  Time stamp start 1533455999637624760 end 1533455999636624760  Run 357539, LB 355, lumi 16.39
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:00:13 2018 UTC-Sun Aug  5 08:00:13 2018 UTC (0.001 )  Time stamp start 1533456013744467450 end 1533456013743467450  Run 357539, LB 355, lumi 16.39
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:00:17 2018 UTC-Sun Aug  5 08:00:17 2018 UTC (0.001 )  Time stamp start 1533456017498285295 end 1533456017497285295  Run 357539, LB 355, lumi 16.39
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:01:29 2018 UTC-Sun Aug  5 08:01:29 2018 UTC (0.001 )  Time stamp start 1533456089160058415 end 1533456089159058415  Run 357539, LB 357, lumi 16.33
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:02:08 2018 UTC-Sun Aug  5 08:02:08 2018 UTC (0.001 )  Time stamp start 1533456128026309950 end 1533456128025309950  Run 357539, LB 357, lumi 16.33
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:02:39 2018 UTC-Sun Aug  5 08:02:39 2018 UTC (0.001 )  Time stamp start 1533456159457541630 end 1533456159456541630  Run 357539, LB 358, lumi 16.28
Event Veto ['NoiseBurst'], Sun Aug  5 08:02:55 2018 UTC-Sun Aug  5 08:02:55 2018 UTC (0.001 )  Time stamp start 1533456175244657175 end 1533456175243656650  Run 357539, LB 358, lumi 16.29
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:04:01 2018 UTC-Sun Aug  5 08:04:01 2018 UTC (0.001 )  Time stamp start 1533456241359608700 end 1533456241358608700  Run 357539, LB 359, lumi 16.29
Event Veto ['NoiseBurst'], Sun Aug  5 08:04:33 2018 UTC-Sun Aug  5 08:04:33 2018 UTC (0.001 )  Time stamp start 1533456273310034065 end 1533456273309033565  Run 357539, LB 360, lumi 16.27
Event Veto ['NoiseBurst'], Sun Aug  5 08:08:57 2018 UTC-Sun Aug  5 08:08:57 2018 UTC (0.001 )  Time stamp start 1533456537457823030 end 1533456537456818310  Run 357539, LB 364, lumi 16.21
Event Veto ['NoiseBurst'], Sun Aug  5 08:08:57 2018 UTC-Sun Aug  5 08:08:57 2018 UTC (0.001 )  Time stamp start 1533456537459226555 end 1533456537457982065  Run 357539, LB 364, lumi 20.08
Event Veto ['NoiseBurst'], Sun Aug  5 08:09:46 2018 UTC-Sun Aug  5 08:09:46 2018 UTC (0.002 )  Time stamp start 1533456586851090905 end 1533456586849369405  Run 357539, LB 365, lumi 27.73
Event Veto ['NoiseBurst'], Sun Aug  5 08:09:46 2018 UTC-Sun Aug  5 08:09:46 2018 UTC (0.002 )  Time stamp start 1533456586854993100 end 1533456586853035265  Run 357539, LB 365, lumi 31.53
Event Veto ['NoiseBurst'], Sun Aug  5 08:11:39 2018 UTC-Sun Aug  5 08:11:39 2018 UTC (0.002 )  Time stamp start 1533456699521361860 end 1533456699519627410  Run 357539, LB 367, lumi 27.86
Event Veto ['NoiseBurst'], Sun Aug  5 08:13:19 2018 UTC-Sun Aug  5 08:13:19 2018 UTC (0.002 )  Time stamp start 1533456799238073185 end 1533456799236570000  Run 357539, LB 368, lumi 24.06
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Aug  5 08:16:34 2018 UTC-Sun Aug  5 08:16:34 2018 UTC (0.001 )  Time stamp start 1533456994174443495 end 1533456994173443495  Run 357539, LB 372, lumi 15.89
Event Veto ['NoiseBurst'], Sun Aug  5 08:16:50 2018 UTC-Sun Aug  5 08:16:50 2018 UTC (0.001 )  Time stamp start 1533457010872448285 end 1533457010871448035  Run 357539, LB 372, lumi 15.89
