Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303059 to 303059
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303059 to run 303059  lasting from Thu Jun 30 15:29:51 2016 UTC to Thu Jun 30 20:18:34 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:56:22 2016 UTC-Thu Jun 30 16:56:22 2016 UTC (0.001 )  Time stamp start 1467305782415408465 end 1467305782414406865  Run 303059, LB 92, lumi 10.29
Event Veto ['NoiseBurst'], Thu Jun 30 16:56:23 2016 UTC-Thu Jun 30 16:56:23 2016 UTC (0.010 )  Time stamp start 1467305783243312005 end 1467305783233040690  Run 303059, LB 92, lumi 105.52
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:56:34 2016 UTC-Thu Jun 30 16:56:34 2016 UTC (0.001 )  Time stamp start 1467305794868743765 end 1467305794867743765  Run 303059, LB 92, lumi 10.27
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:57:14 2016 UTC-Thu Jun 30 16:57:14 2016 UTC (0.001 )  Time stamp start 1467305834346545095 end 1467305834345544895  Run 303059, LB 93, lumi 10.28
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:57:20 2016 UTC-Thu Jun 30 16:57:20 2016 UTC (0.001 )  Time stamp start 1467305840466940105 end 1467305840465939780  Run 303059, LB 93, lumi 10.28
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:57:40 2016 UTC-Thu Jun 30 16:57:40 2016 UTC (0.001 )  Time stamp start 1467305860840439510 end 1467305860839439510  Run 303059, LB 93, lumi 10.28
Event Veto ['NoiseBurst'], Thu Jun 30 16:57:46 2016 UTC-Thu Jun 30 16:57:46 2016 UTC (0.010 )  Time stamp start 1467305866104782700 end 1467305866094414400  Run 303059, LB 93, lumi 106.56
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:57:51 2016 UTC-Thu Jun 30 16:57:51 2016 UTC (0.001 )  Time stamp start 1467305871626845960 end 1467305871625845960  Run 303059, LB 93, lumi 10.28
Event Veto ['NoiseBurst'], Thu Jun 30 16:58:18 2016 UTC-Thu Jun 30 16:58:18 2016 UTC (0.010 )  Time stamp start 1467305898921113995 end 1467305898910804955  Run 303059, LB 94, lumi 106.02
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:58:20 2016 UTC-Thu Jun 30 16:58:20 2016 UTC (0.001 )  Time stamp start 1467305900253414535 end 1467305900252414010  Run 303059, LB 94, lumi 10.29
