Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359766 to 359766
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359766 to run 359766  lasting from Mon Sep  3 05:27:30 2018 UTC to Mon Sep  3 13:02:30 2018 UTC
Event Veto ['NoiseBurst'], Mon Sep  3 07:18:10 2018 UTC-Mon Sep  3 07:18:10 2018 UTC (0.001 )  Time stamp start 1535959090470132835 end 1535959090469132435  Run 359766, LB 121, lumi 18.36
Event Veto ['NoiseBurst'], Mon Sep  3 07:18:23 2018 UTC-Mon Sep  3 07:18:23 2018 UTC (0.001 )  Time stamp start 1535959103146864170 end 1535959103145863645  Run 359766, LB 121, lumi 18.36
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:18:32 2018 UTC-Mon Sep  3 07:18:32 2018 UTC (0.001 )  Time stamp start 1535959112295494035 end 1535959112294494035  Run 359766, LB 121, lumi 18.35
Event Veto ['NoiseBurst'], Mon Sep  3 07:18:35 2018 UTC-Mon Sep  3 07:18:35 2018 UTC (0.001 )  Time stamp start 1535959115467073000 end 1535959115466072755  Run 359766, LB 121, lumi 18.36
Event Veto ['NoiseBurst'], Mon Sep  3 07:18:46 2018 UTC-Mon Sep  3 07:18:46 2018 UTC (0.001 )  Time stamp start 1535959126884236250 end 1535959126883235750  Run 359766, LB 121, lumi 18.36
Event Veto ['NoiseBurst'], Mon Sep  3 07:19:00 2018 UTC-Mon Sep  3 07:19:00 2018 UTC (0.001 )  Time stamp start 1535959140925644380 end 1535959140924644005  Run 359766, LB 121, lumi 18.36
Event Veto ['NoiseBurst'], Mon Sep  3 07:19:21 2018 UTC-Mon Sep  3 07:19:21 2018 UTC (0.001 )  Time stamp start 1535959161307781135 end 1535959161306780760  Run 359766, LB 122, lumi 18.18
Event Veto ['NoiseBurst'], Mon Sep  3 07:19:27 2018 UTC-Mon Sep  3 07:19:27 2018 UTC (0.001 )  Time stamp start 1535959167051701700 end 1535959167050700825  Run 359766, LB 122, lumi 18.19
Event Veto ['NoiseBurst'], Mon Sep  3 07:19:47 2018 UTC-Mon Sep  3 07:19:47 2018 UTC (0.001 )  Time stamp start 1535959187640349090 end 1535959187639348965  Run 359766, LB 123, lumi 18.24
Event Veto ['NoiseBurst'], Mon Sep  3 07:24:49 2018 UTC-Mon Sep  3 07:24:49 2018 UTC (0.002 )  Time stamp start 1535959489375477530 end 1535959489373645350  Run 359766, LB 128, lumi 33.03
