Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 362661 to 362661
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 362661 to run 362661  lasting from Wed Oct  3 23:30:42 2018 UTC to Thu Oct  4 10:47:45 2018 UTC
Event Veto ['NoiseBurst'], Thu Oct  4 02:20:13 2018 UTC-Thu Oct  4 02:20:13 2018 UTC (0.001 )  Time stamp start 1538619613703213335 end 1538619613702191325  Run 362661, LB 211, lumi 18.56
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:20:30 2018 UTC-Thu Oct  4 02:20:30 2018 UTC (0.001 )  Time stamp start 1538619630761437140 end 1538619630760437140  Run 362661, LB 211, lumi 18.16
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:22:04 2018 UTC-Thu Oct  4 02:22:04 2018 UTC (0.001 )  Time stamp start 1538619724437663885 end 1538619724436663885  Run 362661, LB 213, lumi 18.23
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:22:20 2018 UTC-Thu Oct  4 02:22:20 2018 UTC (0.001 )  Time stamp start 1538619740166152795 end 1538619740164663065  Run 362661, LB 213, lumi 27.16
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749128019995 end 1538619749126987260  Run 362661, LB 213, lumi 18.83
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749386188495 end 1538619749385132955  Run 362661, LB 213, lumi 19.25
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749432301455 end 1538619749431272815  Run 362661, LB 213, lumi 18.76
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749562100170 end 1538619749561087050  Run 362661, LB 213, lumi 18.47
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749591035370 end 1538619749589996600  Run 362661, LB 213, lumi 18.94
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749637829510 end 1538619749636829385  Run 362661, LB 213, lumi 18.24
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749712492280 end 1538619749711492155  Run 362661, LB 213, lumi 18.24
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749734844325 end 1538619749733842105  Run 362661, LB 213, lumi 18.28
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749813305895 end 1538619749812274780  Run 362661, LB 213, lumi 18.80
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.002 )  Time stamp start 1538619749871901860 end 1538619749869995875  Run 362661, LB 213, lumi 34.76
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749907330065 end 1538619749906329940  Run 362661, LB 213, lumi 18.24
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:29 2018 UTC-Thu Oct  4 02:22:29 2018 UTC (0.001 )  Time stamp start 1538619749959752370 end 1538619749958740120  Run 362661, LB 213, lumi 18.46
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:30 2018 UTC-Thu Oct  4 02:22:30 2018 UTC (0.001 )  Time stamp start 1538619750522198015 end 1538619750521177730  Run 362661, LB 213, lumi 18.60
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:31 2018 UTC-Thu Oct  4 02:22:31 2018 UTC (0.001 )  Time stamp start 1538619751184605085 end 1538619751183569955  Run 362661, LB 213, lumi 18.88
Event Veto ['NoiseBurst'], Thu Oct  4 02:22:31 2018 UTC-Thu Oct  4 02:22:31 2018 UTC (0.001 )  Time stamp start 1538619751669764245 end 1538619751668762595  Run 362661, LB 213, lumi 18.26
