Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 362445 to 362445
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 362445 to run 362445  lasting from Mon Oct  1 20:29:17 2018 UTC to Tue Oct  2 05:04:34 2018 UTC
Event Veto ['NoiseBurst'], Tue Oct  2 00:07:27 2018 UTC-Tue Oct  2 00:07:27 2018 UTC (0.001 )  Time stamp start 1538438847615651110 end 1538438847614650590  Run 362445, LB 257, lumi 17.09
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:08:00 2018 UTC-Tue Oct  2 00:08:00 2018 UTC (0.001 )  Time stamp start 1538438880003679140 end 1538438880002679140  Run 362445, LB 257, lumi 17.08
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  2 00:11:29 2018 UTC-Tue Oct  2 00:11:29 2018 UTC (0.001 )  Time stamp start 1538439089895098955 end 1538439089894098955  Run 362445, LB 261, lumi 16.91
Event Veto ['NoiseBurst'], Tue Oct  2 00:11:32 2018 UTC-Tue Oct  2 00:11:32 2018 UTC (0.001 )  Time stamp start 1538439092088746755 end 1538439092087669805  Run 362445, LB 261, lumi 18.21
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:12:48 2018 UTC-Tue Oct  2 00:12:48 2018 UTC (0.001 )  Time stamp start 1538439168168891860 end 1538439168167891860  Run 362445, LB 262, lumi 16.88
Event Veto ['NoiseBurst'], Tue Oct  2 00:14:27 2018 UTC-Tue Oct  2 00:14:27 2018 UTC (0.001 )  Time stamp start 1538439267504226300 end 1538439267503225925  Run 362445, LB 264, lumi 16.82
Event Veto ['NoiseBurst'], Tue Oct  2 00:14:41 2018 UTC-Tue Oct  2 00:14:41 2018 UTC (0.001 )  Time stamp start 1538439281456334650 end 1538439281455333775  Run 362445, LB 264, lumi 16.83
Event Veto ['NoiseBurst'], Tue Oct  2 00:14:45 2018 UTC-Tue Oct  2 00:14:45 2018 UTC (0.002 )  Time stamp start 1538439285094756085 end 1538439285093254025  Run 362445, LB 264, lumi 25.26
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:15:26 2018 UTC-Tue Oct  2 00:15:26 2018 UTC (0.001 )  Time stamp start 1538439326506795800 end 1538439326505795675  Run 362445, LB 265, lumi 16.79
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:16:30 2018 UTC-Tue Oct  2 00:16:30 2018 UTC (0.001 )  Time stamp start 1538439390128951410 end 1538439390127951410  Run 362445, LB 266, lumi 16.80
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:16:56 2018 UTC-Tue Oct  2 00:16:56 2018 UTC (0.001 )  Time stamp start 1538439416424752100 end 1538439416423751925  Run 362445, LB 267, lumi 16.78
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:17:50 2018 UTC-Tue Oct  2 00:17:50 2018 UTC (0.001 )  Time stamp start 1538439470987441575 end 1538439470986441575  Run 362445, LB 268, lumi 16.73
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:18:37 2018 UTC-Tue Oct  2 00:18:37 2018 UTC (0.001 )  Time stamp start 1538439517501115010 end 1538439517500114460  Run 362445, LB 268, lumi 16.74
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:25:06 2018 UTC-Tue Oct  2 00:25:06 2018 UTC (0.001 )  Time stamp start 1538439906303305575 end 1538439906302305575  Run 362445, LB 275, lumi 16.44
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:25:41 2018 UTC-Tue Oct  2 00:25:41 2018 UTC (0.001 )  Time stamp start 1538439941811484540 end 1538439941810484540  Run 362445, LB 275, lumi 16.44
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:29:07 2018 UTC-Tue Oct  2 00:29:07 2018 UTC (0.001 )  Time stamp start 1538440147880148485 end 1538440147879148485  Run 362445, LB 279, lumi 16.34
Event Veto ['NoiseBurst'], Tue Oct  2 00:29:11 2018 UTC-Tue Oct  2 00:29:11 2018 UTC (0.001 )  Time stamp start 1538440151693928865 end 1538440151692927990  Run 362445, LB 279, lumi 16.36
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:29:23 2018 UTC-Tue Oct  2 00:29:23 2018 UTC (0.001 )  Time stamp start 1538440163816812100 end 1538440163815812100  Run 362445, LB 279, lumi 16.34
Event Veto ['NoiseBurst'], Tue Oct  2 00:29:39 2018 UTC-Tue Oct  2 00:29:39 2018 UTC (0.274 )  Time stamp start 1538440179310540500 end 1538440179036681700  Run 362445, LB 279, lumi 4475.69
Event Veto ['NoiseBurst'], Tue Oct  2 00:30:02 2018 UTC-Tue Oct  2 00:30:02 2018 UTC (0.001 )  Time stamp start 1538440202724173815 end 1538440202723079275  Run 362445, LB 280, lumi 17.67
Event Veto ['NoiseBurst'], Tue Oct  2 00:30:02 2018 UTC-Tue Oct  2 00:30:02 2018 UTC (0.002 )  Time stamp start 1538440202726432155 end 1538440202724365860  Run 362445, LB 280, lumi 33.36
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:32:37 2018 UTC-Tue Oct  2 00:32:37 2018 UTC (0.001 )  Time stamp start 1538440357637577095 end 1538440357636576820  Run 362445, LB 282, lumi 15.67
Event Veto ['NoiseBurst'], Tue Oct  2 00:33:43 2018 UTC-Tue Oct  2 00:33:43 2018 UTC (0.002 )  Time stamp start 1538440423396193905 end 1538440423394300815  Run 362445, LB 284, lumi 31.01
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:34:48 2018 UTC-Tue Oct  2 00:34:48 2018 UTC (0.001 )  Time stamp start 1538440488376087640 end 1538440488375087640  Run 362445, LB 285, lumi 16.38
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:35:02 2018 UTC-Tue Oct  2 00:35:02 2018 UTC (0.001 )  Time stamp start 1538440502673420360 end 1538440502672420360  Run 362445, LB 285, lumi 16.38
