Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349944 to 349944
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349944 to run 349944  lasting from Wed May  9 16:58:10 2018 UTC to Thu May 10 10:37:01 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  9 20:49:32 2018 UTC-Wed May  9 20:49:32 2018 UTC (0.001 )  Time stamp start 1525898972339819530 end 1525898972338819530  Run 349944, LB 240, lumi 19.20
Event Veto ['MiniNoiseBurst'], Wed May  9 20:49:35 2018 UTC-Wed May  9 20:49:35 2018 UTC (0.001 )  Time stamp start 1525898975556404790 end 1525898975555404220  Run 349944, LB 240, lumi 19.21
Event Veto ['MiniNoiseBurst'], Wed May  9 20:49:59 2018 UTC-Wed May  9 20:49:59 2018 UTC (0.001 )  Time stamp start 1525898999219064240 end 1525898999218064240  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:04 2018 UTC-Wed May  9 20:50:04 2018 UTC (0.001 )  Time stamp start 1525899004315921590 end 1525899004314921590  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:10 2018 UTC-Wed May  9 20:50:10 2018 UTC (0.001 )  Time stamp start 1525899010348494475 end 1525899010347494475  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:12 2018 UTC-Wed May  9 20:50:12 2018 UTC (0.001 )  Time stamp start 1525899012474765555 end 1525899012473765555  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:16 2018 UTC-Wed May  9 20:50:16 2018 UTC (0.001 )  Time stamp start 1525899016351900195 end 1525899016350900195  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:19 2018 UTC-Wed May  9 20:50:19 2018 UTC (0.001 )  Time stamp start 1525899019029397020 end 1525899019028397020  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:23 2018 UTC-Wed May  9 20:50:23 2018 UTC (0.001 )  Time stamp start 1525899023771128180 end 1525899023770128180  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:26 2018 UTC-Wed May  9 20:50:26 2018 UTC (0.001 )  Time stamp start 1525899026275484070 end 1525899026274484070  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:29 2018 UTC-Wed May  9 20:50:29 2018 UTC (0.001 )  Time stamp start 1525899029996083190 end 1525899029995083190  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:31 2018 UTC-Wed May  9 20:50:31 2018 UTC (0.001 )  Time stamp start 1525899031900192240 end 1525899031899192240  Run 349944, LB 241, lumi 19.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed May  9 20:50:37 2018 UTC-Wed May  9 20:50:37 2018 UTC (0.001 )  Time stamp start 1525899037301946945 end 1525899037300946945  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:38 2018 UTC-Wed May  9 20:50:38 2018 UTC (0.001 )  Time stamp start 1525899038007437150 end 1525899038006437150  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:44 2018 UTC-Wed May  9 20:50:44 2018 UTC (0.001 )  Time stamp start 1525899044263600340 end 1525899044262600340  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:46 2018 UTC-Wed May  9 20:50:46 2018 UTC (0.001 )  Time stamp start 1525899046579778030 end 1525899046578778030  Run 349944, LB 241, lumi 19.19
