Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 335083 to 335083
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 335083 to run 335083  lasting from Sat Sep  9 03:41:29 2017 UTC to Sat Sep  9 16:54:52 2017 UTC
Event Veto ['NoiseBurst'], Sat Sep  9 08:02:05 2017 UTC-Sat Sep  9 08:02:05 2017 UTC (0.001 )  Time stamp start 1504944125446432970 end 1504944125445432100  Run 335083, LB 276, lumi 9.83
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:04:13 2017 UTC-Sat Sep  9 08:04:13 2017 UTC (0.001 )  Time stamp start 1504944253681474735 end 1504944253680474735  Run 335083, LB 278, lumi 9.79
Event Veto ['NoiseBurst'], Sat Sep  9 08:04:28 2017 UTC-Sat Sep  9 08:04:28 2017 UTC (0.001 )  Time stamp start 1504944268601199165 end 1504944268600198665  Run 335083, LB 279, lumi 9.78
Event Veto ['NoiseBurst'], Sat Sep  9 08:04:47 2017 UTC-Sat Sep  9 08:04:47 2017 UTC (0.001 )  Time stamp start 1504944287689126140 end 1504944287688125515  Run 335083, LB 279, lumi 9.78
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:05:31 2017 UTC-Sat Sep  9 08:05:31 2017 UTC (0.002 )  Time stamp start 1504944331051108795 end 1504944331049161340  Run 335083, LB 280, lumi 19.01
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:07:34 2017 UTC-Sat Sep  9 08:07:34 2017 UTC (0.001 )  Time stamp start 1504944454367126320 end 1504944454366126320  Run 335083, LB 282, lumi 9.74
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:08:21 2017 UTC-Sat Sep  9 08:08:21 2017 UTC (0.001 )  Time stamp start 1504944501582535120 end 1504944501581535120  Run 335083, LB 283, lumi 9.73
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:08:45 2017 UTC-Sat Sep  9 08:08:45 2017 UTC (0.001 )  Time stamp start 1504944525014494020 end 1504944525013494020  Run 335083, LB 283, lumi 9.73
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:09:03 2017 UTC-Sat Sep  9 08:09:03 2017 UTC (0.001 )  Time stamp start 1504944543163190460 end 1504944543162190460  Run 335083, LB 283, lumi 9.73
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:09:04 2017 UTC-Sat Sep  9 08:09:04 2017 UTC (0.001 )  Time stamp start 1504944544885423805 end 1504944544884423805  Run 335083, LB 284, lumi 9.71
Event Veto ['NoiseBurst'], Sat Sep  9 08:10:23 2017 UTC-Sat Sep  9 08:10:23 2017 UTC (0.002 )  Time stamp start 1504944623085672895 end 1504944623083940865  Run 335083, LB 285, lumi 16.80
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:10:54 2017 UTC-Sat Sep  9 08:10:54 2017 UTC (0.001 )  Time stamp start 1504944654824051460 end 1504944654823051460  Run 335083, LB 285, lumi 9.70
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:12:56 2017 UTC-Sat Sep  9 08:12:56 2017 UTC (0.001 )  Time stamp start 1504944776900363290 end 1504944776899363290  Run 335083, LB 287, lumi 9.67
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:13:00 2017 UTC-Sat Sep  9 08:13:00 2017 UTC (0.001 )  Time stamp start 1504944780550680230 end 1504944780549680230  Run 335083, LB 287, lumi 9.67
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:13:21 2017 UTC-Sat Sep  9 08:13:21 2017 UTC (0.001 )  Time stamp start 1504944801735323885 end 1504944801734323885  Run 335083, LB 288, lumi 9.65
