Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350067 to 350067
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350067 to run 350067  lasting from Fri May 11 15:39:44 2018 UTC to Fri May 11 22:05:55 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 11 16:59:09 2018 UTC-Fri May 11 16:59:09 2018 UTC (0.001 )  Time stamp start 1526057949172796650 end 1526057949171796650  Run 350067, LB 86, lumi 18.71
Event Veto ['MiniNoiseBurst'], Fri May 11 16:59:12 2018 UTC-Fri May 11 16:59:12 2018 UTC (0.001 )  Time stamp start 1526057952908511785 end 1526057952907511785  Run 350067, LB 86, lumi 18.71
Event Veto ['MiniNoiseBurst'], Fri May 11 16:59:15 2018 UTC-Fri May 11 16:59:15 2018 UTC (0.001 )  Time stamp start 1526057955112100040 end 1526057955111100040  Run 350067, LB 86, lumi 18.71
Event Veto ['MiniNoiseBurst'], Fri May 11 16:59:19 2018 UTC-Fri May 11 16:59:19 2018 UTC (0.001 )  Time stamp start 1526057959218652445 end 1526057959217652445  Run 350067, LB 86, lumi 18.71
Event Veto ['MiniNoiseBurst'], Fri May 11 16:59:34 2018 UTC-Fri May 11 16:59:34 2018 UTC (0.001 )  Time stamp start 1526057974659934200 end 1526057974658934200  Run 350067, LB 86, lumi 18.71
Event Veto ['MiniNoiseBurst'], Fri May 11 16:59:39 2018 UTC-Fri May 11 16:59:39 2018 UTC (0.001 )  Time stamp start 1526057979238335605 end 1526057979237335605  Run 350067, LB 87, lumi 18.66
Event Veto ['MiniNoiseBurst'], Fri May 11 17:00:12 2018 UTC-Fri May 11 17:00:12 2018 UTC (0.001 )  Time stamp start 1526058012045330910 end 1526058012044330910  Run 350067, LB 87, lumi 18.66
Event Veto ['MiniNoiseBurst'], Fri May 11 17:00:21 2018 UTC-Fri May 11 17:00:21 2018 UTC (0.001 )  Time stamp start 1526058021277504480 end 1526058021276504480  Run 350067, LB 87, lumi 18.66
Event Veto ['MiniNoiseBurst'], Fri May 11 17:01:04 2018 UTC-Fri May 11 17:01:04 2018 UTC (0.001 )  Time stamp start 1526058064306633405 end 1526058064305633280  Run 350067, LB 90, lumi 18.64
Event Veto ['MiniNoiseBurst'], Fri May 11 17:01:16 2018 UTC-Fri May 11 17:01:16 2018 UTC (0.001 )  Time stamp start 1526058076542082490 end 1526058076541082490  Run 350067, LB 90, lumi 18.64
Event Veto ['MiniNoiseBurst'], Fri May 11 17:01:39 2018 UTC-Fri May 11 17:01:39 2018 UTC (0.001 )  Time stamp start 1526058099487840175 end 1526058099486840175  Run 350067, LB 90, lumi 18.64
Event Veto ['NoiseBurst'], Fri May 11 17:01:41 2018 UTC-Fri May 11 17:01:41 2018 UTC (0.001 )  Time stamp start 1526058101468414455 end 1526058101467338930  Run 350067, LB 90, lumi 20.05
Event Veto ['MiniNoiseBurst'], Fri May 11 17:01:48 2018 UTC-Fri May 11 17:01:48 2018 UTC (0.001 )  Time stamp start 1526058108600445910 end 1526058108599445910  Run 350067, LB 90, lumi 18.64
Event Veto ['MiniNoiseBurst'], Fri May 11 17:02:10 2018 UTC-Fri May 11 17:02:10 2018 UTC (0.001 )  Time stamp start 1526058130027441850 end 1526058130026441850  Run 350067, LB 91, lumi 18.60
Event Veto ['MiniNoiseBurst'], Fri May 11 17:02:14 2018 UTC-Fri May 11 17:02:14 2018 UTC (0.001 )  Time stamp start 1526058134355700640 end 1526058134354700640  Run 350067, LB 91, lumi 18.60
Event Veto ['MiniNoiseBurst'], Fri May 11 17:02:39 2018 UTC-Fri May 11 17:02:39 2018 UTC (0.001 )  Time stamp start 1526058159054350845 end 1526058159053350720  Run 350067, LB 91, lumi 18.61
Event Veto ['MiniNoiseBurst'], Fri May 11 17:02:56 2018 UTC-Fri May 11 17:02:56 2018 UTC (0.001 )  Time stamp start 1526058176601482770 end 1526058176600482770  Run 350067, LB 91, lumi 18.60
Event Veto ['MiniNoiseBurst'], Fri May 11 17:03:01 2018 UTC-Fri May 11 17:03:01 2018 UTC (0.001 )  Time stamp start 1526058181045267350 end 1526058181044267350  Run 350067, LB 91, lumi 18.60
Event Veto ['MiniNoiseBurst'], Fri May 11 17:03:37 2018 UTC-Fri May 11 17:03:37 2018 UTC (0.001 )  Time stamp start 1526058217998801915 end 1526058217997801915  Run 350067, LB 92, lumi 18.61
Event Veto ['MiniNoiseBurst'], Fri May 11 17:04:10 2018 UTC-Fri May 11 17:04:10 2018 UTC (0.001 )  Time stamp start 1526058250917980990 end 1526058250916980990  Run 350067, LB 93, lumi 18.53
Event Veto ['MiniNoiseBurst'], Fri May 11 17:04:15 2018 UTC-Fri May 11 17:04:15 2018 UTC (0.001 )  Time stamp start 1526058255080121350 end 1526058255079121350  Run 350067, LB 94, lumi 18.43
Event Veto ['MiniNoiseBurst'], Fri May 11 17:04:57 2018 UTC-Fri May 11 17:04:57 2018 UTC (0.001 )  Time stamp start 1526058297055519345 end 1526058297054519345  Run 350067, LB 94, lumi 18.43
Event Veto ['MiniNoiseBurst'], Fri May 11 17:05:06 2018 UTC-Fri May 11 17:05:06 2018 UTC (0.001 )  Time stamp start 1526058306607312335 end 1526058306606312335  Run 350067, LB 94, lumi 18.43
Event Veto ['MiniNoiseBurst'], Fri May 11 17:05:34 2018 UTC-Fri May 11 17:05:34 2018 UTC (0.001 )  Time stamp start 1526058334051294425 end 1526058334050294425  Run 350067, LB 95, lumi 18.31
Event Veto ['MiniNoiseBurst'], Fri May 11 17:06:26 2018 UTC-Fri May 11 17:06:26 2018 UTC (0.001 )  Time stamp start 1526058386962378215 end 1526058386961378215  Run 350067, LB 97, lumi 18.22
Event Veto ['MiniNoiseBurst'], Fri May 11 17:07:16 2018 UTC-Fri May 11 17:07:16 2018 UTC (0.001 )  Time stamp start 1526058436340558760 end 1526058436339558760  Run 350067, LB 97, lumi 18.22
Event Veto ['MiniNoiseBurst'], Fri May 11 17:07:19 2018 UTC-Fri May 11 17:07:19 2018 UTC (0.001 )  Time stamp start 1526058439066483900 end 1526058439065483725  Run 350067, LB 97, lumi 18.22
Event Veto ['MiniNoiseBurst'], Fri May 11 17:07:30 2018 UTC-Fri May 11 17:07:30 2018 UTC (0.001 )  Time stamp start 1526058450013816050 end 1526058450012816050  Run 350067, LB 98, lumi 18.19
Event Veto ['MiniNoiseBurst'], Fri May 11 17:07:41 2018 UTC-Fri May 11 17:07:41 2018 UTC (0.001 )  Time stamp start 1526058461774988115 end 1526058461773988115  Run 350067, LB 98, lumi 18.19
