Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349268 to 349268
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349268 to run 349268  lasting from Mon Apr 30 20:02:10 2018 UTC to Tue May  1 07:14:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:04 2018 UTC-Mon Apr 30 20:07:04 2018 UTC (0.001 )  Time stamp start 1525118824825110170 end 1525118824824110045  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:05 2018 UTC-Mon Apr 30 20:07:05 2018 UTC (0.001 )  Time stamp start 1525118825638608100 end 1525118825637608100  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:06 2018 UTC-Mon Apr 30 20:07:06 2018 UTC (0.001 )  Time stamp start 1525118826207730795 end 1525118826206730795  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:07 2018 UTC-Mon Apr 30 20:07:07 2018 UTC (0.000 )  Time stamp start 1525118827185460025 end 1525118827185222520  Run 349268, LB 9, lumi 2.67
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:07 2018 UTC-Mon Apr 30 20:07:07 2018 UTC (0.001 )  Time stamp start 1525118827186460325 end 1525118827185460025  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:07 2018 UTC-Mon Apr 30 20:07:07 2018 UTC (0.001 )  Time stamp start 1525118827334830265 end 1525118827333830140  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:07 2018 UTC-Mon Apr 30 20:07:07 2018 UTC (0.001 )  Time stamp start 1525118827637637785 end 1525118827636637615  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:07 2018 UTC-Mon Apr 30 20:07:07 2018 UTC (0.001 )  Time stamp start 1525118827746945300 end 1525118827745945125  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:08 2018 UTC-Mon Apr 30 20:07:08 2018 UTC (0.001 )  Time stamp start 1525118828128045570 end 1525118828127045570  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:10 2018 UTC-Mon Apr 30 20:07:10 2018 UTC (0.001 )  Time stamp start 1525118830119103970 end 1525118830118103970  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:10 2018 UTC-Mon Apr 30 20:07:10 2018 UTC (0.001 )  Time stamp start 1525118830216485775 end 1525118830215485650  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:10 2018 UTC-Mon Apr 30 20:07:10 2018 UTC (0.001 )  Time stamp start 1525118830365735775 end 1525118830364735775  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:10 2018 UTC-Mon Apr 30 20:07:10 2018 UTC (0.001 )  Time stamp start 1525118830481872630 end 1525118830480872630  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:11 2018 UTC-Mon Apr 30 20:07:11 2018 UTC (0.001 )  Time stamp start 1525118831441156875 end 1525118831440156875  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:11 2018 UTC-Mon Apr 30 20:07:11 2018 UTC (0.001 )  Time stamp start 1525118831633383275 end 1525118831632383275  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:11 2018 UTC-Mon Apr 30 20:07:11 2018 UTC (0.001 )  Time stamp start 1525118831737845255 end 1525118831736845255  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:12 2018 UTC-Mon Apr 30 20:07:12 2018 UTC (0.001 )  Time stamp start 1525118832585246875 end 1525118832584246875  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:13 2018 UTC-Mon Apr 30 20:07:13 2018 UTC (0.001 )  Time stamp start 1525118833531145450 end 1525118833530145155  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:13 2018 UTC-Mon Apr 30 20:07:13 2018 UTC (0.001 )  Time stamp start 1525118833700913295 end 1525118833699913295  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:13 2018 UTC-Mon Apr 30 20:07:13 2018 UTC (0.001 )  Time stamp start 1525118833777544020 end 1525118833776544020  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:14 2018 UTC-Mon Apr 30 20:07:14 2018 UTC (0.001 )  Time stamp start 1525118834803143715 end 1525118834802143415  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:14 2018 UTC-Mon Apr 30 20:07:14 2018 UTC (0.001 )  Time stamp start 1525118834929681080 end 1525118834928680785  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:15 2018 UTC-Mon Apr 30 20:07:15 2018 UTC (0.001 )  Time stamp start 1525118835049241200 end 1525118835048241080  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:15 2018 UTC-Mon Apr 30 20:07:15 2018 UTC (0.001 )  Time stamp start 1525118835153680350 end 1525118835152680050  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:15 2018 UTC-Mon Apr 30 20:07:15 2018 UTC (0.001 )  Time stamp start 1525118835260398875 end 1525118835259398875  Run 349268, LB 9, lumi 11.23
