Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340030 to 340030
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340030 to run 340030  lasting from Sat Nov  4 16:58:25 2017 UTC to Sun Nov  5 17:36:48 2017 UTC
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:44:52 2017 UTC-Sat Nov  4 17:44:52 2017 UTC (0.001 )  Time stamp start 1509817492828515485 end 1509817492827515485  Run 340030, LB 51, lumi 14.97
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:46:17 2017 UTC-Sat Nov  4 17:46:17 2017 UTC (0.001 )  Time stamp start 1509817577625303370 end 1509817577624303370  Run 340030, LB 53, lumi 15.23
Event Veto ['NoiseBurst'], Sat Nov  4 17:46:38 2017 UTC-Sat Nov  4 17:46:38 2017 UTC (0.001 )  Time stamp start 1509817598056494455 end 1509817598055493955  Run 340030, LB 53, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:47:04 2017 UTC-Sat Nov  4 17:47:04 2017 UTC (0.001 )  Time stamp start 1509817624322700165 end 1509817624321700165  Run 340030, LB 53, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:47:20 2017 UTC-Sat Nov  4 17:47:20 2017 UTC (0.001 )  Time stamp start 1509817640780283475 end 1509817640779283475  Run 340030, LB 54, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:47:59 2017 UTC-Sat Nov  4 17:47:59 2017 UTC (0.001 )  Time stamp start 1509817679814709610 end 1509817679813709610  Run 340030, LB 55, lumi 14.77
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:48:37 2017 UTC-Sat Nov  4 17:48:37 2017 UTC (0.001 )  Time stamp start 1509817717633142725 end 1509817717632142725  Run 340030, LB 56, lumi 14.84
Event Veto ['NoiseBurst'], Sat Nov  4 17:49:26 2017 UTC-Sat Nov  4 17:49:26 2017 UTC (0.006 )  Time stamp start 1509817766306500830 end 1509817766300062845  Run 340030, LB 57, lumi 96.06
Event Veto ['NoiseBurst'], Sat Nov  4 17:49:26 2017 UTC-Sat Nov  4 17:49:26 2017 UTC (0.001 )  Time stamp start 1509817766308628030 end 1509817766307484690  Run 340030, LB 57, lumi 17.06
Event Veto ['NoiseBurst'], Sat Nov  4 17:49:26 2017 UTC-Sat Nov  4 17:49:26 2017 UTC (0.001 )  Time stamp start 1509817766310569075 end 1509817766309432395  Run 340030, LB 57, lumi 16.96
Event Veto ['NoiseBurst'], Sat Nov  4 17:49:26 2017 UTC-Sat Nov  4 17:49:26 2017 UTC (0.003 )  Time stamp start 1509817766319338560 end 1509817766315838995  Run 340030, LB 57, lumi 52.22
Event Veto ['NoiseBurst'], Sat Nov  4 17:49:26 2017 UTC-Sat Nov  4 17:49:26 2017 UTC (0.003 )  Time stamp start 1509817766327530265 end 1509817766324375865  Run 340030, LB 57, lumi 47.07
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:50:14 2017 UTC-Sat Nov  4 17:50:14 2017 UTC (0.001 )  Time stamp start 1509817814371717035 end 1509817814370717035  Run 340030, LB 58, lumi 15.01
Event Veto ['NoiseBurst'], Sat Nov  4 17:50:34 2017 UTC-Sat Nov  4 17:50:34 2017 UTC (0.001 )  Time stamp start 1509817834265492285 end 1509817834264492160  Run 340030, LB 58, lumi 15.01
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:50:48 2017 UTC-Sat Nov  4 17:50:48 2017 UTC (0.001 )  Time stamp start 1509817848890127615 end 1509817848889127615  Run 340030, LB 59, lumi 15.10
Event Veto ['NoiseBurst'], Sat Nov  4 17:51:29 2017 UTC-Sat Nov  4 17:51:29 2017 UTC (0.002 )  Time stamp start 1509817889413069890 end 1509817889411223790  Run 340030, LB 59, lumi 27.88
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:52:36 2017 UTC-Sat Nov  4 17:52:36 2017 UTC (0.001 )  Time stamp start 1509817956456911440 end 1509817956455911440  Run 340030, LB 60, lumi 14.96
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:52:38 2017 UTC-Sat Nov  4 17:52:38 2017 UTC (0.001 )  Time stamp start 1509817958562321925 end 1509817958561321925  Run 340030, LB 60, lumi 14.96
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:52:43 2017 UTC-Sat Nov  4 17:52:43 2017 UTC (0.001 )  Time stamp start 1509817963525500855 end 1509817963524500855  Run 340030, LB 61, lumi 15.08
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:52:44 2017 UTC-Sat Nov  4 17:52:44 2017 UTC (0.001 )  Time stamp start 1509817964232216055 end 1509817964231216055  Run 340030, LB 61, lumi 15.08
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:52:50 2017 UTC-Sat Nov  4 17:52:50 2017 UTC (0.001 )  Time stamp start 1509817970288465865 end 1509817970287465865  Run 340030, LB 61, lumi 15.08
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:52:55 2017 UTC-Sat Nov  4 17:52:55 2017 UTC (0.001 )  Time stamp start 1509817975179248175 end 1509817975178248175  Run 340030, LB 61, lumi 15.08
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:53:33 2017 UTC-Sat Nov  4 17:53:33 2017 UTC (0.001 )  Time stamp start 1509818013985794505 end 1509818013984794505  Run 340030, LB 62, lumi 15.14
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:54:39 2017 UTC-Sat Nov  4 17:54:39 2017 UTC (0.001 )  Time stamp start 1509818079676608160 end 1509818079675608160  Run 340030, LB 63, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:55:01 2017 UTC-Sat Nov  4 17:55:01 2017 UTC (0.001 )  Time stamp start 1509818101605982095 end 1509818101604982095  Run 340030, LB 63, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:55:31 2017 UTC-Sat Nov  4 17:55:31 2017 UTC (0.001 )  Time stamp start 1509818131046562760 end 1509818131045562760  Run 340030, LB 64, lumi 14.91
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:55:57 2017 UTC-Sat Nov  4 17:55:57 2017 UTC (0.001 )  Time stamp start 1509818157677828295 end 1509818157676828295  Run 340030, LB 65, lumi 14.71
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:56:36 2017 UTC-Sat Nov  4 17:56:36 2017 UTC (0.001 )  Time stamp start 1509818196948616050 end 1509818196947616050  Run 340030, LB 65, lumi 14.71
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:56:51 2017 UTC-Sat Nov  4 17:56:51 2017 UTC (0.001 )  Time stamp start 1509818211615944850 end 1509818211614944850  Run 340030, LB 65, lumi 14.71
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:57:15 2017 UTC-Sat Nov  4 17:57:15 2017 UTC (0.001 )  Time stamp start 1509818235381450245 end 1509818235380450245  Run 340030, LB 66, lumi 14.77
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Nov  4 17:57:15 2017 UTC-Sat Nov  4 17:57:15 2017 UTC (0.001 )  Time stamp start 1509818235680943600 end 1509818235679943600  Run 340030, LB 66, lumi 14.77
Event Veto ['NoiseBurst'], Sat Nov  4 17:57:18 2017 UTC-Sat Nov  4 17:57:18 2017 UTC (0.002 )  Time stamp start 1509818238022419865 end 1509818238020573935  Run 340030, LB 66, lumi 27.27
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:57:20 2017 UTC-Sat Nov  4 17:57:20 2017 UTC (0.001 )  Time stamp start 1509818240716411835 end 1509818240715411835  Run 340030, LB 66, lumi 14.77
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:57:25 2017 UTC-Sat Nov  4 17:57:25 2017 UTC (0.001 )  Time stamp start 1509818245857205845 end 1509818245856205845  Run 340030, LB 66, lumi 14.77
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:57:38 2017 UTC-Sat Nov  4 17:57:38 2017 UTC (0.001 )  Time stamp start 1509818258402971050 end 1509818258401971050  Run 340030, LB 66, lumi 14.77
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:57:56 2017 UTC-Sat Nov  4 17:57:56 2017 UTC (0.001 )  Time stamp start 1509818276674926340 end 1509818276673926340  Run 340030, LB 67, lumi 14.91
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:58:47 2017 UTC-Sat Nov  4 17:58:47 2017 UTC (0.001 )  Time stamp start 1509818327682139895 end 1509818327681139895  Run 340030, LB 67, lumi 14.91
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:58:59 2017 UTC-Sat Nov  4 17:58:59 2017 UTC (0.001 )  Time stamp start 1509818339873243460 end 1509818339872243460  Run 340030, LB 68, lumi 15.01
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:59:21 2017 UTC-Sat Nov  4 17:59:21 2017 UTC (0.001 )  Time stamp start 1509818361365028670 end 1509818361364028670  Run 340030, LB 69, lumi 15.06
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:00:12 2017 UTC-Sat Nov  4 18:00:12 2017 UTC (0.001 )  Time stamp start 1509818412047891400 end 1509818412046891400  Run 340030, LB 69, lumi 15.06
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:01:15 2017 UTC-Sat Nov  4 18:01:15 2017 UTC (0.001 )  Time stamp start 1509818475863142435 end 1509818475862142435  Run 340030, LB 71, lumi 15.02
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:01:18 2017 UTC-Sat Nov  4 18:01:18 2017 UTC (0.001 )  Time stamp start 1509818478897471895 end 1509818478896471895  Run 340030, LB 71, lumi 15.02
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:01:19 2017 UTC-Sat Nov  4 18:01:19 2017 UTC (0.002 )  Time stamp start 1509818479373968045 end 1509818479372424740  Run 340030, LB 71, lumi 23.17
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:01:32 2017 UTC-Sat Nov  4 18:01:32 2017 UTC (0.001 )  Time stamp start 1509818492694685700 end 1509818492693685700  Run 340030, LB 72, lumi 15.21
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:03:00 2017 UTC-Sat Nov  4 18:03:00 2017 UTC (0.001 )  Time stamp start 1509818580391371620 end 1509818580390371620  Run 340030, LB 74, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:03:19 2017 UTC-Sat Nov  4 18:03:20 2017 UTC (0.001 )  Time stamp start 1509818600000206245 end 1509818599999206245  Run 340030, LB 74, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:04:03 2017 UTC-Sat Nov  4 18:04:03 2017 UTC (0.001 )  Time stamp start 1509818643847133395 end 1509818643846133395  Run 340030, LB 76, lumi 14.98
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:04:06 2017 UTC-Sat Nov  4 18:04:06 2017 UTC (0.001 )  Time stamp start 1509818646400480165 end 1509818646399480165  Run 340030, LB 76, lumi 14.98
Event Veto ['NoiseBurst'], Sat Nov  4 18:04:13 2017 UTC-Sat Nov  4 18:04:13 2017 UTC (0.001 )  Time stamp start 1509818653125019695 end 1509818653124018700  Run 340030, LB 76, lumi 15.00
Event Veto ['NoiseBurst'], Sat Nov  4 18:04:14 2017 UTC-Sat Nov  4 18:04:14 2017 UTC (0.001 )  Time stamp start 1509818654616636080 end 1509818654615509330  Run 340030, LB 76, lumi 16.88
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:04:57 2017 UTC-Sat Nov  4 18:04:57 2017 UTC (0.001 )  Time stamp start 1509818697276571645 end 1509818697275571645  Run 340030, LB 77, lumi 15.20
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:05:55 2017 UTC-Sat Nov  4 18:05:55 2017 UTC (0.001 )  Time stamp start 1509818755679363260 end 1509818755678363260  Run 340030, LB 78, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:06:25 2017 UTC-Sat Nov  4 18:06:25 2017 UTC (0.001 )  Time stamp start 1509818785036573570 end 1509818785035573570  Run 340030, LB 78, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:06:34 2017 UTC-Sat Nov  4 18:06:34 2017 UTC (0.001 )  Time stamp start 1509818794518522310 end 1509818794517522310  Run 340030, LB 78, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:06:53 2017 UTC-Sat Nov  4 18:06:53 2017 UTC (0.001 )  Time stamp start 1509818813245829225 end 1509818813244829225  Run 340030, LB 79, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:07:01 2017 UTC-Sat Nov  4 18:07:01 2017 UTC (0.001 )  Time stamp start 1509818821688746540 end 1509818821687746540  Run 340030, LB 79, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:07:15 2017 UTC-Sat Nov  4 18:07:15 2017 UTC (0.001 )  Time stamp start 1509818835303425435 end 1509818835302425435  Run 340030, LB 79, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:07:27 2017 UTC-Sat Nov  4 18:07:27 2017 UTC (0.001 )  Time stamp start 1509818847418272090 end 1509818847417272090  Run 340030, LB 79, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:07:32 2017 UTC-Sat Nov  4 18:07:32 2017 UTC (0.001 )  Time stamp start 1509818852730552740 end 1509818852729552740  Run 340030, LB 79, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:07:33 2017 UTC-Sat Nov  4 18:07:33 2017 UTC (0.001 )  Time stamp start 1509818853376492800 end 1509818853375492800  Run 340030, LB 79, lumi 15.25
Event Veto ['NoiseBurst'], Sat Nov  4 18:08:00 2017 UTC-Sat Nov  4 18:08:00 2017 UTC (0.001 )  Time stamp start 1509818880425750560 end 1509818880424749615  Run 340030, LB 80, lumi 15.30
Event Veto ['NoiseBurst'], Sat Nov  4 18:08:23 2017 UTC-Sat Nov  4 18:08:23 2017 UTC (0.001 )  Time stamp start 1509818903655464520 end 1509818903654464145  Run 340030, LB 80, lumi 15.30
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:08:25 2017 UTC-Sat Nov  4 18:08:25 2017 UTC (0.001 )  Time stamp start 1509818905016667705 end 1509818905015667705  Run 340030, LB 80, lumi 15.29
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:08:59 2017 UTC-Sat Nov  4 18:08:59 2017 UTC (0.001 )  Time stamp start 1509818939769669795 end 1509818939768669795  Run 340030, LB 81, lumi 14.84
Event Veto ['NoiseBurst'], Sat Nov  4 18:09:08 2017 UTC-Sat Nov  4 18:09:08 2017 UTC (0.001 )  Time stamp start 1509818948189531205 end 1509818948188393625  Run 340030, LB 81, lumi 16.88
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:09:20 2017 UTC-Sat Nov  4 18:09:20 2017 UTC (0.001 )  Time stamp start 1509818960063392715 end 1509818960062392715  Run 340030, LB 81, lumi 14.84
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:10:21 2017 UTC-Sat Nov  4 18:10:21 2017 UTC (0.001 )  Time stamp start 1509819021407276590 end 1509819021406276590  Run 340030, LB 82, lumi 14.91
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:10:49 2017 UTC-Sat Nov  4 18:10:49 2017 UTC (0.001 )  Time stamp start 1509819049972224710 end 1509819049971224710  Run 340030, LB 82, lumi 14.91
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:10:51 2017 UTC-Sat Nov  4 18:10:51 2017 UTC (0.001 )  Time stamp start 1509819051501117150 end 1509819051500117150  Run 340030, LB 83, lumi 15.28
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:11:55 2017 UTC-Sat Nov  4 18:11:55 2017 UTC (0.001 )  Time stamp start 1509819115979065945 end 1509819115978065945  Run 340030, LB 84, lumi 14.98
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:12:05 2017 UTC-Sat Nov  4 18:12:05 2017 UTC (0.001 )  Time stamp start 1509819125590432680 end 1509819125589432680  Run 340030, LB 84, lumi 14.98
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:13:03 2017 UTC-Sat Nov  4 18:13:03 2017 UTC (0.001 )  Time stamp start 1509819183655816530 end 1509819183654816530  Run 340030, LB 85, lumi 14.89
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:13:09 2017 UTC-Sat Nov  4 18:13:09 2017 UTC (0.001 )  Time stamp start 1509819189067298380 end 1509819189066298380  Run 340030, LB 85, lumi 14.89
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:13:52 2017 UTC-Sat Nov  4 18:13:52 2017 UTC (0.001 )  Time stamp start 1509819232313855895 end 1509819232312849880  Run 340030, LB 86, lumi 15.31
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:14:20 2017 UTC-Sat Nov  4 18:14:20 2017 UTC (0.001 )  Time stamp start 1509819260604501775 end 1509819260603501775  Run 340030, LB 86, lumi 15.22
Event Veto ['NoiseBurst'], Sat Nov  4 18:14:21 2017 UTC-Sat Nov  4 18:14:21 2017 UTC (0.001 )  Time stamp start 1509819261675375935 end 1509819261674375535  Run 340030, LB 86, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:14:25 2017 UTC-Sat Nov  4 18:14:25 2017 UTC (0.001 )  Time stamp start 1509819265167786355 end 1509819265166786355  Run 340030, LB 86, lumi 15.22
Event Veto ['MiniNoiseBurst'], Sat Nov  4 18:14:28 2017 UTC-Sat Nov  4 18:14:28 2017 UTC (0.001 )  Time stamp start 1509819268755553705 end 1509819268754553705  Run 340030, LB 86, lumi 15.22
