Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310015 to 310015
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 310015 to run 310015  lasting from Thu Oct  6 08:50:51 2016 UTC to Thu Oct  6 12:28:18 2016 UTC
Event Veto ['NoiseBurst'], Thu Oct  6 10:47:04 2016 UTC-Thu Oct  6 10:47:04 2016 UTC (0.010 )  Time stamp start 1475750824687695920 end 1475750824677695395  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:04 2016 UTC-Thu Oct  6 10:47:04 2016 UTC (0.010 )  Time stamp start 1475750824736903120 end 1475750824726903120  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:06 2016 UTC-Thu Oct  6 10:47:06 2016 UTC (0.010 )  Time stamp start 1475750826343270020 end 1475750826333270020  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:07 2016 UTC-Thu Oct  6 10:47:07 2016 UTC (0.010 )  Time stamp start 1475750827300608125 end 1475750827290608125  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:10 2016 UTC-Thu Oct  6 10:47:10 2016 UTC (0.010 )  Time stamp start 1475750830032940980 end 1475750830022940980  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:11 2016 UTC-Thu Oct  6 10:47:11 2016 UTC (0.010 )  Time stamp start 1475750831671304415 end 1475750831661304415  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:11 2016 UTC-Thu Oct  6 10:47:11 2016 UTC (0.010 )  Time stamp start 1475750831961397855 end 1475750831951397855  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:12 2016 UTC-Thu Oct  6 10:47:12 2016 UTC (0.010 )  Time stamp start 1475750832742519935 end 1475750832732519935  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:13 2016 UTC-Thu Oct  6 10:47:13 2016 UTC (0.010 )  Time stamp start 1475750833653507000 end 1475750833643507000  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:14 2016 UTC-Thu Oct  6 10:47:14 2016 UTC (0.010 )  Time stamp start 1475750834343498750 end 1475750834333498750  Run 310015, LB 121, lumi 0.00
