Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303499 to 303499
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303499 to run 303499  lasting from Fri Jul  8 13:21:38 2016 UTC to Sat Jul  9 12:38:34 2016 UTC
Event Veto ['DataCorruption'], Fri Jul  8 13:43:32 2016 UTC-Fri Jul  8 13:43:33 2016 UTC (0.867 )  Time stamp start 1467985413579024770 end 1467985412711810215  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:33 2016 UTC-Fri Jul  8 13:43:34 2016 UTC (1.011 )  Time stamp start 1467985414792609375 end 1467985413782053120  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:35 2016 UTC-Fri Jul  8 13:43:37 2016 UTC (2.207 )  Time stamp start 1467985417291808600 end 1467985415084485335  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:37 2016 UTC-Fri Jul  8 13:43:39 2016 UTC (2.013 )  Time stamp start 1467985419402826485 end 1467985417390173760  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:39 2016 UTC-Fri Jul  8 13:43:44 2016 UTC (5.145 )  Time stamp start 1467985424797175105 end 1467985419651903825  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:44 2016 UTC-Fri Jul  8 13:43:45 2016 UTC (0.637 )  Time stamp start 1467985425624095130 end 1467985424987231045  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:45 2016 UTC-Fri Jul  8 13:43:46 2016 UTC (0.580 )  Time stamp start 1467985426552672880 end 1467985425972967195  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:46 2016 UTC-Fri Jul  8 13:43:48 2016 UTC (1.495 )  Time stamp start 1467985428070391030 end 1467985426575515000  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:48 2016 UTC-Fri Jul  8 13:43:50 2016 UTC (1.536 )  Time stamp start 1467985430012486425 end 1467985428476449760  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:50 2016 UTC-Fri Jul  8 13:43:51 2016 UTC (1.411 )  Time stamp start 1467985431979691870 end 1467985430568469260  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:52 2016 UTC-Fri Jul  8 13:43:53 2016 UTC (1.123 )  Time stamp start 1467985433197784775 end 1467985432074286155  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:53 2016 UTC-Fri Jul  8 13:43:55 2016 UTC (2.056 )  Time stamp start 1467985435353536045 end 1467985433297702675  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:55 2016 UTC-Fri Jul  8 13:43:56 2016 UTC (0.752 )  Time stamp start 1467985436206087220 end 1467985435454390945  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:57 2016 UTC-Fri Jul  8 13:43:58 2016 UTC (1.074 )  Time stamp start 1467985438476692560 end 1467985437402576840  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:58 2016 UTC-Fri Jul  8 13:44:01 2016 UTC (2.792 )  Time stamp start 1467985441523364550 end 1467985438731800615  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:01 2016 UTC-Fri Jul  8 13:44:03 2016 UTC (2.034 )  Time stamp start 1467985443808333055 end 1467985441774636055  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:03 2016 UTC-Fri Jul  8 13:44:05 2016 UTC (1.784 )  Time stamp start 1467985445743447960 end 1467985443959183200  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:05 2016 UTC-Fri Jul  8 13:44:06 2016 UTC (1.187 )  Time stamp start 1467985446994255900 end 1467985445807744065  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:07 2016 UTC-Fri Jul  8 13:44:07 2016 UTC (0.704 )  Time stamp start 1467985447768760485 end 1467985447065194935  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:07 2016 UTC-Fri Jul  8 13:44:11 2016 UTC (3.431 )  Time stamp start 1467985451280687665 end 1467985447850167955  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:11 2016 UTC-Fri Jul  8 13:44:13 2016 UTC (1.506 )  Time stamp start 1467985453157333580 end 1467985451651309435  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:13 2016 UTC-Fri Jul  8 13:44:13 2016 UTC (0.586 )  Time stamp start 1467985453868406875 end 1467985453282313550  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:14 2016 UTC-Fri Jul  8 13:44:15 2016 UTC (1.060 )  Time stamp start 1467985455354377230 end 1467985454294721890  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:15 2016 UTC-Fri Jul  8 13:44:16 2016 UTC (1.420 )  Time stamp start 1467985456820650595 end 1467985455400260435  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:18 2016 UTC-Fri Jul  8 13:44:20 2016 UTC (1.174 )  Time stamp start 1467985460093248890 end 1467985458919222180  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:20 2016 UTC-Fri Jul  8 13:44:21 2016 UTC (0.861 )  Time stamp start 1467985461094588155 end 1467985460233407840  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:21 2016 UTC-Fri Jul  8 13:44:23 2016 UTC (2.011 )  Time stamp start 1467985463600423505 end 1467985461589683675  Run 303499, LBs 26-27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:24 2016 UTC-Fri Jul  8 13:44:25 2016 UTC (0.816 )  Time stamp start 1467985465121474175 end 1467985464305397655  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:25 2016 UTC-Fri Jul  8 13:44:26 2016 UTC (0.559 )  Time stamp start 1467985466365143205 end 1467985465806519475  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:26 2016 UTC-Fri Jul  8 13:44:28 2016 UTC (2.312 )  Time stamp start 1467985468707431395 end 1467985466395021210  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:29 2016 UTC-Fri Jul  8 13:44:30 2016 UTC (0.980 )  Time stamp start 1467985470057852145 end 1467985469078349955  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:30 2016 UTC-Fri Jul  8 13:44:32 2016 UTC (2.188 )  Time stamp start 1467985472292405785 end 1467985470103978920  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:32 2016 UTC-Fri Jul  8 13:44:36 2016 UTC (4.044 )  Time stamp start 1467985476484058725 end 1467985472440512245  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:36 2016 UTC-Fri Jul  8 13:44:38 2016 UTC (1.448 )  Time stamp start 1467985478326999435 end 1467985476879094020  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:38 2016 UTC-Fri Jul  8 13:44:39 2016 UTC (0.921 )  Time stamp start 1467985479291621170 end 1467985478370557130  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:39 2016 UTC-Fri Jul  8 13:44:40 2016 UTC (1.073 )  Time stamp start 1467985480545511325 end 1467985479472679100  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:42 2016 UTC-Fri Jul  8 13:44:43 2016 UTC (0.843 )  Time stamp start 1467985483607480090 end 1467985482764098480  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:43 2016 UTC-Fri Jul  8 13:44:44 2016 UTC (0.814 )  Time stamp start 1467985484624319805 end 1467985483809890135  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:45 2016 UTC-Fri Jul  8 13:44:48 2016 UTC (2.859 )  Time stamp start 1467985488534620470 end 1467985485675862250  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:48 2016 UTC-Fri Jul  8 13:44:49 2016 UTC (1.029 )  Time stamp start 1467985489896177110 end 1467985488867023400  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:50 2016 UTC-Fri Jul  8 13:44:50 2016 UTC (0.670 )  Time stamp start 1467985490991799110 end 1467985490322060500  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:51 2016 UTC-Fri Jul  8 13:44:53 2016 UTC (1.904 )  Time stamp start 1467985493068573305 end 1467985491164982485  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:53 2016 UTC-Fri Jul  8 13:44:55 2016 UTC (1.548 )  Time stamp start 1467985495138286070 end 1467985493590737035  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:55 2016 UTC-Fri Jul  8 13:44:56 2016 UTC (1.115 )  Time stamp start 1467985496316350725 end 1467985495201319015  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:56 2016 UTC-Fri Jul  8 13:44:59 2016 UTC (2.634 )  Time stamp start 1467985499601212235 end 1467985496966979500  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:44:59 2016 UTC-Fri Jul  8 13:45:01 2016 UTC (2.078 )  Time stamp start 1467985501885234260 end 1467985499807273125  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:02 2016 UTC-Fri Jul  8 13:45:02 2016 UTC (0.627 )  Time stamp start 1467985502932868600 end 1467985502305961455  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:02 2016 UTC-Fri Jul  8 13:45:03 2016 UTC (0.551 )  Time stamp start 1467985503527150405 end 1467985502976488700  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:03 2016 UTC-Fri Jul  8 13:45:04 2016 UTC (1.145 )  Time stamp start 1467985504832282365 end 1467985503686891915  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:06 2016 UTC-Fri Jul  8 13:45:08 2016 UTC (2.523 )  Time stamp start 1467985508632438890 end 1467985506109786365  Run 303499, LB 27, lumi 0.00
