Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331462 to 331462
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331462 to run 331462  lasting from Tue Aug  1 21:31:30 2017 UTC to Wed Aug  2 08:35:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:50:18 2017 UTC-Wed Aug  2 04:50:18 2017 UTC (0.001 )  Time stamp start 1501649418544127645 end 1501649418542821825  Run 331462, LB 454, lumi 20.55
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:50:22 2017 UTC-Wed Aug  2 04:50:22 2017 UTC (0.001 )  Time stamp start 1501649422327417610 end 1501649422326417610  Run 331462, LB 454, lumi 15.74
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:51:12 2017 UTC-Wed Aug  2 04:51:12 2017 UTC (0.001 )  Time stamp start 1501649472851146165 end 1501649472850146165  Run 331462, LB 454, lumi 15.74
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:51:25 2017 UTC-Wed Aug  2 04:51:25 2017 UTC (0.001 )  Time stamp start 1501649485772594230 end 1501649485771594230  Run 331462, LB 455, lumi 15.68
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:51:26 2017 UTC-Wed Aug  2 04:51:26 2017 UTC (0.001 )  Time stamp start 1501649486848251250 end 1501649486847251250  Run 331462, LB 455, lumi 15.68
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:51:43 2017 UTC-Wed Aug  2 04:51:43 2017 UTC (0.001 )  Time stamp start 1501649503145805465 end 1501649503144805465  Run 331462, LB 455, lumi 15.68
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:52:04 2017 UTC-Wed Aug  2 04:52:04 2017 UTC (0.001 )  Time stamp start 1501649524164876065 end 1501649524163876065  Run 331462, LB 455, lumi 15.68
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:52:36 2017 UTC-Wed Aug  2 04:52:36 2017 UTC (0.001 )  Time stamp start 1501649556546218980 end 1501649556545218980  Run 331462, LB 456, lumi 15.65
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:52:49 2017 UTC-Wed Aug  2 04:52:49 2017 UTC (0.001 )  Time stamp start 1501649569701248230 end 1501649569700248230  Run 331462, LB 456, lumi 15.65
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:53:00 2017 UTC-Wed Aug  2 04:53:00 2017 UTC (0.001 )  Time stamp start 1501649580431409125 end 1501649580430409125  Run 331462, LB 456, lumi 15.65
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:53:42 2017 UTC-Wed Aug  2 04:53:42 2017 UTC (0.001 )  Time stamp start 1501649622054245720 end 1501649622053245720  Run 331462, LB 457, lumi 15.60
Event Veto ['NoiseBurst'], Wed Aug  2 04:54:24 2017 UTC-Wed Aug  2 04:54:24 2017 UTC (0.001 )  Time stamp start 1501649664547159990 end 1501649664546159865  Run 331462, LB 458, lumi 15.60
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:54:27 2017 UTC-Wed Aug  2 04:54:27 2017 UTC (0.001 )  Time stamp start 1501649667144802685 end 1501649667143802685  Run 331462, LB 458, lumi 15.60
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:54:32 2017 UTC-Wed Aug  2 04:54:32 2017 UTC (0.001 )  Time stamp start 1501649672117483405 end 1501649672116483405  Run 331462, LB 458, lumi 15.60
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:55:50 2017 UTC-Wed Aug  2 04:55:50 2017 UTC (0.001 )  Time stamp start 1501649750085504185 end 1501649750084504185  Run 331462, LB 459, lumi 15.57
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:56:25 2017 UTC-Wed Aug  2 04:56:25 2017 UTC (0.001 )  Time stamp start 1501649785095450125 end 1501649785094450125  Run 331462, LB 460, lumi 15.53
