Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302872 to 302872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302872 to run 302872  lasting from Sun Jun 26 12:43:40 2016 UTC to Tue Jun 28 04:49:33 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:37:01 2016 UTC-Sun Jun 26 15:37:01 2016 UTC (0.001 )  Time stamp start 1466955421526445750 end 1466955421525445750  Run 302872, LB 180, lumi 10.70
Event Veto ['NoiseBurst'], Sun Jun 26 15:37:04 2016 UTC-Sun Jun 26 15:37:04 2016 UTC (0.010 )  Time stamp start 1466955424226802115 end 1466955424216675615  Run 302872, LB 180, lumi 108.37
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:37:06 2016 UTC-Sun Jun 26 15:37:06 2016 UTC (0.001 )  Time stamp start 1466955426478428655 end 1466955426477428655  Run 302872, LB 180, lumi 10.70
Event Veto ['NoiseBurst'], Sun Jun 26 15:37:10 2016 UTC-Sun Jun 26 15:37:10 2016 UTC (0.010 )  Time stamp start 1466955430935854365 end 1466955430925708055  Run 302872, LB 180, lumi 108.59
Event Veto ['NoiseBurst'], Sun Jun 26 15:37:13 2016 UTC-Sun Jun 26 15:37:13 2016 UTC (0.022 )  Time stamp start 1466955433972262015 end 1466955433950198585  Run 302872, LB 180, lumi 236.12
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:37:23 2016 UTC-Sun Jun 26 15:37:23 2016 UTC (0.001 )  Time stamp start 1466955443141829195 end 1466955443140829195  Run 302872, LB 180, lumi 10.70
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:37:27 2016 UTC-Sun Jun 26 15:37:27 2016 UTC (0.001 )  Time stamp start 1466955447137426875 end 1466955447136426875  Run 302872, LB 180, lumi 10.70
Event Veto ['NoiseBurst'], Sun Jun 26 15:37:51 2016 UTC-Sun Jun 26 15:37:51 2016 UTC (0.010 )  Time stamp start 1466955471996593350 end 1466955471986592425  Run 302872, LB 181, lumi 103.66
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:37:54 2016 UTC-Sun Jun 26 15:37:54 2016 UTC (0.001 )  Time stamp start 1466955474291680110 end 1466955474290680110  Run 302872, LB 181, lumi 10.37
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:37:58 2016 UTC-Sun Jun 26 15:37:58 2016 UTC (0.001 )  Time stamp start 1466955478223735095 end 1466955478222735095  Run 302872, LB 181, lumi 10.37
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:38:00 2016 UTC-Sun Jun 26 15:38:00 2016 UTC (0.001 )  Time stamp start 1466955480145153815 end 1466955480144153815  Run 302872, LB 181, lumi 10.37
