Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307861 to 307861
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307861 to run 307861  lasting from Mon Sep  5 18:26:18 2016 UTC to Tue Sep  6 07:15:16 2016 UTC
Event Veto ['NoiseBurst'], Mon Sep  5 20:20:21 2016 UTC-Mon Sep  5 20:20:21 2016 UTC (0.010 )  Time stamp start 1473106821796846780 end 1473106821786710850  Run 307861, LB 122, lumi 0.00
Event Veto ['NoiseBurst'], Mon Sep  5 20:20:22 2016 UTC-Mon Sep  5 20:20:22 2016 UTC (0.010 )  Time stamp start 1473106822367724845 end 1473106822357617780  Run 307861, LB 122, lumi 0.00
Event Veto ['NoiseBurst'], Mon Sep  5 20:20:34 2016 UTC-Mon Sep  5 20:20:34 2016 UTC (0.010 )  Time stamp start 1473106834563916290 end 1473106834553799915  Run 307861, LB 122, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:20:44 2016 UTC-Mon Sep  5 20:20:45 2016 UTC (0.010 )  Time stamp start 1473106845004994065 end 1473106844994994065  Run 307861, LB 122, lumi 0.00
Event Veto ['NoiseBurst'], Mon Sep  5 20:20:54 2016 UTC-Mon Sep  5 20:20:54 2016 UTC (0.010 )  Time stamp start 1473106854887469190 end 1473106854877468640  Run 307861, LB 122, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:21:42 2016 UTC-Mon Sep  5 20:21:42 2016 UTC (0.010 )  Time stamp start 1473106902054458755 end 1473106902044458755  Run 307861, LB 124, lumi 75.67
Event Veto ['NoiseBurst'], Mon Sep  5 20:21:45 2016 UTC-Mon Sep  5 20:21:45 2016 UTC (0.010 )  Time stamp start 1473106905531150405 end 1473106905521111605  Run 307861, LB 124, lumi 75.97
Event Veto ['NoiseBurst'], Mon Sep  5 20:21:48 2016 UTC-Mon Sep  5 20:21:48 2016 UTC (0.010 )  Time stamp start 1473106908633154525 end 1473106908623151080  Run 307861, LB 124, lumi 75.70
Event Veto ['NoiseBurst'], Mon Sep  5 20:21:51 2016 UTC-Mon Sep  5 20:21:51 2016 UTC (0.010 )  Time stamp start 1473106911742909145 end 1473106911732906050  Run 307861, LB 124, lumi 75.69
Event Veto ['NoiseBurst'], Mon Sep  5 20:21:55 2016 UTC-Mon Sep  5 20:21:55 2016 UTC (0.010 )  Time stamp start 1473106915857243495 end 1473106915847242745  Run 307861, LB 124, lumi 75.68
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:22:23 2016 UTC-Mon Sep  5 20:22:23 2016 UTC (0.010 )  Time stamp start 1473106943223204380 end 1473106943213204380  Run 307861, LB 124, lumi 75.67
Event Veto ['NoiseBurst'], Mon Sep  5 20:23:03 2016 UTC-Mon Sep  5 20:23:03 2016 UTC (0.013 )  Time stamp start 1473106983566367190 end 1473106983553230555  Run 307861, LB 125, lumi 137.97
Event Veto ['NoiseBurst'], Mon Sep  5 20:23:04 2016 UTC-Mon Sep  5 20:23:04 2016 UTC (0.010 )  Time stamp start 1473106984200375935 end 1473106984190375685  Run 307861, LB 125, lumi 105.03
Event Veto ['NoiseBurst'], Mon Sep  5 20:23:42 2016 UTC-Mon Sep  5 20:23:42 2016 UTC (0.010 )  Time stamp start 1473107022415957415 end 1473107022405957290  Run 307861, LB 126, lumi 114.02
Event Veto ['NoiseBurst'], Mon Sep  5 20:23:44 2016 UTC-Mon Sep  5 20:23:44 2016 UTC (0.010 )  Time stamp start 1473107024563929485 end 1473107024553912795  Run 307861, LB 126, lumi 114.21
Event Veto ['NoiseBurst'], Mon Sep  5 20:23:46 2016 UTC-Mon Sep  5 20:23:46 2016 UTC (0.010 )  Time stamp start 1473107026492330785 end 1473107026482330285  Run 307861, LB 126, lumi 114.02
Event Veto ['NoiseBurst'], Mon Sep  5 20:23:47 2016 UTC-Mon Sep  5 20:23:47 2016 UTC (0.010 )  Time stamp start 1473107027665302955 end 1473107027655285460  Run 307861, LB 126, lumi 114.22
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:24:02 2016 UTC-Mon Sep  5 20:24:02 2016 UTC (0.010 )  Time stamp start 1473107042961584625 end 1473107042951584625  Run 307861, LB 126, lumi 114.02
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:24:53 2016 UTC-Mon Sep  5 20:24:53 2016 UTC (0.010 )  Time stamp start 1473107093409614440 end 1473107093399614440  Run 307861, LB 127, lumi 113.82
Event Veto ['NoiseBurst'], Mon Sep  5 20:25:27 2016 UTC-Mon Sep  5 20:25:27 2016 UTC (0.010 )  Time stamp start 1473107127807604280 end 1473107127797566255  Run 307861, LB 127, lumi 114.25
