Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337107 to 337107
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337107 to run 337107  lasting from Tue Oct  3 10:22:14 2017 UTC to Tue Oct  3 22:23:08 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:25 2017 UTC-Tue Oct  3 11:46:25 2017 UTC (0.001 )  Time stamp start 1507031185714283465 end 1507031185713283465  Run 337107, LB 91, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:46 2017 UTC-Tue Oct  3 11:46:46 2017 UTC (0.001 )  Time stamp start 1507031206056549310 end 1507031206055549310  Run 337107, LB 91, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:49 2017 UTC-Tue Oct  3 11:46:49 2017 UTC (0.001 )  Time stamp start 1507031209309043250 end 1507031209308043250  Run 337107, LB 91, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:53 2017 UTC-Tue Oct  3 11:46:53 2017 UTC (0.001 )  Time stamp start 1507031213125854210 end 1507031213124854210  Run 337107, LB 91, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:59 2017 UTC-Tue Oct  3 11:46:59 2017 UTC (0.001 )  Time stamp start 1507031219732075025 end 1507031219731075025  Run 337107, LB 91, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:47:25 2017 UTC-Tue Oct  3 11:47:25 2017 UTC (0.001 )  Time stamp start 1507031245989614875 end 1507031245988614875  Run 337107, LB 92, lumi 16.88
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:47:28 2017 UTC-Tue Oct  3 11:47:28 2017 UTC (0.001 )  Time stamp start 1507031248127632070 end 1507031248126632070  Run 337107, LB 92, lumi 16.88
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:47:36 2017 UTC-Tue Oct  3 11:47:36 2017 UTC (0.001 )  Time stamp start 1507031256896479970 end 1507031256895214070  Run 337107, LB 92, lumi 21.37
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:47:47 2017 UTC-Tue Oct  3 11:47:47 2017 UTC (0.001 )  Time stamp start 1507031267553510085 end 1507031267552510085  Run 337107, LB 92, lumi 16.88
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:47:48 2017 UTC-Tue Oct  3 11:47:48 2017 UTC (0.001 )  Time stamp start 1507031268351516985 end 1507031268350516985  Run 337107, LB 92, lumi 16.88
