Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350531 to 350531
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350531 to run 350531  lasting from Thu May 17 23:21:54 2018 UTC to Fri May 18 09:02:35 2018 UTC
Event Veto ['NoiseBurst'], Fri May 18 00:31:42 2018 UTC-Fri May 18 00:31:42 2018 UTC (0.003 )  Time stamp start 1526603502562744345 end 1526603502559464900  Run 350531, LB 78, lumi 61.94
Event Veto ['NoiseBurst'], Fri May 18 00:31:42 2018 UTC-Fri May 18 00:31:42 2018 UTC (0.002 )  Time stamp start 1526603502564562605 end 1526603502563031130  Run 350531, LB 78, lumi 28.92
Event Veto ['NoiseBurst'], Fri May 18 00:31:42 2018 UTC-Fri May 18 00:31:42 2018 UTC (0.007 )  Time stamp start 1526603502580448520 end 1526603502573337835  Run 350531, LB 78, lumi 134.29
Event Veto ['MiniNoiseBurst'], Fri May 18 00:31:46 2018 UTC-Fri May 18 00:31:46 2018 UTC (0.001 )  Time stamp start 1526603506785069130 end 1526603506784069130  Run 350531, LB 78, lumi 18.89
Event Veto ['MiniNoiseBurst'], Fri May 18 00:31:58 2018 UTC-Fri May 18 00:31:58 2018 UTC (0.001 )  Time stamp start 1526603518831986415 end 1526603518830986415  Run 350531, LB 78, lumi 18.89
Event Veto ['NoiseBurst'], Fri May 18 00:32:39 2018 UTC-Fri May 18 00:32:39 2018 UTC (0.002 )  Time stamp start 1526603559509027530 end 1526603559507507655  Run 350531, LB 79, lumi 28.70
Event Veto ['MiniNoiseBurst'], Fri May 18 00:32:52 2018 UTC-Fri May 18 00:32:52 2018 UTC (0.001 )  Time stamp start 1526603572744116805 end 1526603572743116805  Run 350531, LB 79, lumi 18.89
Event Veto ['MiniNoiseBurst'], Fri May 18 00:32:56 2018 UTC-Fri May 18 00:32:56 2018 UTC (0.001 )  Time stamp start 1526603576373459840 end 1526603576372459840  Run 350531, LB 79, lumi 18.89
Event Veto ['MiniNoiseBurst'], Fri May 18 00:33:05 2018 UTC-Fri May 18 00:33:05 2018 UTC (0.001 )  Time stamp start 1526603585221470885 end 1526603585220470885  Run 350531, LB 80, lumi 18.88
Event Veto ['MiniNoiseBurst'], Fri May 18 00:33:05 2018 UTC-Fri May 18 00:33:05 2018 UTC (0.001 )  Time stamp start 1526603585409726755 end 1526603585408726755  Run 350531, LB 80, lumi 18.88
