Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305618 to 305618
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305618 to run 305618  lasting from Thu Aug  4 20:15:58 2016 UTC to Fri Aug  5 12:21:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:30:48 2016 UTC-Thu Aug  4 23:30:48 2016 UTC (0.001 )  Time stamp start 1470353448434831610 end 1470353448433831610  Run 305618, LB 198, lumi 9.63
Event Veto ['NoiseBurst'], Thu Aug  4 23:30:49 2016 UTC-Thu Aug  4 23:30:49 2016 UTC (0.010 )  Time stamp start 1470353449551512465 end 1470353449541324985  Run 305618, LB 198, lumi 98.13
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:30:58 2016 UTC-Thu Aug  4 23:30:58 2016 UTC (0.001 )  Time stamp start 1470353458149757595 end 1470353458148757345  Run 305618, LB 198, lumi 9.64
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:31:12 2016 UTC-Thu Aug  4 23:31:12 2016 UTC (0.001 )  Time stamp start 1470353472489089845 end 1470353472488089845  Run 305618, LB 198, lumi 9.63
Event Veto ['NoiseBurst'], Thu Aug  4 23:31:20 2016 UTC-Thu Aug  4 23:31:20 2016 UTC (0.010 )  Time stamp start 1470353480365107860 end 1470353480354992935  Run 305618, LB 198, lumi 97.44
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:31:26 2016 UTC-Thu Aug  4 23:31:26 2016 UTC (0.001 )  Time stamp start 1470353486840731045 end 1470353486839730745  Run 305618, LB 199, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:31:31 2016 UTC-Thu Aug  4 23:31:31 2016 UTC (0.001 )  Time stamp start 1470353491574424045 end 1470353491573424045  Run 305618, LB 199, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:31:45 2016 UTC-Thu Aug  4 23:31:45 2016 UTC (0.001 )  Time stamp start 1470353505698209520 end 1470353505697209520  Run 305618, LB 199, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:32:00 2016 UTC-Thu Aug  4 23:32:00 2016 UTC (0.001 )  Time stamp start 1470353520140257950 end 1470353520139257950  Run 305618, LB 199, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:32:09 2016 UTC-Thu Aug  4 23:32:09 2016 UTC (0.001 )  Time stamp start 1470353529477052705 end 1470353529476052705  Run 305618, LB 199, lumi 9.62
