Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334637 to 334637
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334637 to run 334637  lasting from Fri Sep  1 15:47:30 2017 UTC to Sat Sep  2 00:25:11 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:43:30 2017 UTC-Fri Sep  1 18:43:30 2017 UTC (0.001 )  Time stamp start 1504291410313349065 end 1504291410312348145  Run 334637, LB 186, lumi 7.21
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:43:34 2017 UTC-Fri Sep  1 18:43:34 2017 UTC (0.001 )  Time stamp start 1504291414339695945 end 1504291414338694900  Run 334637, LB 186, lumi 7.21
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:43:39 2017 UTC-Fri Sep  1 18:43:39 2017 UTC (0.001 )  Time stamp start 1504291419725942640 end 1504291419724941565  Run 334637, LB 186, lumi 7.21
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:43:44 2017 UTC-Fri Sep  1 18:43:44 2017 UTC (0.001 )  Time stamp start 1504291424433408155 end 1504291424432408155  Run 334637, LB 186, lumi 7.20
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:43:52 2017 UTC-Fri Sep  1 18:43:52 2017 UTC (0.001 )  Time stamp start 1504291432080269180 end 1504291432079268305  Run 334637, LB 186, lumi 7.21
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:43:54 2017 UTC-Fri Sep  1 18:43:54 2017 UTC (0.001 )  Time stamp start 1504291434984531395 end 1504291434983531245  Run 334637, LB 186, lumi 7.20
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:43:58 2017 UTC-Fri Sep  1 18:43:58 2017 UTC (0.001 )  Time stamp start 1504291438850791460 end 1504291438849791460  Run 334637, LB 186, lumi 7.20
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:44:01 2017 UTC-Fri Sep  1 18:44:01 2017 UTC (0.001 )  Time stamp start 1504291441412841635 end 1504291441411841635  Run 334637, LB 187, lumi 7.17
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:44:02 2017 UTC-Fri Sep  1 18:44:02 2017 UTC (0.001 )  Time stamp start 1504291442480588175 end 1504291442479587180  Run 334637, LB 187, lumi 7.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:44:06 2017 UTC-Fri Sep  1 18:44:06 2017 UTC (0.001 )  Time stamp start 1504291446877998190 end 1504291446876998065  Run 334637, LB 187, lumi 7.18
