Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305920 to 305920
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305920 to run 305920  lasting from Tue Aug  9 16:17:50 2016 UTC to Wed Aug 10 04:05:03 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:13:12 2016 UTC-Tue Aug  9 18:13:12 2016 UTC (0.001 )  Time stamp start 1470766392736433295 end 1470766392735433295  Run 305920, LB 122, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:19:54 2016 UTC-Tue Aug  9 18:19:54 2016 UTC (0.001 )  Time stamp start 1470766794567727715 end 1470766794566727715  Run 305920, LB 129, lumi 3.18
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:20:01 2016 UTC-Tue Aug  9 18:20:01 2016 UTC (0.001 )  Time stamp start 1470766801837735475 end 1470766801836735350  Run 305920, LB 129, lumi 3.18
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:20:07 2016 UTC-Tue Aug  9 18:20:07 2016 UTC (0.001 )  Time stamp start 1470766807867464490 end 1470766807866464290  Run 305920, LB 129, lumi 3.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  9 18:20:13 2016 UTC-Tue Aug  9 18:20:13 2016 UTC (0.001 )  Time stamp start 1470766813661603905 end 1470766813660603905  Run 305920, LB 129, lumi 3.18
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:20:19 2016 UTC-Tue Aug  9 18:20:19 2016 UTC (0.001 )  Time stamp start 1470766819603811410 end 1470766819602810190  Run 305920, LB 129, lumi 3.18
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:20:25 2016 UTC-Tue Aug  9 18:20:25 2016 UTC (0.001 )  Time stamp start 1470766825397398515 end 1470766825396398390  Run 305920, LB 129, lumi 3.18
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:20:36 2016 UTC-Tue Aug  9 18:20:36 2016 UTC (0.001 )  Time stamp start 1470766836660689310 end 1470766836659688935  Run 305920, LB 130, lumi 9.59
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:20:47 2016 UTC-Tue Aug  9 18:20:47 2016 UTC (0.001 )  Time stamp start 1470766847301299340 end 1470766847300299340  Run 305920, LB 130, lumi 9.59
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:20:57 2016 UTC-Tue Aug  9 18:20:57 2016 UTC (0.001 )  Time stamp start 1470766857773581295 end 1470766857772580970  Run 305920, LB 130, lumi 9.59
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:21:03 2016 UTC-Tue Aug  9 18:21:03 2016 UTC (0.001 )  Time stamp start 1470766863579009195 end 1470766863578008170  Run 305920, LB 130, lumi 9.60
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:21:09 2016 UTC-Tue Aug  9 18:21:09 2016 UTC (0.001 )  Time stamp start 1470766869370113550 end 1470766869369111975  Run 305920, LB 130, lumi 9.60
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:21:15 2016 UTC-Tue Aug  9 18:21:15 2016 UTC (0.001 )  Time stamp start 1470766875011436615 end 1470766875010436615  Run 305920, LB 130, lumi 9.59
Event Veto ['NoiseBurst'], Tue Aug  9 18:21:15 2016 UTC-Tue Aug  9 18:21:15 2016 UTC (0.010 )  Time stamp start 1470766875265024715 end 1470766875255011695  Run 305920, LB 130, lumi 95.98
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:21:20 2016 UTC-Tue Aug  9 18:21:20 2016 UTC (0.001 )  Time stamp start 1470766880758410025 end 1470766880757409650  Run 305920, LB 130, lumi 9.59
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:21:31 2016 UTC-Tue Aug  9 18:21:31 2016 UTC (0.001 )  Time stamp start 1470766891235788865 end 1470766891234788865  Run 305920, LB 130, lumi 9.59
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:21:42 2016 UTC-Tue Aug  9 18:21:42 2016 UTC (0.001 )  Time stamp start 1470766902016591785 end 1470766902015591785  Run 305920, LB 131, lumi 9.67
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:22:11 2016 UTC-Tue Aug  9 18:22:11 2016 UTC (0.001 )  Time stamp start 1470766931518054660 end 1470766931517054660  Run 305920, LB 133, lumi 9.26
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:22:17 2016 UTC-Tue Aug  9 18:22:17 2016 UTC (0.001 )  Time stamp start 1470766937260398085 end 1470766937259398085  Run 305920, LB 133, lumi 9.26
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:22:40 2016 UTC-Tue Aug  9 18:22:40 2016 UTC (0.001 )  Time stamp start 1470766960191028365 end 1470766960190028365  Run 305920, LB 133, lumi 9.26
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:22:46 2016 UTC-Tue Aug  9 18:22:46 2016 UTC (0.001 )  Time stamp start 1470766966242951885 end 1470766966241951885  Run 305920, LB 133, lumi 9.26
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:22:57 2016 UTC-Tue Aug  9 18:22:57 2016 UTC (0.001 )  Time stamp start 1470766977898747490 end 1470766977897747490  Run 305920, LB 133, lumi 9.26
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:23:32 2016 UTC-Tue Aug  9 18:23:32 2016 UTC (0.001 )  Time stamp start 1470767012021549630 end 1470767012020549505  Run 305920, LB 134, lumi 8.34
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:23:46 2016 UTC-Tue Aug  9 18:23:46 2016 UTC (0.001 )  Time stamp start 1470767026509142805 end 1470767026508142805  Run 305920, LB 134, lumi 8.33
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:23:53 2016 UTC-Tue Aug  9 18:23:53 2016 UTC (0.001 )  Time stamp start 1470767033477723600 end 1470767033476723600  Run 305920, LB 134, lumi 8.33
