Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355273 to 355273
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355273 to run 355273  lasting from Sun Jul  8 18:03:20 2018 UTC to Mon Jul  9 02:08:27 2018 UTC
Event Veto ['NoiseBurst'], Sun Jul  8 20:49:27 2018 UTC-Sun Jul  8 20:49:27 2018 UTC (0.001 )  Time stamp start 1531082967250484080 end 1531082967249483405  Run 355273, LB 190, lumi 16.93
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:59:15 2018 UTC-Sun Jul  8 20:59:15 2018 UTC (0.001 )  Time stamp start 1531083555245532505 end 1531083555244532505  Run 355273, LB 252, lumi 16.65
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:59:18 2018 UTC-Sun Jul  8 20:59:18 2018 UTC (0.001 )  Time stamp start 1531083558716463080 end 1531083558715463080  Run 355273, LB 252, lumi 16.65
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:59:53 2018 UTC-Sun Jul  8 20:59:53 2018 UTC (0.001 )  Time stamp start 1531083593991689330 end 1531083593990540200  Run 355273, LB 253, lumi 19.11
Event Veto ['NoiseBurst'], Sun Jul  8 20:59:59 2018 UTC-Sun Jul  8 20:59:59 2018 UTC (0.007 )  Time stamp start 1531083599977473685 end 1531083599970185525  Run 355273, LB 253, lumi 121.22
Event Veto ['NoiseBurst'], Sun Jul  8 20:59:59 2018 UTC-Sun Jul  8 20:59:59 2018 UTC (0.001 )  Time stamp start 1531083599979084280 end 1531083599978010355  Run 355273, LB 253, lumi 17.86
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:00:23 2018 UTC-Sun Jul  8 21:00:23 2018 UTC (0.001 )  Time stamp start 1531083623564620515 end 1531083623563620515  Run 355273, LB 253, lumi 16.63
Event Veto ['NoiseBurst'], Sun Jul  8 21:00:49 2018 UTC-Sun Jul  8 21:00:49 2018 UTC (0.001 )  Time stamp start 1531083649972368535 end 1531083649971318705  Run 355273, LB 254, lumi 17.41
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:01:05 2018 UTC-Sun Jul  8 21:01:05 2018 UTC (0.001 )  Time stamp start 1531083665368273680 end 1531083665367273680  Run 355273, LB 254, lumi 16.59
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:02:32 2018 UTC-Sun Jul  8 21:02:32 2018 UTC (0.001 )  Time stamp start 1531083752714472820 end 1531083752713472820  Run 355273, LB 256, lumi 16.52
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:03:19 2018 UTC-Sun Jul  8 21:03:19 2018 UTC (0.001 )  Time stamp start 1531083799386628095 end 1531083799385628095  Run 355273, LB 256, lumi 16.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Jul  8 21:03:37 2018 UTC-Sun Jul  8 21:03:37 2018 UTC (0.001 )  Time stamp start 1531083817503319350 end 1531083817502319350  Run 355273, LB 257, lumi 16.43
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:04:32 2018 UTC-Sun Jul  8 21:04:32 2018 UTC (0.001 )  Time stamp start 1531083872654532545 end 1531083872653532545  Run 355273, LB 258, lumi 16.36
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:04:36 2018 UTC-Sun Jul  8 21:04:36 2018 UTC (0.001 )  Time stamp start 1531083876796012375 end 1531083876795012375  Run 355273, LB 258, lumi 16.36
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:06:22 2018 UTC-Sun Jul  8 21:06:22 2018 UTC (0.001 )  Time stamp start 1531083982547319470 end 1531083982546319345  Run 355273, LB 259, lumi 16.35
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:07:20 2018 UTC-Sun Jul  8 21:07:20 2018 UTC (0.001 )  Time stamp start 1531084040240878595 end 1531084040239878595  Run 355273, LB 260, lumi 16.38
