Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349498 to 349498
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349498 to run 349498  lasting from Fri May  4 06:48:34 2018 UTC to Fri May  4 17:20:09 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May  4 08:14:13 2018 UTC-Fri May  4 08:14:13 2018 UTC (0.001 )  Time stamp start 1525421653105787770 end 1525421653104787770  Run 349498, LB 94, lumi 15.58
Event Veto ['MiniNoiseBurst'], Fri May  4 08:14:52 2018 UTC-Fri May  4 08:14:52 2018 UTC (0.001 )  Time stamp start 1525421692161145400 end 1525421692160145400  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:14:59 2018 UTC-Fri May  4 08:14:59 2018 UTC (0.001 )  Time stamp start 1525421699504969815 end 1525421699503969815  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:09 2018 UTC-Fri May  4 08:15:09 2018 UTC (0.001 )  Time stamp start 1525421709163338640 end 1525421709162338340  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:11 2018 UTC-Fri May  4 08:15:11 2018 UTC (0.001 )  Time stamp start 1525421711205798590 end 1525421711204798590  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:29 2018 UTC-Fri May  4 08:15:29 2018 UTC (0.001 )  Time stamp start 1525421729933659200 end 1525421729932659200  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:32 2018 UTC-Fri May  4 08:15:32 2018 UTC (0.001 )  Time stamp start 1525421732624407700 end 1525421732623407700  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:38 2018 UTC-Fri May  4 08:15:38 2018 UTC (0.001 )  Time stamp start 1525421738310574445 end 1525421738309574445  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:39 2018 UTC-Fri May  4 08:15:39 2018 UTC (0.001 )  Time stamp start 1525421739375211150 end 1525421739374211150  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:43 2018 UTC-Fri May  4 08:15:43 2018 UTC (0.001 )  Time stamp start 1525421743230928405 end 1525421743229928405  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:47 2018 UTC-Fri May  4 08:15:47 2018 UTC (0.001 )  Time stamp start 1525421747700522305 end 1525421747699522305  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:48 2018 UTC-Fri May  4 08:15:48 2018 UTC (0.001 )  Time stamp start 1525421748946663330 end 1525421748945663330  Run 349498, LB 95, lumi 15.55
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:51 2018 UTC-Fri May  4 08:15:51 2018 UTC (0.001 )  Time stamp start 1525421751256313080 end 1525421751255313080  Run 349498, LB 96, lumi 15.52
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:54 2018 UTC-Fri May  4 08:15:54 2018 UTC (0.001 )  Time stamp start 1525421754888999855 end 1525421754887999855  Run 349498, LB 96, lumi 15.52
Event Veto ['MiniNoiseBurst'], Fri May  4 08:15:57 2018 UTC-Fri May  4 08:15:57 2018 UTC (0.001 )  Time stamp start 1525421757006629270 end 1525421757005629270  Run 349498, LB 96, lumi 15.52
Event Veto ['MiniNoiseBurst'], Fri May  4 08:16:03 2018 UTC-Fri May  4 08:16:03 2018 UTC (0.001 )  Time stamp start 1525421763843450170 end 1525421763842450170  Run 349498, LB 96, lumi 15.52
Event Veto ['MiniNoiseBurst'], Fri May  4 08:16:06 2018 UTC-Fri May  4 08:16:06 2018 UTC (0.001 )  Time stamp start 1525421766523022535 end 1525421766522022535  Run 349498, LB 96, lumi 15.52
Event Veto ['MiniNoiseBurst'], Fri May  4 08:16:12 2018 UTC-Fri May  4 08:16:12 2018 UTC (0.001 )  Time stamp start 1525421772551807980 end 1525421772550807980  Run 349498, LB 96, lumi 15.52
Event Veto ['MiniNoiseBurst'], Fri May  4 08:16:14 2018 UTC-Fri May  4 08:16:14 2018 UTC (0.001 )  Time stamp start 1525421774487105485 end 1525421774486105485  Run 349498, LB 96, lumi 15.52
Event Veto ['MiniNoiseBurst'], Fri May  4 08:16:16 2018 UTC-Fri May  4 08:16:16 2018 UTC (0.001 )  Time stamp start 1525421776518602235 end 1525421776517602235  Run 349498, LB 96, lumi 15.52
Event Veto ['MiniNoiseBurst'], Fri May  4 08:16:19 2018 UTC-Fri May  4 08:16:19 2018 UTC (0.001 )  Time stamp start 1525421779160236105 end 1525421779159235030  Run 349498, LB 96, lumi 15.54
Event Veto ['MiniNoiseBurst'], Fri May  4 08:17:00 2018 UTC-Fri May  4 08:17:00 2018 UTC (0.001 )  Time stamp start 1525421820292846145 end 1525421820291846145  Run 349498, LB 97, lumi 15.51
Event Veto ['MiniNoiseBurst'], Fri May  4 08:17:04 2018 UTC-Fri May  4 08:17:04 2018 UTC (0.001 )  Time stamp start 1525421824188362505 end 1525421824187362505  Run 349498, LB 98, lumi 15.49
Event Veto ['MiniNoiseBurst'], Fri May  4 08:17:05 2018 UTC-Fri May  4 08:17:05 2018 UTC (0.001 )  Time stamp start 1525421825914504880 end 1525421825913504705  Run 349498, LB 98, lumi 15.49
Event Veto ['MiniNoiseBurst'], Fri May  4 08:17:09 2018 UTC-Fri May  4 08:17:09 2018 UTC (0.001 )  Time stamp start 1525421829484842010 end 1525421829483842010  Run 349498, LB 98, lumi 15.49
Event Veto ['MiniNoiseBurst'], Fri May  4 08:17:16 2018 UTC-Fri May  4 08:17:16 2018 UTC (0.001 )  Time stamp start 1525421836809424465 end 1525421836808423890  Run 349498, LB 98, lumi 15.50
Event Veto ['MiniNoiseBurst'], Fri May  4 08:17:40 2018 UTC-Fri May  4 08:17:40 2018 UTC (0.001 )  Time stamp start 1525421860248172820 end 1525421860247172820  Run 349498, LB 98, lumi 15.49
Event Veto ['MiniNoiseBurst'], Fri May  4 08:18:00 2018 UTC-Fri May  4 08:18:00 2018 UTC (0.001 )  Time stamp start 1525421880934193100 end 1525421880933193100  Run 349498, LB 99, lumi 15.46
Event Veto ['MiniNoiseBurst'], Fri May  4 08:18:14 2018 UTC-Fri May  4 08:18:14 2018 UTC (0.001 )  Time stamp start 1525421894296136495 end 1525421894295136495  Run 349498, LB 99, lumi 15.46
Event Veto ['MiniNoiseBurst'], Fri May  4 08:18:16 2018 UTC-Fri May  4 08:18:16 2018 UTC (0.001 )  Time stamp start 1525421896543088785 end 1525421896542088785  Run 349498, LB 99, lumi 15.46
Event Veto ['MiniNoiseBurst'], Fri May  4 08:18:27 2018 UTC-Fri May  4 08:18:27 2018 UTC (0.001 )  Time stamp start 1525421907385675920 end 1525421907384675920  Run 349498, LB 99, lumi 15.46
Event Veto ['MiniNoiseBurst'], Fri May  4 08:18:30 2018 UTC-Fri May  4 08:18:30 2018 UTC (0.001 )  Time stamp start 1525421910786796390 end 1525421910785796390  Run 349498, LB 99, lumi 15.46
Event Veto ['MiniNoiseBurst'], Fri May  4 08:18:32 2018 UTC-Fri May  4 08:18:32 2018 UTC (0.001 )  Time stamp start 1525421912101556885 end 1525421912100556885  Run 349498, LB 99, lumi 15.46
Event Veto ['MiniNoiseBurst'], Fri May  4 08:18:36 2018 UTC-Fri May  4 08:18:36 2018 UTC (0.001 )  Time stamp start 1525421916870266870 end 1525421916869266870  Run 349498, LB 99, lumi 15.46
Event Veto ['MiniNoiseBurst'], Fri May  4 08:19:09 2018 UTC-Fri May  4 08:19:09 2018 UTC (0.001 )  Time stamp start 1525421949163141275 end 1525421949162140850  Run 349498, LB 100, lumi 15.45
Event Veto ['MiniNoiseBurst'], Fri May  4 08:19:12 2018 UTC-Fri May  4 08:19:12 2018 UTC (0.001 )  Time stamp start 1525421952982902825 end 1525421952981902525  Run 349498, LB 101, lumi 15.43
Event Veto ['MiniNoiseBurst'], Fri May  4 08:19:25 2018 UTC-Fri May  4 08:19:25 2018 UTC (0.001 )  Time stamp start 1525421965461253950 end 1525421965460253950  Run 349498, LB 101, lumi 15.43
Event Veto ['MiniNoiseBurst'], Fri May  4 08:19:28 2018 UTC-Fri May  4 08:19:28 2018 UTC (0.001 )  Time stamp start 1525421968171786115 end 1525421968170786115  Run 349498, LB 101, lumi 15.43
Event Veto ['MiniNoiseBurst'], Fri May  4 08:19:31 2018 UTC-Fri May  4 08:19:31 2018 UTC (0.001 )  Time stamp start 1525421971255813445 end 1525421971254813445  Run 349498, LB 101, lumi 15.43
Event Veto ['MiniNoiseBurst'], Fri May  4 08:19:33 2018 UTC-Fri May  4 08:19:33 2018 UTC (0.001 )  Time stamp start 1525421973839832190 end 1525421973838832190  Run 349498, LB 101, lumi 15.43
Event Veto ['MiniNoiseBurst'], Fri May  4 08:19:53 2018 UTC-Fri May  4 08:19:53 2018 UTC (0.001 )  Time stamp start 1525421993327974810 end 1525421993326974810  Run 349498, LB 102, lumi 15.40
