Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310247 to 310247
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 310247 to run 310247  lasting from Sun Oct  9 01:34:32 2016 UTC to Sun Oct  9 09:41:02 2016 UTC
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:33:42 2016 UTC-Sun Oct  9 08:33:42 2016 UTC (0.001 )  Time stamp start 1476002022029876930 end 1476002022028876930  Run 310247, LB 433, lumi 10.01
Event Veto ['DataCorruption'], Sun Oct  9 08:33:42 2016 UTC-Sun Oct  9 08:33:45 2016 UTC (3.586 )  Time stamp start 1476002025616248100 end 1476002022029876930  Run 310247, LB 433, lumi 35899.21
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:33:45 2016 UTC-Sun Oct  9 08:33:45 2016 UTC (0.001 )  Time stamp start 1476002025617248550 end 1476002025616248100  Run 310247, LB 433, lumi 10.01
Event Veto ['DataCorruption'], Sun Oct  9 08:33:45 2016 UTC-Sun Oct  9 08:33:56 2016 UTC (11.268 )  Time stamp start 1476002036884908630 end 1476002025617248550  Run 310247, LB 433, lumi 112788.13
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:33:56 2016 UTC-Sun Oct  9 08:33:56 2016 UTC (0.001 )  Time stamp start 1476002036885909005 end 1476002036884908630  Run 310247, LB 433, lumi 10.01
Event Veto ['DataCorruption'], Sun Oct  9 08:33:56 2016 UTC-Sun Oct  9 08:34:01 2016 UTC (4.207 )  Time stamp start 1476002041093301505 end 1476002036885909005  Run 310247, LBs 433-434, lumi 42688.50
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:34:01 2016 UTC-Sun Oct  9 08:34:01 2016 UTC (0.001 )  Time stamp start 1476002041094301655 end 1476002041093301505  Run 310247, LB 434, lumi 11.06
Event Veto ['DataCorruption'], Sun Oct  9 08:34:01 2016 UTC-Sun Oct  9 08:34:07 2016 UTC (6.309 )  Time stamp start 1476002047403195375 end 1476002041094301655  Run 310247, LB 434, lumi 69776.19
Event Veto ['NoiseBurst', 'DataCorruption'], Sun Oct  9 08:34:07 2016 UTC-Sun Oct  9 08:34:07 2016 UTC (0.010 )  Time stamp start 1476002047413195750 end 1476002047403195375  Run 310247, LB 434, lumi 110.60
Event Veto ['DataCorruption'], Sun Oct  9 08:34:07 2016 UTC-Sun Oct  9 08:34:09 2016 UTC (2.145 )  Time stamp start 1476002049558427390 end 1476002047413195750  Run 310247, LB 434, lumi 23726.20
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:34:09 2016 UTC-Sun Oct  9 08:34:09 2016 UTC (0.001 )  Time stamp start 1476002049559427390 end 1476002049558427390  Run 310247, LB 434, lumi 11.06
Event Veto ['DataCorruption'], Sun Oct  9 08:34:09 2016 UTC-Sun Oct  9 08:34:25 2016 UTC (16.221 )  Time stamp start 1476002065780757100 end 1476002049559427390  Run 310247, LB 434, lumi 179407.45
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:34:25 2016 UTC-Sun Oct  9 08:34:25 2016 UTC (0.001 )  Time stamp start 1476002065781757225 end 1476002065780757100  Run 310247, LB 434, lumi 11.06
Event Veto ['DataCorruption'], Sun Oct  9 08:34:25 2016 UTC-Sun Oct  9 08:34:33 2016 UTC (7.902 )  Time stamp start 1476002073683433895 end 1476002065781757225  Run 310247, LB 434, lumi 87392.32
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:34:33 2016 UTC-Sun Oct  9 08:34:33 2016 UTC (0.001 )  Time stamp start 1476002073684433895 end 1476002073683433895  Run 310247, LB 434, lumi 11.06
Event Veto ['DataCorruption'], Sun Oct  9 08:34:33 2016 UTC-Sun Oct  9 08:34:35 2016 UTC (1.412 )  Time stamp start 1476002075096115950 end 1476002073684433895  Run 310247, LB 434, lumi 15613.16
Event Veto ['NoiseBurst', 'DataCorruption'], Sun Oct  9 08:34:35 2016 UTC-Sun Oct  9 08:34:35 2016 UTC (0.010 )  Time stamp start 1476002075106116195 end 1476002075096115950  Run 310247, LB 434, lumi 110.60
Event Veto ['DataCorruption'], Sun Oct  9 08:34:35 2016 UTC-Sun Oct  9 08:34:43 2016 UTC (8.631 )  Time stamp start 1476002083736798245 end 1476002075106116195  Run 310247, LB 434, lumi 95455.10
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:34:43 2016 UTC-Sun Oct  9 08:34:43 2016 UTC (0.001 )  Time stamp start 1476002083737798245 end 1476002083736798245  Run 310247, LB 434, lumi 11.06
