Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359872 to 359872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359872 to run 359872  lasting from Tue Sep  4 05:16:22 2018 UTC to Tue Sep  4 18:30:31 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:28:34 2018 UTC-Tue Sep  4 06:28:34 2018 UTC (0.001 )  Time stamp start 1536042514490633840 end 1536042514489633840  Run 359872, LB 78, lumi 18.81
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:28:48 2018 UTC-Tue Sep  4 06:28:48 2018 UTC (0.001 )  Time stamp start 1536042528851397285 end 1536042528850397285  Run 359872, LB 78, lumi 18.81
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:31:15 2018 UTC-Tue Sep  4 06:31:15 2018 UTC (0.001 )  Time stamp start 1536042675245654575 end 1536042675244654575  Run 359872, LB 80, lumi 18.71
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:31:19 2018 UTC-Tue Sep  4 06:31:19 2018 UTC (0.001 )  Time stamp start 1536042679038588000 end 1536042679037588000  Run 359872, LB 80, lumi 18.71
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:35:01 2018 UTC-Tue Sep  4 06:35:01 2018 UTC (0.001 )  Time stamp start 1536042901041525525 end 1536042901040525525  Run 359872, LB 85, lumi 18.47
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:40:59 2018 UTC-Tue Sep  4 06:40:59 2018 UTC (0.001 )  Time stamp start 1536043259649381225 end 1536043259648381225  Run 359872, LB 91, lumi 18.22
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:41:41 2018 UTC-Tue Sep  4 06:41:41 2018 UTC (0.001 )  Time stamp start 1536043301522418360 end 1536043301521418360  Run 359872, LB 91, lumi 18.22
Event Veto ['NoiseBurst'], Tue Sep  4 06:41:57 2018 UTC-Tue Sep  4 06:41:57 2018 UTC (0.001 )  Time stamp start 1536043317967418145 end 1536043317966417275  Run 359872, LB 92, lumi 18.21
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:42:15 2018 UTC-Tue Sep  4 06:42:15 2018 UTC (0.001 )  Time stamp start 1536043335123162855 end 1536043335122162855  Run 359872, LB 92, lumi 18.20
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 06:42:29 2018 UTC-Tue Sep  4 06:42:29 2018 UTC (0.001 )  Time stamp start 1536043349191897295 end 1536043349190897295  Run 359872, LB 92, lumi 18.20
