Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350121 to 350121
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350121 to run 350121  lasting from Sat May 12 02:00:08 2018 UTC to Sat May 12 16:57:50 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 02:59:00 2018 UTC-Sat May 12 02:59:00 2018 UTC (0.001 )  Time stamp start 1526093940097613550 end 1526093940096613550  Run 350121, LB 67, lumi 18.79
Event Veto ['MiniNoiseBurst'], Sat May 12 02:59:00 2018 UTC-Sat May 12 02:59:00 2018 UTC (0.001 )  Time stamp start 1526093940457701710 end 1526093940456701710  Run 350121, LB 67, lumi 18.79
Event Veto ['MiniNoiseBurst'], Sat May 12 02:59:03 2018 UTC-Sat May 12 02:59:03 2018 UTC (0.001 )  Time stamp start 1526093943562368150 end 1526093943561368150  Run 350121, LB 67, lumi 18.79
Event Veto ['MiniNoiseBurst'], Sat May 12 02:59:14 2018 UTC-Sat May 12 02:59:14 2018 UTC (0.001 )  Time stamp start 1526093954105571535 end 1526093954104571535  Run 350121, LB 67, lumi 18.79
Event Veto ['MiniNoiseBurst'], Sat May 12 02:59:26 2018 UTC-Sat May 12 02:59:26 2018 UTC (0.001 )  Time stamp start 1526093966307676900 end 1526093966306676900  Run 350121, LB 67, lumi 18.79
Event Veto ['MiniNoiseBurst'], Sat May 12 02:59:32 2018 UTC-Sat May 12 02:59:32 2018 UTC (0.001 )  Time stamp start 1526093972071666815 end 1526093972070666815  Run 350121, LB 68, lumi 19.86
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:05 2018 UTC-Sat May 12 03:00:05 2018 UTC (0.001 )  Time stamp start 1526094005140763480 end 1526094005139763480  Run 350121, LB 68, lumi 19.86
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:23 2018 UTC-Sat May 12 03:00:23 2018 UTC (0.001 )  Time stamp start 1526094023755417625 end 1526094023754417625  Run 350121, LB 68, lumi 19.86
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:27 2018 UTC-Sat May 12 03:00:27 2018 UTC (0.001 )  Time stamp start 1526094027440180205 end 1526094027439180205  Run 350121, LB 68, lumi 19.86
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:28 2018 UTC-Sat May 12 03:00:28 2018 UTC (0.001 )  Time stamp start 1526094028913380445 end 1526094028912380445  Run 350121, LB 68, lumi 19.86
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:30 2018 UTC-Sat May 12 03:00:30 2018 UTC (0.001 )  Time stamp start 1526094030870060980 end 1526094030869060980  Run 350121, LB 68, lumi 19.86
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:33 2018 UTC-Sat May 12 03:00:33 2018 UTC (0.001 )  Time stamp start 1526094033963807455 end 1526094033962807305  Run 350121, LB 69, lumi 19.79
