Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331975 to 331975
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331975 to run 331975  lasting from Wed Aug  9 03:25:56 2017 UTC to Wed Aug  9 19:24:48 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:07 2017 UTC-Wed Aug  9 04:47:07 2017 UTC (0.001 )  Time stamp start 1502254027025311860 end 1502254027024310590  Run 331975, LB 88, lumi 11.90
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:12 2017 UTC-Wed Aug  9 04:47:12 2017 UTC (0.001 )  Time stamp start 1502254032395232565 end 1502254032394232565  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:17 2017 UTC-Wed Aug  9 04:47:17 2017 UTC (0.001 )  Time stamp start 1502254037477900345 end 1502254037476900345  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:19 2017 UTC-Wed Aug  9 04:47:19 2017 UTC (0.001 )  Time stamp start 1502254039497013215 end 1502254039496013215  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:21 2017 UTC-Wed Aug  9 04:47:21 2017 UTC (0.001 )  Time stamp start 1502254041316232295 end 1502254041315231545  Run 331975, LB 88, lumi 11.90
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:23 2017 UTC-Wed Aug  9 04:47:23 2017 UTC (0.001 )  Time stamp start 1502254043165558705 end 1502254043164557780  Run 331975, LB 88, lumi 11.90
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:25 2017 UTC-Wed Aug  9 04:47:25 2017 UTC (0.001 )  Time stamp start 1502254045224453110 end 1502254045223452835  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:27 2017 UTC-Wed Aug  9 04:47:27 2017 UTC (0.001 )  Time stamp start 1502254047133523465 end 1502254047132523340  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:29 2017 UTC-Wed Aug  9 04:47:29 2017 UTC (0.001 )  Time stamp start 1502254049268758775 end 1502254049267758250  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:30 2017 UTC-Wed Aug  9 04:47:30 2017 UTC (0.001 )  Time stamp start 1502254050897229900 end 1502254050896229900  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:32 2017 UTC-Wed Aug  9 04:47:32 2017 UTC (0.001 )  Time stamp start 1502254052290496445 end 1502254052289496320  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:33 2017 UTC-Wed Aug  9 04:47:33 2017 UTC (0.001 )  Time stamp start 1502254053956338690 end 1502254053955338290  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:35 2017 UTC-Wed Aug  9 04:47:35 2017 UTC (0.001 )  Time stamp start 1502254055803723555 end 1502254055802723430  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:37 2017 UTC-Wed Aug  9 04:47:37 2017 UTC (0.001 )  Time stamp start 1502254057459363815 end 1502254057458363815  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:38 2017 UTC-Wed Aug  9 04:47:38 2017 UTC (0.001 )  Time stamp start 1502254058987394690 end 1502254058986394690  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:40 2017 UTC-Wed Aug  9 04:47:40 2017 UTC (0.001 )  Time stamp start 1502254060551888630 end 1502254060550888630  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:42 2017 UTC-Wed Aug  9 04:47:42 2017 UTC (0.001 )  Time stamp start 1502254062172485050 end 1502254062171484925  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:43 2017 UTC-Wed Aug  9 04:47:43 2017 UTC (0.001 )  Time stamp start 1502254063179632120 end 1502254063178632120  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:43 2017 UTC-Wed Aug  9 04:47:43 2017 UTC (0.001 )  Time stamp start 1502254063936994965 end 1502254063935994965  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:45 2017 UTC-Wed Aug  9 04:47:45 2017 UTC (0.001 )  Time stamp start 1502254065103012120 end 1502254065102011875  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:45 2017 UTC-Wed Aug  9 04:47:45 2017 UTC (0.001 )  Time stamp start 1502254065570108075 end 1502254065569108075  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:47 2017 UTC-Wed Aug  9 04:47:47 2017 UTC (0.001 )  Time stamp start 1502254067273986245 end 1502254067272985125  Run 331975, LB 88, lumi 11.90
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:48 2017 UTC-Wed Aug  9 04:47:48 2017 UTC (0.001 )  Time stamp start 1502254068796205375 end 1502254068795205250  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:50 2017 UTC-Wed Aug  9 04:47:50 2017 UTC (0.001 )  Time stamp start 1502254070554480700 end 1502254070553480575  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:52 2017 UTC-Wed Aug  9 04:47:52 2017 UTC (0.001 )  Time stamp start 1502254072292084135 end 1502254072291084010  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:06 2017 UTC-Wed Aug  9 04:48:06 2017 UTC (0.001 )  Time stamp start 1502254086088800610 end 1502254086087800610  Run 331975, LB 89, lumi 13.80
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:09 2017 UTC-Wed Aug  9 04:48:09 2017 UTC (0.001 )  Time stamp start 1502254089731888660 end 1502254089730888185  Run 331975, LB 89, lumi 13.81
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:11 2017 UTC-Wed Aug  9 04:48:11 2017 UTC (0.001 )  Time stamp start 1502254091541837560 end 1502254091540836365  Run 331975, LB 89, lumi 13.82
