Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309516 to 309516
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309516 to run 309516  lasting from Wed Sep 28 08:36:05 2016 UTC to Thu Sep 29 01:26:21 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:53 2016 UTC-Wed Sep 28 11:56:53 2016 UTC (0.010 )  Time stamp start 1475063813067398055 end 1475063813057398055  Run 309516, LB 204, lumi 108.94
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:56 2016 UTC-Wed Sep 28 11:56:56 2016 UTC (0.010 )  Time stamp start 1475063816253885510 end 1475063816243885510  Run 309516, LB 204, lumi 108.94
Event Veto ['NoiseBurst'], Wed Sep 28 11:56:56 2016 UTC-Wed Sep 28 11:56:57 2016 UTC (0.028 )  Time stamp start 1475063817011526135 end 1475063816983767670  Run 309516, LB 204, lumi 302.41
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:57:02 2016 UTC-Wed Sep 28 11:57:02 2016 UTC (0.010 )  Time stamp start 1475063822662523440 end 1475063822652523440  Run 309516, LB 204, lumi 108.94
Event Veto ['NoiseBurst'], Wed Sep 28 11:57:02 2016 UTC-Wed Sep 28 11:57:02 2016 UTC (0.010 )  Time stamp start 1475063822942809725 end 1475063822932808700  Run 309516, LB 204, lumi 108.96
Event Veto ['NoiseBurst'], Wed Sep 28 11:57:07 2016 UTC-Wed Sep 28 11:57:07 2016 UTC (0.010 )  Time stamp start 1475063827084165620 end 1475063827074164820  Run 309516, LB 204, lumi 108.95
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:57:12 2016 UTC-Wed Sep 28 11:57:12 2016 UTC (0.010 )  Time stamp start 1475063832201440050 end 1475063832191440050  Run 309516, LB 204, lumi 108.94
Event Veto ['NoiseBurst'], Wed Sep 28 11:57:13 2016 UTC-Wed Sep 28 11:57:13 2016 UTC (0.010 )  Time stamp start 1475063833666313040 end 1475063833656311895  Run 309516, LB 204, lumi 108.96
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:57:15 2016 UTC-Wed Sep 28 11:57:15 2016 UTC (0.010 )  Time stamp start 1475063835418171945 end 1475063835408171945  Run 309516, LB 204, lumi 108.94
Event Veto ['NoiseBurst'], Wed Sep 28 11:57:17 2016 UTC-Wed Sep 28 11:57:17 2016 UTC (0.012 )  Time stamp start 1475063837704754920 end 1475063837692798060  Run 309516, LB 204, lumi 130.26
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:57:18 2016 UTC-Wed Sep 28 11:57:18 2016 UTC (0.018 )  Time stamp start 1475063838664236650 end 1475063838645970050  Run 309516, LB 204, lumi 199.00
Event Veto ['NoiseBurst'], Wed Sep 28 11:57:27 2016 UTC-Wed Sep 28 11:57:27 2016 UTC (0.010 )  Time stamp start 1475063847122199550 end 1475063847112199250  Run 309516, LB 204, lumi 108.95
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:57:27 2016 UTC-Wed Sep 28 11:57:27 2016 UTC (0.010 )  Time stamp start 1475063847695530505 end 1475063847685530505  Run 309516, LB 204, lumi 108.94
