Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 336832 to 336832
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 336832 to run 336832  lasting from Thu Sep 28 11:32:09 2017 UTC to Fri Sep 29 02:21:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:36:11 2017 UTC-Thu Sep 28 12:36:11 2017 UTC (0.001 )  Time stamp start 1506602171998711325 end 1506602171997711325  Run 336832, LB 72, lumi 14.55
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:38:04 2017 UTC-Thu Sep 28 12:38:04 2017 UTC (0.001 )  Time stamp start 1506602284524172535 end 1506602284523172535  Run 336832, LB 75, lumi 14.94
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:38:12 2017 UTC-Thu Sep 28 12:38:12 2017 UTC (0.001 )  Time stamp start 1506602292307903510 end 1506602292306903510  Run 336832, LB 75, lumi 14.94
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:38:31 2017 UTC-Thu Sep 28 12:38:31 2017 UTC (0.001 )  Time stamp start 1506602311380192790 end 1506602311379192790  Run 336832, LB 75, lumi 14.94
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:38:57 2017 UTC-Thu Sep 28 12:38:57 2017 UTC (0.001 )  Time stamp start 1506602337938000860 end 1506602337937000860  Run 336832, LB 76, lumi 14.90
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:40:04 2017 UTC-Thu Sep 28 12:40:04 2017 UTC (0.001 )  Time stamp start 1506602404222320730 end 1506602404221320730  Run 336832, LB 77, lumi 14.89
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:40:17 2017 UTC-Thu Sep 28 12:40:17 2017 UTC (0.001 )  Time stamp start 1506602417731557305 end 1506602417730557305  Run 336832, LB 78, lumi 14.87
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep 28 12:40:20 2017 UTC-Thu Sep 28 12:40:20 2017 UTC (0.001 )  Time stamp start 1506602420555429930 end 1506602420554429930  Run 336832, LB 78, lumi 14.87
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:41:03 2017 UTC-Thu Sep 28 12:41:03 2017 UTC (0.002 )  Time stamp start 1506602463570108495 end 1506602463568467485  Run 336832, LB 78, lumi 24.40
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:41:37 2017 UTC-Thu Sep 28 12:41:37 2017 UTC (0.001 )  Time stamp start 1506602497077856225 end 1506602497076856225  Run 336832, LB 79, lumi 14.84
