Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 360309 to 360309
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 360309 to run 360309  lasting from Sat Sep  8 15:57:20 2018 UTC to Sun Sep  9 06:07:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:23:38 2018 UTC-Sat Sep  8 18:23:38 2018 UTC (0.001 )  Time stamp start 1536431018264974750 end 1536431018263974750  Run 360309, LB 189, lumi 16.97
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:24:46 2018 UTC-Sat Sep  8 18:24:46 2018 UTC (0.001 )  Time stamp start 1536431086674318320 end 1536431086673318320  Run 360309, LB 190, lumi 16.94
Event Veto ['NoiseBurst'], Sat Sep  8 18:24:49 2018 UTC-Sat Sep  8 18:24:49 2018 UTC (0.001 )  Time stamp start 1536431089564696320 end 1536431089563601110  Run 360309, LB 190, lumi 18.55
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:26:02 2018 UTC-Sat Sep  8 18:26:02 2018 UTC (0.001 )  Time stamp start 1536431162377577425 end 1536431162376577425  Run 360309, LB 191, lumi 16.90
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:28:49 2018 UTC-Sat Sep  8 18:28:49 2018 UTC (0.001 )  Time stamp start 1536431329790265730 end 1536431329789265730  Run 360309, LB 194, lumi 16.81
Event Veto ['NoiseBurst'], Sat Sep  8 18:28:52 2018 UTC-Sat Sep  8 18:28:52 2018 UTC (0.001 )  Time stamp start 1536431332213719230 end 1536431332212718580  Run 360309, LB 194, lumi 16.83
Event Veto ['NoiseBurst'], Sat Sep  8 18:30:54 2018 UTC-Sat Sep  8 18:30:54 2018 UTC (0.002 )  Time stamp start 1536431454871200400 end 1536431454868714535  Run 360309, LB 196, lumi 41.58
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:31:27 2018 UTC-Sat Sep  8 18:31:27 2018 UTC (0.001 )  Time stamp start 1536431487714591040 end 1536431487713591040  Run 360309, LB 196, lumi 16.73
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:32:42 2018 UTC-Sat Sep  8 18:32:42 2018 UTC (0.001 )  Time stamp start 1536431562760116555 end 1536431562759116555  Run 360309, LB 198, lumi 16.66
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:33:40 2018 UTC-Sat Sep  8 18:33:40 2018 UTC (0.001 )  Time stamp start 1536431620022665105 end 1536431620021665105  Run 360309, LB 199, lumi 16.63
Event Veto ['NoiseBurst'], Sat Sep  8 18:34:27 2018 UTC-Sat Sep  8 18:34:27 2018 UTC (0.001 )  Time stamp start 1536431667277226700 end 1536431667276017560  Run 360309, LB 199, lumi 20.11
Event Veto ['NoiseBurst'], Sat Sep  8 18:37:56 2018 UTC-Sat Sep  8 18:37:56 2018 UTC (0.001 )  Time stamp start 1536431876186112630 end 1536431876185112130  Run 360309, LB 203, lumi 16.58
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:39:00 2018 UTC-Sat Sep  8 18:39:00 2018 UTC (0.001 )  Time stamp start 1536431940135924720 end 1536431940134924720  Run 360309, LB 204, lumi 16.54
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:39:09 2018 UTC-Sat Sep  8 18:39:09 2018 UTC (0.001 )  Time stamp start 1536431949272092935 end 1536431949271092935  Run 360309, LB 204, lumi 16.54
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:39:26 2018 UTC-Sat Sep  8 18:39:26 2018 UTC (0.001 )  Time stamp start 1536431966168315205 end 1536431966167315205  Run 360309, LB 204, lumi 16.54
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:41:06 2018 UTC-Sat Sep  8 18:41:06 2018 UTC (0.001 )  Time stamp start 1536432066906066885 end 1536432066905066885  Run 360309, LB 206, lumi 16.46
