Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334678 to 334678
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334678 to run 334678  lasting from Sat Sep  2 01:40:53 2017 UTC to Sat Sep  2 08:15:10 2017 UTC
Event Veto ['DataCorruption'], Sat Sep  2 01:56:21 2017 UTC-Sat Sep  2 01:56:22 2017 UTC (0.942 )  Time stamp start 1504317382737102585 end 1504317381795365525  Run 334678, LB 18, lumi 0.15
Event Veto ['DataCorruption'], Sat Sep  2 01:56:23 2017 UTC-Sat Sep  2 01:56:23 2017 UTC (0.691 )  Time stamp start 1504317383707701295 end 1504317383017128085  Run 334678, LB 18, lumi 0.11
Event Veto ['DataCorruption'], Sat Sep  2 01:56:23 2017 UTC-Sat Sep  2 01:56:24 2017 UTC (0.870 )  Time stamp start 1504317384855034790 end 1504317383984925150  Run 334678, LB 18, lumi 0.14
Event Veto ['DataCorruption'], Sat Sep  2 01:56:24 2017 UTC-Sat Sep  2 01:56:25 2017 UTC (0.742 )  Time stamp start 1504317385685542760 end 1504317384943792350  Run 334678, LB 18, lumi 0.12
Event Veto ['DataCorruption'], Sat Sep  2 01:56:25 2017 UTC-Sat Sep  2 01:56:27 2017 UTC (1.201 )  Time stamp start 1504317387125977265 end 1504317385924588630  Run 334678, LB 18, lumi 0.19
Event Veto ['DataCorruption'], Sat Sep  2 01:56:27 2017 UTC-Sat Sep  2 01:56:29 2017 UTC (2.035 )  Time stamp start 1504317389410029555 end 1504317387374573050  Run 334678, LB 18, lumi 0.33
Event Veto ['DataCorruption'], Sat Sep  2 01:56:30 2017 UTC-Sat Sep  2 01:56:31 2017 UTC (0.938 )  Time stamp start 1504317391784830360 end 1504317390847129245  Run 334678, LB 18, lumi 0.15
Event Veto ['DataCorruption'], Sat Sep  2 01:56:32 2017 UTC-Sat Sep  2 01:56:33 2017 UTC (1.445 )  Time stamp start 1504317393718815735 end 1504317392274009980  Run 334678, LB 18, lumi 0.23
Event Veto ['DataCorruption'], Sat Sep  2 01:56:33 2017 UTC-Sat Sep  2 01:56:35 2017 UTC (1.734 )  Time stamp start 1504317395727796760 end 1504317393994272820  Run 334678, LB 18, lumi 0.28
Event Veto ['DataCorruption'], Sat Sep  2 01:56:37 2017 UTC-Sat Sep  2 01:56:38 2017 UTC (0.709 )  Time stamp start 1504317398520540915 end 1504317397811569485  Run 334678, LB 18, lumi 0.11
Event Veto ['DataCorruption'], Sat Sep  2 01:56:39 2017 UTC-Sat Sep  2 01:56:41 2017 UTC (2.530 )  Time stamp start 1504317401786607285 end 1504317399256654570  Run 334678, LB 18, lumi 0.41
Event Veto ['DataCorruption'], Sat Sep  2 01:56:42 2017 UTC-Sat Sep  2 01:56:42 2017 UTC (0.716 )  Time stamp start 1504317402729301580 end 1504317402012954700  Run 334678, LB 18, lumi 0.12
Event Veto ['DataCorruption'], Sat Sep  2 01:56:43 2017 UTC-Sat Sep  2 01:56:45 2017 UTC (1.754 )  Time stamp start 1504317405377224670 end 1504317403622929995  Run 334678, LB 18, lumi 0.28
Event Veto ['DataCorruption'], Sat Sep  2 01:56:46 2017 UTC-Sat Sep  2 01:56:47 2017 UTC (1.008 )  Time stamp start 1504317407508007985 end 1504317406499920455  Run 334678, LB 18, lumi 0.16
Event Veto ['DataCorruption'], Sat Sep  2 01:56:47 2017 UTC-Sat Sep  2 01:56:48 2017 UTC (1.019 )  Time stamp start 1504317408551151355 end 1504317407532199300  Run 334678, LB 18, lumi 0.16
Event Veto ['DataCorruption'], Sat Sep  2 01:56:48 2017 UTC-Sat Sep  2 01:56:49 2017 UTC (0.918 )  Time stamp start 1504317409599951920 end 1504317408681947210  Run 334678, LB 18, lumi 0.15
Event Veto ['DataCorruption'], Sat Sep  2 01:56:49 2017 UTC-Sat Sep  2 01:56:50 2017 UTC (1.022 )  Time stamp start 1504317410805721040 end 1504317409783814715  Run 334678, LB 18, lumi 0.17
Event Veto ['DataCorruption'], Sat Sep  2 01:56:51 2017 UTC-Sat Sep  2 01:56:52 2017 UTC (0.584 )  Time stamp start 1504317412327630815 end 1504317411743783925  Run 334678, LB 18, lumi 0.09
Event Veto ['DataCorruption'], Sat Sep  2 01:56:52 2017 UTC-Sat Sep  2 01:56:53 2017 UTC (0.675 )  Time stamp start 1504317413470697700 end 1504317412795733555  Run 334678, LB 18, lumi 0.11
Event Veto ['DataCorruption'], Sat Sep  2 01:56:53 2017 UTC-Sat Sep  2 01:56:54 2017 UTC (1.253 )  Time stamp start 1504317414922720800 end 1504317413669287880  Run 334678, LB 18, lumi 0.20
Event Veto ['DataCorruption'], Sat Sep  2 01:56:55 2017 UTC-Sat Sep  2 01:56:58 2017 UTC (2.713 )  Time stamp start 1504317418397754355 end 1504317415685086555  Run 334678, LB 18, lumi 0.44
Event Veto ['DataCorruption'], Sat Sep  2 01:56:58 2017 UTC-Sat Sep  2 01:57:00 2017 UTC (1.280 )  Time stamp start 1504317420039052230 end 1504317418759287840  Run 334678, LB 18, lumi 0.21
Event Veto ['DataCorruption'], Sat Sep  2 01:57:00 2017 UTC-Sat Sep  2 01:57:01 2017 UTC (1.344 )  Time stamp start 1504317421653984700 end 1504317420309803025  Run 334678, LB 18, lumi 0.22
Event Veto ['DataCorruption'], Sat Sep  2 01:57:02 2017 UTC-Sat Sep  2 01:57:05 2017 UTC (2.993 )  Time stamp start 1504317425865662690 end 1504317422872297140  Run 334678, LB 19, lumi 0.48
Event Veto ['DataCorruption'], Sat Sep  2 01:57:05 2017 UTC-Sat Sep  2 01:57:06 2017 UTC (0.800 )  Time stamp start 1504317426769975580 end 1504317425969832930  Run 334678, LB 19, lumi 0.13
