Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337005 to 337005
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337005 to run 337005  lasting from Mon Oct  2 04:18:47 2017 UTC to Mon Oct  2 08:30:01 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:48:17 2017 UTC-Mon Oct  2 05:48:17 2017 UTC (0.001 )  Time stamp start 1506923297874851320 end 1506923297873851320  Run 337005, LB 100, lumi 14.25
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:48:28 2017 UTC-Mon Oct  2 05:48:28 2017 UTC (0.001 )  Time stamp start 1506923308865810350 end 1506923308864810350  Run 337005, LB 100, lumi 14.25
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:48:41 2017 UTC-Mon Oct  2 05:48:41 2017 UTC (0.001 )  Time stamp start 1506923321227146265 end 1506923321226146265  Run 337005, LB 101, lumi 14.30
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:48:50 2017 UTC-Mon Oct  2 05:48:50 2017 UTC (0.001 )  Time stamp start 1506923330016819550 end 1506923330015819550  Run 337005, LB 101, lumi 14.30
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:49:02 2017 UTC-Mon Oct  2 05:49:02 2017 UTC (0.001 )  Time stamp start 1506923342784349365 end 1506923342783349365  Run 337005, LB 101, lumi 14.30
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:51:44 2017 UTC-Mon Oct  2 05:51:44 2017 UTC (0.001 )  Time stamp start 1506923504696732610 end 1506923504695732610  Run 337005, LB 105, lumi 15.23
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:51:50 2017 UTC-Mon Oct  2 05:51:50 2017 UTC (0.001 )  Time stamp start 1506923510357396020 end 1506923510356396020  Run 337005, LB 105, lumi 15.23
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:52:32 2017 UTC-Mon Oct  2 05:52:32 2017 UTC (0.001 )  Time stamp start 1506923552935633415 end 1506923552934633415  Run 337005, LB 105, lumi 15.23
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:52:54 2017 UTC-Mon Oct  2 05:52:54 2017 UTC (0.001 )  Time stamp start 1506923574028932015 end 1506923574027932015  Run 337005, LB 106, lumi 15.20
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:52:55 2017 UTC-Mon Oct  2 05:52:55 2017 UTC (0.001 )  Time stamp start 1506923575071556580 end 1506923575070556580  Run 337005, LB 106, lumi 15.20
