Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303291 to 303291
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303291 to run 303291  lasting from Mon Jul  4 10:20:26 2016 UTC to Mon Jul  4 17:57:04 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:31:43 2016 UTC-Mon Jul  4 11:31:43 2016 UTC (0.001 )  Time stamp start 1467631903381647675 end 1467631903380647125  Run 303291, LB 83, lumi 9.57
Event Veto ['NoiseBurst'], Mon Jul  4 11:31:52 2016 UTC-Mon Jul  4 11:31:52 2016 UTC (0.010 )  Time stamp start 1467631912975251530 end 1467631912964907680  Run 303291, LB 83, lumi 98.92
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:31:54 2016 UTC-Mon Jul  4 11:31:54 2016 UTC (0.001 )  Time stamp start 1467631914621211905 end 1467631914620211780  Run 303291, LB 83, lumi 9.56
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:32:01 2016 UTC-Mon Jul  4 11:32:01 2016 UTC (0.001 )  Time stamp start 1467631921250292295 end 1467631921249292170  Run 303291, LB 83, lumi 9.56
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:32:11 2016 UTC-Mon Jul  4 11:32:11 2016 UTC (0.001 )  Time stamp start 1467631931928886655 end 1467631931927886655  Run 303291, LB 83, lumi 9.56
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:32:12 2016 UTC-Mon Jul  4 11:32:12 2016 UTC (0.001 )  Time stamp start 1467631932977970660 end 1467631932976969540  Run 303291, LB 83, lumi 9.57
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:32:19 2016 UTC-Mon Jul  4 11:32:19 2016 UTC (0.001 )  Time stamp start 1467631939439464615 end 1467631939438463815  Run 303291, LB 83, lumi 9.57
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:32:25 2016 UTC-Mon Jul  4 11:32:25 2016 UTC (0.001 )  Time stamp start 1467631945337820480 end 1467631945336820480  Run 303291, LB 83, lumi 9.56
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:32:31 2016 UTC-Mon Jul  4 11:32:31 2016 UTC (0.001 )  Time stamp start 1467631951057869250 end 1467631951056869125  Run 303291, LB 83, lumi 9.56
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:32:37 2016 UTC-Mon Jul  4 11:32:37 2016 UTC (0.001 )  Time stamp start 1467631957559312105 end 1467631957558311485  Run 303291, LB 83, lumi 9.57
