Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349335 to 349335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349335 to run 349335  lasting from Wed May  2 08:16:23 2018 UTC to Wed May  2 12:55:30 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 10:16:50 2018 UTC-Wed May  2 10:16:50 2018 UTC (0.001 )  Time stamp start 1525256210711699270 end 1525256210710699270  Run 349335, LB 166, lumi 14.81
Event Veto ['MiniNoiseBurst'], Wed May  2 10:17:37 2018 UTC-Wed May  2 10:17:37 2018 UTC (0.001 )  Time stamp start 1525256257306900095 end 1525256257305900095  Run 349335, LB 167, lumi 14.76
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.002 )  Time stamp start 1525256268755756940 end 1525256268754256180  Run 349335, LB 167, lumi 22.16
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.002 )  Time stamp start 1525256268757960240 end 1525256268756135520  Run 349335, LB 167, lumi 26.94
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.023 )  Time stamp start 1525256268781377955 end 1525256268758030480  Run 349335, LB 167, lumi 344.69
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268785399240 end 1525256268784056645  Run 349335, LB 167, lumi 19.82
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.002 )  Time stamp start 1525256268790558680 end 1525256268788284820  Run 349335, LB 167, lumi 33.57
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268797131280 end 1525256268795723435  Run 349335, LB 167, lumi 20.78
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.002 )  Time stamp start 1525256268802483160 end 1525256268800967555  Run 349335, LB 167, lumi 22.38
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268807992785 end 1525256268806646595  Run 349335, LB 167, lumi 19.87
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268812237280 end 1525256268811150675  Run 349335, LB 167, lumi 16.04
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.002 )  Time stamp start 1525256268823352410 end 1525256268821743910  Run 349335, LB 167, lumi 23.75
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268827301365 end 1525256268826258495  Run 349335, LB 167, lumi 15.40
