Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359735 to 359735
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359735 to run 359735  lasting from Sun Sep  2 20:18:19 2018 UTC to Mon Sep  3 03:23:04 2018 UTC
Event Veto ['NoiseBurst'], Sun Sep  2 22:20:08 2018 UTC-Sun Sep  2 22:20:08 2018 UTC (0.004 )  Time stamp start 1535926808876782955 end 1535926808872500735  Run 359735, LB 164, lumi 82.08
Event Veto ['NoiseBurst'], Sun Sep  2 22:20:08 2018 UTC-Sun Sep  2 22:20:08 2018 UTC (0.002 )  Time stamp start 1535926808883586675 end 1535926808881789200  Run 359735, LB 164, lumi 34.45
Event Veto ['NoiseBurst'], Sun Sep  2 22:20:08 2018 UTC-Sun Sep  2 22:20:08 2018 UTC (0.004 )  Time stamp start 1535926808889792720 end 1535926808886249095  Run 359735, LB 164, lumi 67.92
Event Veto ['MiniNoiseBurst'], Sun Sep  2 22:21:47 2018 UTC-Sun Sep  2 22:21:47 2018 UTC (0.001 )  Time stamp start 1535926907779049505 end 1535926907778049505  Run 359735, LB 166, lumi 19.10
Event Veto ['MiniNoiseBurst'], Sun Sep  2 22:23:35 2018 UTC-Sun Sep  2 22:23:35 2018 UTC (0.001 )  Time stamp start 1535927015824836290 end 1535927015823836290  Run 359735, LB 167, lumi 19.08
Event Veto ['DataCorruption'], Sun Sep  2 22:26:54 2018 UTC-Sun Sep  2 22:26:58 2018 UTC (4.350 )  Time stamp start 1535927218724682755 end 1535927214374808880  Run 359735, LB 171, lumi 82191.97
Event Veto ['NoiseBurst'], Sun Sep  2 22:28:00 2018 UTC-Sun Sep  2 22:28:00 2018 UTC (0.001 )  Time stamp start 1535927280932089245 end 1535927280931088620  Run 359735, LB 172, lumi 18.87
Event Veto ['MiniNoiseBurst'], Sun Sep  2 22:28:55 2018 UTC-Sun Sep  2 22:28:55 2018 UTC (0.001 )  Time stamp start 1535927335764238905 end 1535927335763238905  Run 359735, LB 173, lumi 18.89
Event Veto ['NoiseBurst'], Sun Sep  2 22:29:45 2018 UTC-Sun Sep  2 22:29:45 2018 UTC (0.001 )  Time stamp start 1535927385982311490 end 1535927385981311365  Run 359735, LB 174, lumi 18.82
Event Veto ['MiniNoiseBurst'], Sun Sep  2 22:30:08 2018 UTC-Sun Sep  2 22:30:08 2018 UTC (0.001 )  Time stamp start 1535927408322224990 end 1535927408321224990  Run 359735, LB 174, lumi 18.82
