Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357409 to 357409
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357409 to run 357409  lasting from Thu Aug  2 21:25:56 2018 UTC to Fri Aug  3 20:38:29 2018 UTC
Event Veto ['NoiseBurst'], Fri Aug  3 08:24:06 2018 UTC-Fri Aug  3 08:24:06 2018 UTC (0.001 )  Time stamp start 1533284646368511655 end 1533284646367511280  Run 357409, LB 698, lumi 15.48
Event Veto ['NoiseBurst'], Fri Aug  3 08:24:46 2018 UTC-Fri Aug  3 08:24:46 2018 UTC (0.001 )  Time stamp start 1533284686028050385 end 1533284686026990105  Run 357409, LB 698, lumi 16.41
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:26:41 2018 UTC-Fri Aug  3 08:26:41 2018 UTC (0.001 )  Time stamp start 1533284801784645885 end 1533284801783645885  Run 357409, LB 701, lumi 15.39
Event Veto ['NoiseBurst'], Fri Aug  3 08:27:03 2018 UTC-Fri Aug  3 08:27:03 2018 UTC (0.002 )  Time stamp start 1533284823528010380 end 1533284823526252730  Run 357409, LB 701, lumi 27.06
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:30:38 2018 UTC-Fri Aug  3 08:30:38 2018 UTC (0.001 )  Time stamp start 1533285038868603165 end 1533285038867603165  Run 357409, LB 705, lumi 15.24
Event Veto ['NoiseBurst'], Fri Aug  3 08:35:10 2018 UTC-Fri Aug  3 08:35:10 2018 UTC (0.001 )  Time stamp start 1533285310096889110 end 1533285310095888610  Run 357409, LB 710, lumi 15.09
Event Veto ['NoiseBurst'], Fri Aug  3 08:35:44 2018 UTC-Fri Aug  3 08:35:44 2018 UTC (0.001 )  Time stamp start 1533285344154162540 end 1533285344153161790  Run 357409, LB 711, lumi 15.05
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:36:02 2018 UTC-Fri Aug  3 08:36:02 2018 UTC (0.001 )  Time stamp start 1533285362540546210 end 1533285362539546210  Run 357409, LB 711, lumi 15.04
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:39:09 2018 UTC-Fri Aug  3 08:39:09 2018 UTC (0.001 )  Time stamp start 1533285549663863910 end 1533285549662863910  Run 357409, LB 714, lumi 14.99
Event Veto ['NoiseBurst'], Fri Aug  3 08:40:47 2018 UTC-Fri Aug  3 08:40:47 2018 UTC (0.001 )  Time stamp start 1533285647099091935 end 1533285647098091935  Run 357409, LB 716, lumi 14.93
