Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302925 to 302925
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302925 to run 302925  lasting from Tue Jun 28 12:47:31 2016 UTC to Tue Jun 28 18:36:01 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:06:19 2016 UTC-Tue Jun 28 13:06:19 2016 UTC (0.001 )  Time stamp start 1467119179139314975 end 1467119179138313505  Run 302925, LB 26, lumi 7.84
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:06:27 2016 UTC-Tue Jun 28 13:06:27 2016 UTC (0.001 )  Time stamp start 1467119187331241055 end 1467119187330241055  Run 302925, LB 26, lumi 7.83
Event Veto ['NoiseBurst'], Tue Jun 28 13:06:36 2016 UTC-Tue Jun 28 13:06:36 2016 UTC (0.010 )  Time stamp start 1467119196907096735 end 1467119196897025825  Run 302925, LB 26, lumi 78.83
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:07:11 2016 UTC-Tue Jun 28 13:07:11 2016 UTC (0.001 )  Time stamp start 1467119231514553705 end 1467119231513553205  Run 302925, LB 27, lumi 7.83
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:07:26 2016 UTC-Tue Jun 28 13:07:26 2016 UTC (0.001 )  Time stamp start 1467119246252622420 end 1467119246251622045  Run 302925, LB 27, lumi 7.83
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:07:35 2016 UTC-Tue Jun 28 13:07:35 2016 UTC (0.001 )  Time stamp start 1467119255846011400 end 1467119255845010900  Run 302925, LB 27, lumi 7.83
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:08:29 2016 UTC-Tue Jun 28 13:08:29 2016 UTC (0.001 )  Time stamp start 1467119309224032395 end 1467119309223032395  Run 302925, LB 28, lumi 7.81
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:08:56 2016 UTC-Tue Jun 28 13:08:56 2016 UTC (0.001 )  Time stamp start 1467119336889471920 end 1467119336888471545  Run 302925, LB 29, lumi 7.81
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:09:12 2016 UTC-Tue Jun 28 13:09:12 2016 UTC (0.001 )  Time stamp start 1467119352424884025 end 1467119352423883900  Run 302925, LB 29, lumi 7.81
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:09:52 2016 UTC-Tue Jun 28 13:09:52 2016 UTC (0.001 )  Time stamp start 1467119392108528865 end 1467119392107527620  Run 302925, LB 29, lumi 7.82
Event Veto ['NoiseBurst'], Tue Jun 28 13:09:57 2016 UTC-Tue Jun 28 13:09:57 2016 UTC (0.010 )  Time stamp start 1467119397203263145 end 1467119397193181505  Run 302925, LB 30, lumi 78.69
Event Veto ['NoiseBurst'], Tue Jun 28 13:10:05 2016 UTC-Tue Jun 28 13:10:05 2016 UTC (0.010 )  Time stamp start 1467119405791893940 end 1467119405781893815  Run 302925, LB 30, lumi 78.06
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:10:21 2016 UTC-Tue Jun 28 13:10:21 2016 UTC (0.001 )  Time stamp start 1467119421642302520 end 1467119421641301970  Run 302925, LB 30, lumi 7.81
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:10:31 2016 UTC-Tue Jun 28 13:10:31 2016 UTC (0.001 )  Time stamp start 1467119431173602735 end 1467119431172602735  Run 302925, LB 30, lumi 7.81
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:10:45 2016 UTC-Tue Jun 28 13:10:45 2016 UTC (0.001 )  Time stamp start 1467119445905707820 end 1467119445904707695  Run 302925, LB 30, lumi 7.81
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:11:00 2016 UTC-Tue Jun 28 13:11:00 2016 UTC (0.001 )  Time stamp start 1467119460750626050 end 1467119460749625750  Run 302925, LB 31, lumi 7.80
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:11:15 2016 UTC-Tue Jun 28 13:11:15 2016 UTC (0.001 )  Time stamp start 1467119475515513385 end 1467119475514513010  Run 302925, LB 31, lumi 7.80
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:11:40 2016 UTC-Tue Jun 28 13:11:40 2016 UTC (0.001 )  Time stamp start 1467119500219176885 end 1467119500218176885  Run 302925, LB 31, lumi 7.80
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:11:54 2016 UTC-Tue Jun 28 13:11:54 2016 UTC (0.001 )  Time stamp start 1467119514898394865 end 1467119514897393915  Run 302925, LB 32, lumi 7.80
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:12:39 2016 UTC-Tue Jun 28 13:12:39 2016 UTC (0.001 )  Time stamp start 1467119559498363295 end 1467119559497362795  Run 302925, LB 32, lumi 7.80
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:12:47 2016 UTC-Tue Jun 28 13:12:47 2016 UTC (0.001 )  Time stamp start 1467119567007623070 end 1467119567006622695  Run 302925, LB 32, lumi 7.80
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:13:01 2016 UTC-Tue Jun 28 13:13:01 2016 UTC (0.001 )  Time stamp start 1467119581943100405 end 1467119581942100030  Run 302925, LB 33, lumi 7.79
Event Veto ['NoiseBurst'], Tue Jun 28 13:13:21 2016 UTC-Tue Jun 28 13:13:21 2016 UTC (0.010 )  Time stamp start 1467119601887223980 end 1467119601877134655  Run 302925, LB 33, lumi 78.56
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:13:26 2016 UTC-Tue Jun 28 13:13:26 2016 UTC (0.001 )  Time stamp start 1467119606670302280 end 1467119606669301905  Run 302925, LB 33, lumi 7.79
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:13:43 2016 UTC-Tue Jun 28 13:13:43 2016 UTC (0.001 )  Time stamp start 1467119623053391995 end 1467119623052391695  Run 302925, LB 33, lumi 7.79
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:14:49 2016 UTC-Tue Jun 28 13:14:49 2016 UTC (0.001 )  Time stamp start 1467119689518294065 end 1467119689517294065  Run 302925, LB 34, lumi 7.78
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:15:07 2016 UTC-Tue Jun 28 13:15:07 2016 UTC (0.001 )  Time stamp start 1467119707841922975 end 1467119707840922600  Run 302925, LB 35, lumi 7.77
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:15:13 2016 UTC-Tue Jun 28 13:15:13 2016 UTC (0.001 )  Time stamp start 1467119713501158995 end 1467119713500158995  Run 302925, LB 35, lumi 7.77
Event Veto ['DataCorruption'], Tue Jun 28 13:15:30 2016 UTC-Tue Jun 28 13:15:30 2016 UTC (0.500 )  Time stamp start 1467119730530779605 end 1467119730030673540  Run 302925, LB 35, lumi 3886.40
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:15:49 2016 UTC-Tue Jun 28 13:15:49 2016 UTC (0.001 )  Time stamp start 1467119749963262505 end 1467119749962262505  Run 302925, LB 35, lumi 7.77
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:16:07 2016 UTC-Tue Jun 28 13:16:07 2016 UTC (0.001 )  Time stamp start 1467119767777912095 end 1467119767776911845  Run 302925, LB 36, lumi 7.77
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:16:23 2016 UTC-Tue Jun 28 13:16:23 2016 UTC (0.001 )  Time stamp start 1467119783958480635 end 1467119783957480635  Run 302925, LB 36, lumi 7.77
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:16:33 2016 UTC-Tue Jun 28 13:16:33 2016 UTC (0.001 )  Time stamp start 1467119793245708180 end 1467119793244708180  Run 302925, LB 36, lumi 7.77
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:16:40 2016 UTC-Tue Jun 28 13:16:40 2016 UTC (0.001 )  Time stamp start 1467119800497128050 end 1467119800496128050  Run 302925, LB 36, lumi 7.77
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:16:47 2016 UTC-Tue Jun 28 13:16:47 2016 UTC (0.001 )  Time stamp start 1467119807394530445 end 1467119807393530445  Run 302925, LB 36, lumi 7.77
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:16:56 2016 UTC-Tue Jun 28 13:16:56 2016 UTC (0.001 )  Time stamp start 1467119816515016250 end 1467119816514016250  Run 302925, LB 37, lumi 7.76
Event Veto ['NoiseBurst'], Tue Jun 28 13:17:11 2016 UTC-Tue Jun 28 13:17:11 2016 UTC (0.010 )  Time stamp start 1467119831593535275 end 1467119831583398220  Run 302925, LB 37, lumi 78.68
Event Veto ['NoiseBurst'], Tue Jun 28 13:17:11 2016 UTC-Tue Jun 28 13:17:11 2016 UTC (0.010 )  Time stamp start 1467119831653853835 end 1467119831643722445  Run 302925, LB 37, lumi 78.64
Event Veto ['NoiseBurst'], Tue Jun 28 13:17:11 2016 UTC-Tue Jun 28 13:17:11 2016 UTC (0.010 )  Time stamp start 1467119831664438660 end 1467119831654319300  Run 302925, LB 37, lumi 78.54
Event Veto ['NoiseBurst'], Tue Jun 28 13:17:11 2016 UTC-Tue Jun 28 13:17:11 2016 UTC (0.013 )  Time stamp start 1467119831682794195 end 1467119831669375495  Run 302925, LB 37, lumi 104.15
Event Veto ['NoiseBurst'], Tue Jun 28 13:17:11 2016 UTC-Tue Jun 28 13:17:11 2016 UTC (0.010 )  Time stamp start 1467119831695080315 end 1467119831684717035  Run 302925, LB 37, lumi 80.44
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:17:19 2016 UTC-Tue Jun 28 13:17:19 2016 UTC (0.001 )  Time stamp start 1467119839304231385 end 1467119839303231010  Run 302925, LB 37, lumi 7.76
Event Veto ['NoiseBurst'], Tue Jun 28 13:17:34 2016 UTC-Tue Jun 28 13:17:34 2016 UTC (0.010 )  Time stamp start 1467119854636124065 end 1467119854626069700  Run 302925, LB 37, lumi 78.04
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:18:06 2016 UTC-Tue Jun 28 13:18:06 2016 UTC (0.001 )  Time stamp start 1467119886866380260 end 1467119886865380260  Run 302925, LB 38, lumi 7.76
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:18:53 2016 UTC-Tue Jun 28 13:18:53 2016 UTC (0.001 )  Time stamp start 1467119933378928885 end 1467119933377928735  Run 302925, LB 38, lumi 7.76
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:19:02 2016 UTC-Tue Jun 28 13:19:02 2016 UTC (0.001 )  Time stamp start 1467119942551696165 end 1467119942550696165  Run 302925, LB 39, lumi 7.75
Event Veto ['NoiseBurst'], Tue Jun 28 13:19:10 2016 UTC-Tue Jun 28 13:19:10 2016 UTC (0.010 )  Time stamp start 1467119950284131400 end 1467119950274130780  Run 302925, LB 39, lumi 77.52
