Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 327265 to 327265
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 327265 to run 327265  lasting from Mon Jun 19 16:45:53 2017 UTC to Tue Jun 20 10:09:16 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:00:14 2017 UTC-Mon Jun 19 18:00:14 2017 UTC (0.001 )  Time stamp start 1497895214561113275 end 1497895214560113275  Run 327265, LB 82, lumi 10.96
Event Veto ['NoiseBurst'], Mon Jun 19 18:00:18 2017 UTC-Mon Jun 19 18:00:18 2017 UTC (0.001 )  Time stamp start 1497895218891154860 end 1497895218890154360  Run 327265, LB 82, lumi 10.97
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:01:06 2017 UTC-Mon Jun 19 18:01:06 2017 UTC (0.001 )  Time stamp start 1497895266189927050 end 1497895266188927050  Run 327265, LB 83, lumi 10.92
Event Veto ['NoiseBurst'], Mon Jun 19 18:01:11 2017 UTC-Mon Jun 19 18:01:11 2017 UTC (0.001 )  Time stamp start 1497895271276230655 end 1497895271275230530  Run 327265, LB 83, lumi 10.92
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:01:20 2017 UTC-Mon Jun 19 18:01:20 2017 UTC (0.001 )  Time stamp start 1497895280760754510 end 1497895280759754510  Run 327265, LB 83, lumi 10.92
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:01:25 2017 UTC-Mon Jun 19 18:01:25 2017 UTC (0.001 )  Time stamp start 1497895285953742110 end 1497895285952742110  Run 327265, LB 83, lumi 10.92
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:02:16 2017 UTC-Mon Jun 19 18:02:16 2017 UTC (0.001 )  Time stamp start 1497895336653958085 end 1497895336652958085  Run 327265, LB 84, lumi 10.89
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:02:39 2017 UTC-Mon Jun 19 18:02:39 2017 UTC (0.001 )  Time stamp start 1497895359958267875 end 1497895359957267875  Run 327265, LB 84, lumi 10.89
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:02:43 2017 UTC-Mon Jun 19 18:02:43 2017 UTC (0.001 )  Time stamp start 1497895363840962960 end 1497895363839962960  Run 327265, LB 84, lumi 10.89
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:03:11 2017 UTC-Mon Jun 19 18:03:11 2017 UTC (0.001 )  Time stamp start 1497895391361468200 end 1497895391360468200  Run 327265, LB 85, lumi 10.87
