Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351698 to 351698
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351698 to run 351698  lasting from Sat Jun  2 09:51:16 2018 UTC to Sat Jun  2 15:03:46 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:56:09 2018 UTC-Sat Jun  2 10:56:09 2018 UTC (0.001 )  Time stamp start 1527936969808673565 end 1527936969807673565  Run 351698, LB 77, lumi 17.45
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:57:28 2018 UTC-Sat Jun  2 10:57:28 2018 UTC (0.001 )  Time stamp start 1527937048476418950 end 1527937048475418950  Run 351698, LB 80, lumi 19.53
Event Veto ['NoiseBurst'], Sat Jun  2 10:58:32 2018 UTC-Sat Jun  2 10:58:32 2018 UTC (0.001 )  Time stamp start 1527937112934441250 end 1527937112933440875  Run 351698, LB 81, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:00:17 2018 UTC-Sat Jun  2 11:00:17 2018 UTC (0.001 )  Time stamp start 1527937217727794040 end 1527937217726794040  Run 351698, LB 83, lumi 19.43
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:00:20 2018 UTC-Sat Jun  2 11:00:20 2018 UTC (0.001 )  Time stamp start 1527937220363431750 end 1527937220362431750  Run 351698, LB 83, lumi 19.43
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:00:27 2018 UTC-Sat Jun  2 11:00:27 2018 UTC (0.001 )  Time stamp start 1527937227996497385 end 1527937227995497085  Run 351698, LB 83, lumi 19.43
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:01:17 2018 UTC-Sat Jun  2 11:01:17 2018 UTC (0.001 )  Time stamp start 1527937277382060565 end 1527937277381060565  Run 351698, LB 84, lumi 19.48
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:01:25 2018 UTC-Sat Jun  2 11:01:25 2018 UTC (0.001 )  Time stamp start 1527937285677191600 end 1527937285676191600  Run 351698, LB 84, lumi 19.48
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:01:31 2018 UTC-Sat Jun  2 11:01:31 2018 UTC (0.001 )  Time stamp start 1527937291217682905 end 1527937291216682905  Run 351698, LB 84, lumi 19.48
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:01:40 2018 UTC-Sat Jun  2 11:01:40 2018 UTC (0.001 )  Time stamp start 1527937300816857930 end 1527937300815857930  Run 351698, LB 84, lumi 19.48
