Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 360026 to 360026
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 360026 to run 360026  lasting from Wed Sep  5 10:31:52 2018 UTC to Thu Sep  6 00:17:38 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:13:27 2018 UTC-Wed Sep  5 13:13:27 2018 UTC (0.001 )  Time stamp start 1536153207445145080 end 1536153207444145080  Run 360026, LB 175, lumi 17.21
Event Veto ['NoiseBurst'], Wed Sep  5 13:16:13 2018 UTC-Wed Sep  5 13:16:13 2018 UTC (0.001 )  Time stamp start 1536153373238838895 end 1536153373237838395  Run 360026, LB 177, lumi 17.15
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:16:17 2018 UTC-Wed Sep  5 13:16:17 2018 UTC (0.001 )  Time stamp start 1536153377929551930 end 1536153377928551930  Run 360026, LB 178, lumi 17.11
Event Veto ['NoiseBurst'], Wed Sep  5 13:19:36 2018 UTC-Wed Sep  5 13:19:36 2018 UTC (0.001 )  Time stamp start 1536153576653596525 end 1536153576652280400  Run 360026, LB 181, lumi 22.39
Event Veto ['NoiseBurst'], Wed Sep  5 13:19:52 2018 UTC-Wed Sep  5 13:19:52 2018 UTC (0.001 )  Time stamp start 1536153592632241185 end 1536153592631240285  Run 360026, LB 181, lumi 17.03
Event Veto ['NoiseBurst'], Wed Sep  5 13:19:54 2018 UTC-Wed Sep  5 13:19:54 2018 UTC (0.001 )  Time stamp start 1536153594029285910 end 1536153594028135905  Run 360026, LB 181, lumi 19.57
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:20:30 2018 UTC-Wed Sep  5 13:20:30 2018 UTC (0.001 )  Time stamp start 1536153630071222660 end 1536153630070222410  Run 360026, LB 182, lumi 16.98
Event Veto ['NoiseBurst'], Wed Sep  5 13:25:36 2018 UTC-Wed Sep  5 13:25:36 2018 UTC (0.003 )  Time stamp start 1536153936299767200 end 1536153936296316015  Run 360026, LB 187, lumi 57.95
Event Veto ['NoiseBurst'], Wed Sep  5 13:25:36 2018 UTC-Wed Sep  5 13:25:36 2018 UTC (0.006 )  Time stamp start 1536153936305685390 end 1536153936299856725  Run 360026, LB 187, lumi 97.86
Event Veto ['NoiseBurst'], Wed Sep  5 13:25:36 2018 UTC-Wed Sep  5 13:25:36 2018 UTC (0.004 )  Time stamp start 1536153936609171295 end 1536153936605188160  Run 360026, LB 187, lumi 66.88
Event Veto ['NoiseBurst'], Wed Sep  5 13:25:36 2018 UTC-Wed Sep  5 13:25:36 2018 UTC (0.009 )  Time stamp start 1536153936618895500 end 1536153936609974510  Run 360026, LB 187, lumi 149.78
Event Veto ['NoiseBurst'], Wed Sep  5 13:25:36 2018 UTC-Wed Sep  5 13:25:36 2018 UTC (0.004 )  Time stamp start 1536153936739624470 end 1536153936735861075  Run 360026, LB 187, lumi 63.19
