Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337335 to 337335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337335 to run 337335  lasting from Fri Oct  6 11:09:41 2017 UTC to Fri Oct  6 17:51:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:51:05 2017 UTC-Fri Oct  6 12:51:05 2017 UTC (0.001 )  Time stamp start 1507294265257265825 end 1507294265256265825  Run 337335, LB 115, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:51:44 2017 UTC-Fri Oct  6 12:51:44 2017 UTC (0.001 )  Time stamp start 1507294304934050965 end 1507294304933050965  Run 337335, LB 115, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:51:56 2017 UTC-Fri Oct  6 12:51:56 2017 UTC (0.001 )  Time stamp start 1507294316507306255 end 1507294316506306255  Run 337335, LB 116, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:52:06 2017 UTC-Fri Oct  6 12:52:06 2017 UTC (0.001 )  Time stamp start 1507294326410432185 end 1507294326409432185  Run 337335, LB 116, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:52:12 2017 UTC-Fri Oct  6 12:52:12 2017 UTC (0.001 )  Time stamp start 1507294332643155985 end 1507294332642155985  Run 337335, LB 116, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:52:52 2017 UTC-Fri Oct  6 12:52:52 2017 UTC (0.001 )  Time stamp start 1507294372314986380 end 1507294372313986380  Run 337335, LB 116, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:53:15 2017 UTC-Fri Oct  6 12:53:15 2017 UTC (0.001 )  Time stamp start 1507294395258080710 end 1507294395257080710  Run 337335, LB 117, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:53:28 2017 UTC-Fri Oct  6 12:53:28 2017 UTC (0.001 )  Time stamp start 1507294408488818945 end 1507294408487818945  Run 337335, LB 117, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:53:39 2017 UTC-Fri Oct  6 12:53:39 2017 UTC (0.001 )  Time stamp start 1507294419361780700 end 1507294419360780700  Run 337335, LB 117, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:54:07 2017 UTC-Fri Oct  6 12:54:07 2017 UTC (0.001 )  Time stamp start 1507294447123723425 end 1507294447122723425  Run 337335, LB 118, lumi 15.07
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:54:41 2017 UTC-Fri Oct  6 12:54:41 2017 UTC (0.001 )  Time stamp start 1507294481103741295 end 1507294481102741295  Run 337335, LB 118, lumi 15.07
