Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349451 to 349451
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349451 to run 349451  lasting from Wed May  2 20:10:09 2018 UTC to Thu May  3 11:54:15 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:42 2018 UTC-Wed May  2 21:34:42 2018 UTC (0.001 )  Time stamp start 1525296882716737850 end 1525296882715737725  Run 349451, LB 91, lumi 17.73
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:58 2018 UTC-Wed May  2 21:34:58 2018 UTC (0.001 )  Time stamp start 1525296898849342865 end 1525296898848342740  Run 349451, LB 92, lumi 17.68
Event Veto ['MiniNoiseBurst'], Wed May  2 21:35:02 2018 UTC-Wed May  2 21:35:02 2018 UTC (0.001 )  Time stamp start 1525296902122431670 end 1525296902121431670  Run 349451, LB 92, lumi 17.68
Event Veto ['NoiseBurst'], Wed May  2 21:35:57 2018 UTC-Wed May  2 21:35:57 2018 UTC (0.001 )  Time stamp start 1525296957705922250 end 1525296957704922125  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:02 2018 UTC-Wed May  2 21:36:02 2018 UTC (0.001 )  Time stamp start 1525296962005659930 end 1525296962004659930  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:17 2018 UTC-Wed May  2 21:36:17 2018 UTC (0.001 )  Time stamp start 1525296977687897555 end 1525296977686897555  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:17 2018 UTC-Wed May  2 21:36:17 2018 UTC (0.001 )  Time stamp start 1525296977932204955 end 1525296977931204955  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:23 2018 UTC-Wed May  2 21:36:23 2018 UTC (0.001 )  Time stamp start 1525296983198939330 end 1525296983197939330  Run 349451, LB 94, lumi 17.47
Event Veto ['DataCorruption'], Wed May  2 21:36:30 2018 UTC-Wed May  2 21:36:30 2018 UTC (0.500 )  Time stamp start 1525296990690817960 end 1525296990190544450  Run 349451, LB 94, lumi 8737.97
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:33 2018 UTC-Wed May  2 21:36:33 2018 UTC (0.001 )  Time stamp start 1525296993566488065 end 1525296993565488065  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:37 2018 UTC-Wed May  2 21:36:37 2018 UTC (0.001 )  Time stamp start 1525296997584536250 end 1525296997583536250  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:43 2018 UTC-Wed May  2 21:36:43 2018 UTC (0.001 )  Time stamp start 1525297003955380135 end 1525297003954380135  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:49 2018 UTC-Wed May  2 21:36:49 2018 UTC (0.001 )  Time stamp start 1525297009366434470 end 1525297009365434470  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:03 2018 UTC-Wed May  2 21:37:03 2018 UTC (0.001 )  Time stamp start 1525297023009088400 end 1525297023008088400  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:05 2018 UTC-Wed May  2 21:37:05 2018 UTC (0.001 )  Time stamp start 1525297025186768940 end 1525297025185768815  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:14 2018 UTC-Wed May  2 21:37:14 2018 UTC (0.001 )  Time stamp start 1525297034346967275 end 1525297034345967275  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:15 2018 UTC-Wed May  2 21:37:15 2018 UTC (0.001 )  Time stamp start 1525297035660139970 end 1525297035659139970  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:20 2018 UTC-Wed May  2 21:37:20 2018 UTC (0.001 )  Time stamp start 1525297040872148440 end 1525297040871148440  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:36 2018 UTC-Wed May  2 21:37:36 2018 UTC (0.001 )  Time stamp start 1525297056848665380 end 1525297056847665380  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:52 2018 UTC-Wed May  2 21:37:52 2018 UTC (0.001 )  Time stamp start 1525297072725514245 end 1525297072724514245  Run 349451, LB 96, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed May  2 21:38:08 2018 UTC-Wed May  2 21:38:08 2018 UTC (0.001 )  Time stamp start 1525297088756001375 end 1525297088755001375  Run 349451, LB 96, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed May  2 21:38:10 2018 UTC-Wed May  2 21:38:10 2018 UTC (0.001 )  Time stamp start 1525297090290308895 end 1525297090289308895  Run 349451, LB 96, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed May  2 21:38:14 2018 UTC-Wed May  2 21:38:14 2018 UTC (0.001 )  Time stamp start 1525297094378409120 end 1525297094377409120  Run 349451, LB 96, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed May  2 21:38:24 2018 UTC-Wed May  2 21:38:24 2018 UTC (0.001 )  Time stamp start 1525297104445658405 end 1525297104444658405  Run 349451, LB 96, lumi 17.33
Event Veto ['NoiseBurst'], Wed May  2 21:38:48 2018 UTC-Wed May  2 21:38:48 2018 UTC (0.001 )  Time stamp start 1525297128659670955 end 1525297128658670330  Run 349451, LB 98, lumi 17.27
Event Veto ['MiniNoiseBurst'], Wed May  2 21:39:12 2018 UTC-Wed May  2 21:39:12 2018 UTC (0.001 )  Time stamp start 1525297152510958830 end 1525297152509958830  Run 349451, LB 98, lumi 17.26
Event Veto ['MiniNoiseBurst'], Wed May  2 21:39:12 2018 UTC-Wed May  2 21:39:12 2018 UTC (0.001 )  Time stamp start 1525297152540756595 end 1525297152539756595  Run 349451, LB 98, lumi 17.26
Event Veto ['MiniNoiseBurst'], Wed May  2 21:39:15 2018 UTC-Wed May  2 21:39:15 2018 UTC (0.001 )  Time stamp start 1525297155779400935 end 1525297155778400935  Run 349451, LB 98, lumi 17.26
Event Veto ['MiniNoiseBurst'], Wed May  2 21:39:28 2018 UTC-Wed May  2 21:39:28 2018 UTC (0.001 )  Time stamp start 1525297168617104610 end 1525297168616104610  Run 349451, LB 98, lumi 17.26
Event Veto ['MiniNoiseBurst'], Wed May  2 21:39:33 2018 UTC-Wed May  2 21:39:33 2018 UTC (0.001 )  Time stamp start 1525297173754161315 end 1525297173753161315  Run 349451, LB 98, lumi 17.26
Event Veto ['NoiseBurst'], Wed May  2 21:39:43 2018 UTC-Wed May  2 21:39:43 2018 UTC (0.001 )  Time stamp start 1525297183019174780 end 1525297183018035930  Run 349451, LB 98, lumi 19.65
Event Veto ['MiniNoiseBurst'], Wed May  2 21:39:45 2018 UTC-Wed May  2 21:39:45 2018 UTC (0.001 )  Time stamp start 1525297185713289340 end 1525297185712289340  Run 349451, LB 98, lumi 17.26
Event Veto ['MiniNoiseBurst'], Wed May  2 21:39:53 2018 UTC-Wed May  2 21:39:53 2018 UTC (0.001 )  Time stamp start 1525297193471639385 end 1525297193470639385  Run 349451, LB 99, lumi 17.20
Event Veto ['MiniNoiseBurst'], Wed May  2 21:40:01 2018 UTC-Wed May  2 21:40:01 2018 UTC (0.001 )  Time stamp start 1525297201791335600 end 1525297201790335475  Run 349451, LB 99, lumi 17.20
Event Veto ['MiniNoiseBurst'], Wed May  2 21:40:04 2018 UTC-Wed May  2 21:40:04 2018 UTC (0.001 )  Time stamp start 1525297204343676125 end 1525297204342676125  Run 349451, LB 99, lumi 17.20
Event Veto ['MiniNoiseBurst'], Wed May  2 21:40:07 2018 UTC-Wed May  2 21:40:07 2018 UTC (0.001 )  Time stamp start 1525297207740788985 end 1525297207739788985  Run 349451, LB 99, lumi 17.20
Event Veto ['MiniNoiseBurst'], Wed May  2 21:40:17 2018 UTC-Wed May  2 21:40:17 2018 UTC (0.001 )  Time stamp start 1525297217508114455 end 1525297217507114455  Run 349451, LB 99, lumi 17.20
Event Veto ['MiniNoiseBurst'], Wed May  2 21:40:32 2018 UTC-Wed May  2 21:40:32 2018 UTC (0.001 )  Time stamp start 1525297232731446555 end 1525297232730446555  Run 349451, LB 99, lumi 17.20
Event Veto ['MiniNoiseBurst'], Wed May  2 21:40:33 2018 UTC-Wed May  2 21:40:33 2018 UTC (0.001 )  Time stamp start 1525297233389153805 end 1525297233388153805  Run 349451, LB 99, lumi 17.20
Event Veto ['MiniNoiseBurst'], Wed May  2 21:40:48 2018 UTC-Wed May  2 21:40:48 2018 UTC (0.001 )  Time stamp start 1525297248922255055 end 1525297248921254805  Run 349451, LB 100, lumi 17.12
Event Veto ['MiniNoiseBurst'], Wed May  2 21:41:04 2018 UTC-Wed May  2 21:41:04 2018 UTC (0.001 )  Time stamp start 1525297264699127220 end 1525297264698127220  Run 349451, LB 100, lumi 17.12
Event Veto ['MiniNoiseBurst'], Wed May  2 21:41:07 2018 UTC-Wed May  2 21:41:07 2018 UTC (0.001 )  Time stamp start 1525297267216374630 end 1525297267215374630  Run 349451, LB 100, lumi 17.12
Event Veto ['MiniNoiseBurst'], Wed May  2 21:41:20 2018 UTC-Wed May  2 21:41:20 2018 UTC (0.001 )  Time stamp start 1525297280605696760 end 1525297280604696385  Run 349451, LB 100, lumi 17.12
Event Veto ['MiniNoiseBurst'], Wed May  2 21:41:36 2018 UTC-Wed May  2 21:41:36 2018 UTC (0.001 )  Time stamp start 1525297296779684650 end 1525297296778684650  Run 349451, LB 100, lumi 17.12
Event Veto ['MiniNoiseBurst'], Wed May  2 21:41:51 2018 UTC-Wed May  2 21:41:51 2018 UTC (0.001 )  Time stamp start 1525297311708788790 end 1525297311707788790  Run 349451, LB 101, lumi 17.11
Event Veto ['MiniNoiseBurst'], Wed May  2 21:41:52 2018 UTC-Wed May  2 21:41:52 2018 UTC (0.001 )  Time stamp start 1525297312233396875 end 1525297312232396875  Run 349451, LB 101, lumi 17.11
Event Veto ['MiniNoiseBurst'], Wed May  2 21:41:52 2018 UTC-Wed May  2 21:41:52 2018 UTC (0.001 )  Time stamp start 1525297312679716800 end 1525297312678716800  Run 349451, LB 101, lumi 17.11
Event Veto ['MiniNoiseBurst'], Wed May  2 21:41:58 2018 UTC-Wed May  2 21:41:58 2018 UTC (0.001 )  Time stamp start 1525297318312358195 end 1525297318311358195  Run 349451, LB 101, lumi 17.11
Event Veto ['MiniNoiseBurst'], Wed May  2 21:42:17 2018 UTC-Wed May  2 21:42:17 2018 UTC (0.001 )  Time stamp start 1525297337250124405 end 1525297337249124405  Run 349451, LB 103, lumi 17.04
Event Veto ['MiniNoiseBurst'], Wed May  2 21:42:19 2018 UTC-Wed May  2 21:42:19 2018 UTC (0.001 )  Time stamp start 1525297339254012225 end 1525297339253012225  Run 349451, LB 103, lumi 17.04
Event Veto ['MiniNoiseBurst'], Wed May  2 21:42:23 2018 UTC-Wed May  2 21:42:23 2018 UTC (0.001 )  Time stamp start 1525297343918508390 end 1525297343917508390  Run 349451, LB 103, lumi 17.04
Event Veto ['NoiseBurst'], Wed May  2 21:42:39 2018 UTC-Wed May  2 21:42:39 2018 UTC (0.001 )  Time stamp start 1525297359710390520 end 1525297359709389720  Run 349451, LB 103, lumi 17.05
Event Veto ['MiniNoiseBurst'], Wed May  2 21:42:40 2018 UTC-Wed May  2 21:42:40 2018 UTC (0.001 )  Time stamp start 1525297360362462070 end 1525297360361461520  Run 349451, LB 103, lumi 17.05
Event Veto ['NoiseBurst'], Wed May  2 21:42:55 2018 UTC-Wed May  2 21:42:55 2018 UTC (0.001 )  Time stamp start 1525297375484031965 end 1525297375483031340  Run 349451, LB 103, lumi 17.05
