Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307710 to 307710
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307710 to run 307710  lasting from Sat Sep  3 08:23:36 2016 UTC to Sat Sep  3 11:51:22 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:12 2016 UTC-Sat Sep  3 09:14:12 2016 UTC (0.010 )  Time stamp start 1472894052217427305 end 1472894052207426955  Run 307710, LB 57, lumi 82.75
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  3 09:14:16 2016 UTC-Sat Sep  3 09:14:16 2016 UTC (0.010 )  Time stamp start 1472894056029826330 end 1472894056019826330  Run 307710, LB 57, lumi 82.75
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:20 2016 UTC-Sat Sep  3 09:14:20 2016 UTC (0.010 )  Time stamp start 1472894060229975890 end 1472894060219975770  Run 307710, LB 57, lumi 82.75
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:23 2016 UTC-Sat Sep  3 09:14:23 2016 UTC (0.010 )  Time stamp start 1472894063946430490 end 1472894063936429420  Run 307710, LB 57, lumi 82.76
Event Veto ['NoiseBurst'], Sat Sep  3 09:14:23 2016 UTC-Sat Sep  3 09:14:23 2016 UTC (0.010 )  Time stamp start 1472894063984145230 end 1472894063974121850  Run 307710, LB 57, lumi 82.94
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:27 2016 UTC-Sat Sep  3 09:14:27 2016 UTC (0.010 )  Time stamp start 1472894067538237305 end 1472894067528236360  Run 307710, LB 57, lumi 82.76
Event Veto ['NoiseBurst'], Sat Sep  3 09:14:28 2016 UTC-Sat Sep  3 09:14:28 2016 UTC (0.010 )  Time stamp start 1472894068319391250 end 1472894068309206935  Run 307710, LB 57, lumi 84.28
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  3 09:14:31 2016 UTC-Sat Sep  3 09:14:31 2016 UTC (0.010 )  Time stamp start 1472894071388657565 end 1472894071378657565  Run 307710, LB 57, lumi 82.75
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:35 2016 UTC-Sat Sep  3 09:14:35 2016 UTC (0.010 )  Time stamp start 1472894075185216965 end 1472894075175216840  Run 307710, LB 57, lumi 82.75
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:38 2016 UTC-Sat Sep  3 09:14:38 2016 UTC (0.010 )  Time stamp start 1472894078914954285 end 1472894078904954160  Run 307710, LB 57, lumi 82.75
