Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306278 to 306278
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306278 to run 306278  lasting from Sat Aug 13 13:41:29 2016 UTC to Sun Aug 14 07:04:50 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:37:11 2016 UTC-Sat Aug 13 14:37:11 2016 UTC (0.001 )  Time stamp start 1471099031426674460 end 1471099031425674460  Run 306278, LB 61, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:37:17 2016 UTC-Sat Aug 13 14:37:17 2016 UTC (0.001 )  Time stamp start 1471099037522217210 end 1471099037521215785  Run 306278, LB 61, lumi 8.95
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:37:23 2016 UTC-Sat Aug 13 14:37:23 2016 UTC (0.001 )  Time stamp start 1471099043496227725 end 1471099043495227450  Run 306278, LB 61, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:37:29 2016 UTC-Sat Aug 13 14:37:29 2016 UTC (0.001 )  Time stamp start 1471099049450390995 end 1471099049449390995  Run 306278, LB 61, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:37:35 2016 UTC-Sat Aug 13 14:37:35 2016 UTC (0.001 )  Time stamp start 1471099055569989775 end 1471099055568989775  Run 306278, LB 61, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:37:48 2016 UTC-Sat Aug 13 14:37:48 2016 UTC (0.001 )  Time stamp start 1471099068103740425 end 1471099068102740425  Run 306278, LB 61, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:37:54 2016 UTC-Sat Aug 13 14:37:54 2016 UTC (0.001 )  Time stamp start 1471099074103585410 end 1471099074102584160  Run 306278, LB 61, lumi 8.95
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:38:00 2016 UTC-Sat Aug 13 14:38:00 2016 UTC (0.001 )  Time stamp start 1471099080274681565 end 1471099080273679995  Run 306278, LB 61, lumi 8.95
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:38:06 2016 UTC-Sat Aug 13 14:38:06 2016 UTC (0.001 )  Time stamp start 1471099086461260135 end 1471099086460260135  Run 306278, LB 61, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:38:12 2016 UTC-Sat Aug 13 14:38:12 2016 UTC (0.001 )  Time stamp start 1471099092767094180 end 1471099092766093855  Run 306278, LB 62, lumi 8.83
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:38:18 2016 UTC-Sat Aug 13 14:38:18 2016 UTC (0.001 )  Time stamp start 1471099098953798775 end 1471099098952798775  Run 306278, LB 62, lumi 8.82
